Scientific Name
Abies fraseri
Abrus precatorius
Abutilon theophrasti
Acalypha gracilens
Acalypha ostryifolia
Acalypha rhomboidea
Acalypha setosa
Acalypha virginica
Acanthospermum australe
Acanthospermum hispidum
Acer floridanum
Acer leucoderme
Acer negundo
Acer nigrum
Acer pensylvanicum
Acer rubrum
Acer saccharinum
Acer saccharum
Acer spicatum
Achillea millefolium
Acmella oppositifolia
Acmella pusilla
Aconitum uncinatum
Acorus calamus
Actaea pachypoda
Actaea podocarpa
Actaea racemosa
Adiantum capillus-veneris
Adiantum hispidulum
Adiantum pedatum
Aegopodium podagraria
Aeschynomene americana
Aeschynomene indica
Aeschynomene rudis
Aeschynomene viscidula
Aesculus x mutabilis
Aesculus x neglecta
Aesculus x worlitzensis
Aesculus flava
Aesculus glabra
Aesculus hippocastanum
Aesculus parviflora
Aesculus pavia
Aesculus sylvatica
Agalinis aphylla
Agalinis divaricata
Agalinis fasciculata
Agalinis filicaulis
Agalinis filifolia
Agalinis harperi
Agalinis heterophylla
Agalinis laxa
Agalinis linifolia
Agalinis obtusifolia
Agalinis plukenetii
Agalinis pulchella
Agalinis purpurea
Agalinis setacea
Agalinis tenuifolia
Agarista populifolia
Agastache nepetoides
Agastache scrophulariifolia
Ageratina altissima
Ageratina aromatica
Ageratina jucunda
Ageratum conyzoides
Ageratum houstonianum
Agrimonia gryposepala
Agrimonia incisa
Agrimonia microcarpa
Agrimonia parviflora
Agrimonia pubescens
Agrimonia rostellata
Agrimonia striata
Agrostemma githago
Agrostis elliottiana
Agrostis gigantea
Agrostis hyemalis
Agrostis perennans
Agrostis scabra
Agrostis stolonifera
Ailanthus altissima
Aira caryophyllea
Aira elegans
Ajuga reptans
Akebia quinata
Albizia julibrissin
Alcea rosea
Aletris x tottenii
Aletris aurea
Aletris bracteata
Aletris farinosa
Aletris lutea
Aletris obovata
Alisma subcordatum
Alliaria petiolata
Allium ampeloprasum
Allium canadense
Allium cernuum
Allium cuthbertii
Allium neapolitanum
Allium sativum
Allium speculae
Allium tricoccum
Allium vineale
Alnus maritima
Alnus serrulata
Alopecurus carolinianus
Alopecurus pratensis
Aloysia triphylla
Alstroemeria haemantha
Alternanthera caracasana
Alternanthera paronychioides
Alternanthera philoxeroides
Alternanthera pungens
Alternanthera sessilis
Alysicarpus vaginalis
Amaranthus albus
Amaranthus blitoides
Amaranthus blitum
Amaranthus cannabinus
Amaranthus deflexus
Amaranthus hybridus
Amaranthus palmeri
Amaranthus retroflexus
Amaranthus spinosus
Amaranthus tuberculatus
Amaranthus viridis
Ambrosia artemisiifolia
Ambrosia bidentata
Ambrosia psilostachya
Ambrosia trifida
Amelanchier arborea
Amelanchier canadensis
Amelanchier laevis
Amelanchier obovalis
Amelanchier sanguinea
Amelanchier stolonifera
Amianthium muscitoxicum
Ammannia coccinea
Ammannia latifolia
Ammi majus
Amorpha fruticosa
Amorpha georgiana
Amorpha glabra
Amorpha herbacea
Amorpha nitens
Amorpha schwerinii
Ampelaster carolinianus
Ampelopsis brevipedunculata
Ampelopsis cordata
Amphianthus pusillus
Amphicarpaea bracteata
Amphicarpum muehlenbergianum
Amphicarpum purshii
Amsonia ciliata
Amsonia ludoviciana
Amsonia rigida
Amsonia tabernaemontana
Anagallis arvensis
Anagallis minima
Andropogon brachystachyus
Andropogon capillipes
Andropogon floridanus
Andropogon gerardii
Andropogon glaucopsis
Andropogon glomeratus
Andropogon gyrans
Andropogon longiberbis
Andropogon mohrii
Andropogon ternarius
Andropogon tracyi
Andropogon virginicus
Anemone berlandieri
Anemone caroliniana
Anemone quinquefolia
Anemone virginiana
Angelica dentata
Angelica triquinata
Angelica venenosa
Anoda cristata
Antennaria parlinii
Antennaria plantaginifolia
Antennaria solitaria
Anthaenantia rufa
Anthaenantia villosa
Anthemis arvensis
Anthemis cotula
Anthoxanthum odoratum
Anthriscus caucalis
Antigonon leptopus
Aphanes microcarpa
Apios americana
Aplectrum hyemale
Apocynum x floribundum
Apocynum androsaemifolium
Apocynum cannabinum
Apteria aphylla
Aquilegia canadensis
Aquilegia vulgaris
Arabidopsis thaliana
Arabis canadensis
Arabis georgiana
Arabis glabra
Arabis hirsuta
Arabis laevigata
Arabis lyrata
Arabis missouriensis
Arabis patens
Arachis glabrata
Arachis hagenbeckii
Arachis hypogaea
Aralia nudicaulis
Aralia racemosa
Aralia spinosa
Araujia sericifera
Arctium lappa
Arctium minus
Ardisia crenata
Arenaria lanuginosa
Arenaria serpyllifolia
Argemone albiflora
Argemone mexicana
Arisaema dracontium
Arisaema triphyllum
Aristida beyrichiana
Aristida condensata
Aristida dichotoma
Aristida gyrans
Aristida lanosa
Aristida longespica
Aristida mohrii
Aristida oligantha
Aristida palustris
Aristida purpurascens
Aristida simpliciflora
Aristida spiciformis
Aristida tuberculosa
Aristolochia macrophylla
Aristolochia serpentaria
Aristolochia tomentosa
Arnica acaulis
Arnoglossum atriplicifolium
Arnoglossum diversifolium
Arnoglossum ovatum
Arnoglossum plantagineum
Arnoglossum reniforme
Arnoglossum sulcatum
Aronia x prunifolia
Aronia arbutifolia
Aronia melanocarpa
Arrhenatherum elatius
Artemisia ludoviciana
Artemisia vulgaris
Arthraxon hispidus
Aruncus dioicus
Arundinaria appalachiana
Arundinaria gigantea
Arundinaria tecta
Arundo donax
Asarum canadense
Asclepias amplexicaulis
Asclepias cinerea
Asclepias connivens
Asclepias exaltata
Asclepias hirtella
Asclepias humistrata
Asclepias incarnata
Asclepias lanceolata
Asclepias longifolia
Asclepias michauxii
Asclepias obovata
Asclepias pedicellata
Asclepias perennis
Asclepias purpurascens
Asclepias quadrifolia
Asclepias rubra
Asclepias syriaca
Asclepias tomentosa
Asclepias tuberosa
Asclepias variegata
Asclepias verticillata
Asclepias viridiflora
Asclepias viridis
Asclepias viridula
Asimina x nashii
Asimina angustifolia
Asimina incana
Asimina parviflora
Asimina pygmea
Asimina reticulata
Asimina triloba
Asparagus officinalis
Asparagus setaceus
Asplenium x ebenoides
Asplenium x gravesii
Asplenium x heteroresiliens
Asplenium x kentuckiense
Asplenium x trudellii
Asplenium x wherryi
Asplenium bradleyi
Asplenium heterochroum
Asplenium montanum
Asplenium pinnatifidum
Asplenium platyneuron
Asplenium resiliens
Asplenium rhizophyllum
Asplenium ruta-muraria
Asplenium trichomanes
Aster tataricus
Astilbe biternata
Astragalus canadensis
Astragalus michauxii
Astragalus villosus
Astranthium integrifolium
Astrolepis sinuata
Athyrium filix-femina
Atriplex cristata
Atriplex patula
Aureolaria flava
Aureolaria laevigata
Aureolaria patula
Aureolaria pectinata
Aureolaria pedicularia
Aureolaria virginica
Avena sativa
Axonopus compressus
Axonopus fissifolius
Axonopus furcatus
Azolla caroliniana
Baccharis angustifolia
Baccharis glomeruliflora
Baccharis halimifolia
Bacopa caroliniana
Bacopa innominata
Bacopa monnieri
Balduina angustifolia
Balduina atropurpurea
Balduina uniflora
Baptisia x fulva
Baptisia x serenae
Baptisia alba
Baptisia albescens
Baptisia arachnifera
Baptisia australis
Baptisia bracteata
Baptisia cinerea
Baptisia lanceolata
Baptisia lecontei
Baptisia megacarpa
Baptisia perfoliata
Baptisia tinctoria
Barbarea verna
Barbarea vulgaris
Bartonia paniculata
Bartonia verna
Bartonia virginica
Batis maritima
Begonia cucullata
Bejaria racemosa
Belamcanda chinensis
Berberis canadensis
Berberis thunbergii
Berchemia scandens
Berlandiera pumila
Betula alleghaniensis
Betula lenta
Betula nigra
Betula pubescens
Bidens alba
Bidens aristosa
Bidens bipinnata
Bidens cernua
Bidens connata
Bidens coronata
Bidens discoidea
Bidens frondosa
Bidens laevis
Bidens mitis
Bidens pilosa
Bidens tripartita
Bidens vulgata
Bigelowia nudata
Bigelowia nuttallii
Bignonia capreolata
Blechnum occidentale
Blephilia ciliata
Blephilia hirsuta
Boehmeria cylindrica
Boehmeria nivea
Boerhavia coccinea
Boerhavia diffusa
Boerhavia erecta
Bolboschoenus novae-angliae
Bolboschoenus robustus
Boltonia asteroides
Boltonia caroliniana
Boltonia diffusa
Borrichia frutescens
Bothriochloa hybrida
Bothriochloa ischaemum
Bothriochloa laguroides
