Accepted Symbol,Scientific Name,Common Name
ABFR,Abies fraseri (Pursh) Poir.,Fraser fir
ABPR3,Abrus precatorius L.,rosarypea
ABTH,Abutilon theophrasti Medik.,velvetleaf
ACGR2,Acalypha gracilens A. Gray,slender threeseed mercury
ACOS,Acalypha ostryifolia Riddell,pineland threeseed mercury
ACRH,Acalypha rhomboidea Raf.,common threeseed mercury
ACSE,Acalypha setosa A. Rich.,Cuban copperleaf
ACVI,Acalypha virginica L.,Virginia threeseed mercury
ACAU2,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur
ACHI,Acanthospermum hispidum DC.,hispid starbur
ACFL,Acer floridanum (Chapm.) Pax,southern sugar maple
ACLE,Acer leucoderme Small,chalk maple
ACNE2,Acer negundo L.,boxelder
ACNEN,Acer negundo L. var. negundo ,boxelder
ACNI5,Acer nigrum Michx. f.,black maple
ACPE,Acer pensylvanicum L.,striped maple
ACRU,Acer rubrum L.,red maple
ACRUD,Acer rubrum L. var. drummondii (Hook. & Arn. ex Nutt.) Sarg.,Drummond's maple
ACRUR,Acer rubrum L. var. rubrum ,red maple
ACRUT,Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch,red maple
ACSA2,Acer saccharinum L.,silver maple
ACSA3,Acer saccharum Marshall,sugar maple
ACSAS,Acer saccharum Marshall var. saccharum ,sugar maple
ACSAS2,Acer saccharum Marshall var. schneckii Rehder,sugar maple
ACSP2,Acer spicatum Lam.,mountain maple
ACMI2,Achillea millefolium L.,common yarrow
ACMIO,Achillea millefolium L. var. occidentalis DC.,western yarrow
ACOP,Acmella oppositifolia (Lam.) R.K. Jansen,oppositeleaf spotflower
ACOPR,Acmella oppositifolia (Lam.) R.K. Jansen var. repens (Walter) R.K. Jansen,oppositeleaf spotflower
ACPU,Acmella pusilla (Hook. & Arn.) R.K. Jansen,dwarf spotflower
ACUN,Aconitum uncinatum L.,southern blue monkshood
ACUNM,Aconitum uncinatum L. ssp. muticum (DC.) Hardin,southern blue monkshood
ACUNU,Aconitum uncinatum L. ssp. uncinatum ,southern blue monkshood
ACCA4,Acorus calamus L.,calamus
ACPA,Actaea pachypoda Elliott,white baneberry
ACPO11,Actaea podocarpa DC.,mountain bugbane
ACRA7,Actaea racemosa L.,black baneberry
ACRAR,Actaea racemosa L. var. racemosa ,black bugbane
ADCA,Adiantum capillus-veneris L.,common maidenhair
ADHI,Adiantum hispidulum Sw.,rough maidenhair
ADPE,Adiantum pedatum L.,northern maidenhair
AEPO,Aegopodium podagraria L.,bishop's goutweed
AEAM,Aeschynomene americana L.,shyleaf
AEIN,Aeschynomene indica L.,Indian jointvetch
AERU,Aeschynomene rudis Benth.,zigzag jointvetch
AEVI,Aeschynomene viscidula Michx.,sticky jointvetch
AEMU,Aesculus ×mutabilis (Spach) Scheele [pavia × sylvatica],buckeye
AENE,Aesculus ×neglecta Lindl. (pro sp.) [flava × sylvatica],buckeye
AEWO,Aesculus ×worlitzensis Koehne (pro sp.) [flava × (pavia × sylvatica)],buckeye
AEFL,Aesculus flava Aiton,yellow buckeye
AEGL,Aesculus glabra Willd.,Ohio buckeye
AEGLG,Aesculus glabra Willd. var. glabra ,Ohio buckeye
AEHI,Aesculus hippocastanum L.,horse chestnut
AEPA2,Aesculus parviflora Walter,bottlebrush buckeye
AEPA,Aesculus pavia L.,red buckeye
AEPAP,Aesculus pavia L. var. pavia ,red buckeye
AESY,Aesculus sylvatica W. Bartram,painted buckeye
AGAP3,Agalinis aphylla (Nutt.) Raf.,scaleleaf false foxglove
AGDI2,Agalinis divaricata (Chapm.) Pennell,pineland false foxglove
AGFA2,Agalinis fasciculata (Elliott) Raf.,beach false foxglove
AGFI,Agalinis filicaulis (Benth.) Pennell,Jackson false foxglove
AGFI2,Agalinis filifolia (Nutt.) Raf.,Seminole false foxglove
AGHA3,Agalinis harperi Pennell,coastal plain false foxglove
AGHE4,Agalinis heterophylla (Nutt.) Small ex Britton,prairie false foxglove
AGLA10,Agalinis laxa Pennell,twoline false foxglove
AGLI2,Agalinis linifolia (Nutt.) Britton,flaxleaf false foxglove
AGOB,Agalinis obtusifolia Raf.,tenlobe false foxglove
AGPL,Agalinis plukenetii (Elliott) Raf.,Chattahoochee false foxglove
AGPU4,Agalinis pulchella Pennell,St. Mark's false foxglove
AGPU5,Agalinis purpurea (L.) Pennell,purple false foxglove
AGSE3,Agalinis setacea (J.F. Gmel.) Raf.,threadleaf false foxglove
AGTE3,Agalinis tenuifolia (Vahl) Raf.,slenderleaf false foxglove
AGTEL,Agalinis tenuifolia (Vahl) Raf. var. leucanthera (Raf.) Pennell,slenderleaf false foxglove
AGTEM,Agalinis tenuifolia (Vahl) Raf. var. macrophylla (Benth.) S.F. Blake,slenderleaf false foxglove
AGTEP3,Agalinis tenuifolia (Vahl) Raf. var. polyphylla (Small) Pennell,slenderleaf false foxglove
AGTET,Agalinis tenuifolia (Vahl) Raf. var. tenuifolia ,slenderleaf false foxglove
AGPO2,Agarista populifolia (Lam.) W.S. Judd,Florida hobblebush
AGNE2,Agastache nepetoides (L.) Kuntze,yellow giant hyssop
AGSC,Agastache scrophulariifolia (Willd.) Kuntze,purple giant hyssop
AGAL5,Ageratina altissima (L.) R.M. King & H. Rob.,white snakeroot
AGALA,Ageratina altissima (L.) R.M. King & H. Rob. var. altissima ,white snakeroot
AGALR,Ageratina altissima (L.) R.M. King & H. Rob. var. roanensis (Small) Clewell & Wooten,white snakeroot
AGAR4,Ageratina aromatica (L.) Spach,lesser snakeroot
AGARA,Ageratina aromatica (L.) Spach var. aromatica ,lesser snakeroot
AGJU2,Ageratina jucunda (Greene) Clewell & Wooten,hammock snakeroot
AGCO,Ageratum conyzoides L.,tropical whiteweed
AGHO3,Ageratum houstonianum Mill.,bluemink
AGGR2,Agrimonia gryposepala Wallr.,tall hairy agrimony
AGIN3,Agrimonia incisa Torr. & A. Gray,incised agrimony
AGMI2,Agrimonia microcarpa Wallr.,smallfruit agrimony
AGPA6,Agrimonia parviflora Aiton,harvestlice
AGPU,Agrimonia pubescens Wallr.,soft agrimony
AGRO3,Agrimonia rostellata Wallr.,beaked agrimony
AGST,Agrimonia striata Michx.,roadside agrimony
AGGI,Agrostemma githago L.,common corncockle
AGEL4,Agrostis elliottiana Schult.,Elliott's bentgrass
AGGI2,Agrostis gigantea Roth,redtop
AGHY,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.",winter bentgrass
AGPE,Agrostis perennans (Walter) Tuck.,upland bentgrass
AGSC5,Agrostis scabra Willd.,rough bentgrass
AGST2,Agrostis stolonifera L.,creeping bentgrass
AIAL,Ailanthus altissima (Mill.) Swingle,tree of heaven
AICA,Aira caryophyllea L.,silver hairgrass
AICAC2,Aira caryophyllea L. var. caryophyllea ,silver hairgrass
AIEL4,Aira elegans Willd. ex Kunth,annual silver hairgrass
AJRE,Ajuga reptans L.,common bugle
AKQU,Akebia quinata (Houtt.) Decne.,chocolate vine
ALJU,Albizia julibrissin Durazz.,silktree
ALRO3,Alcea rosea L.,hollyhock
ALTO2,Aletris ×tottenii E.T. Br. [lutea × obovata],colicroot
ALAU,Aletris aurea Walter,golden colicroot
ALBR6,Aletris bracteata Northrop,bracted colicroot
ALFA2,Aletris farinosa L.,white colicroot
ALLU,Aletris lutea Small,yellow colicroot
ALOB3,Aletris obovata Nash,southern colicroot
ALSU,Alisma subcordatum Raf.,American water plantain
ALPE4,Alliaria petiolata (M. Bieb.) Cavara & Grande,garlic mustard
ALAM,Allium ampeloprasum L.,broadleaf wild leek
ALCA3,Allium canadense L.,meadow garlic
ALCAC,Allium canadense L. var. canadense ,meadow garlic
ALCAM,Allium canadense L. var. mobilense (Regel) Ownbey,meadow garlic
ALCE2,Allium cernuum Roth,nodding onion
ALCEC2,Allium cernuum Roth var. cernuum ,nodding onion
ALCU,Allium cuthbertii Small,striped garlic
ALNE3,Allium neapolitanum Cirillo,white garlic
ALSA2,Allium sativum L.,cultivated garlic
ALSP2,Allium speculae Ownbey & Aase,Little River Canyon onion
ALTR3,Allium tricoccum Aiton,ramp
ALVI,Allium vineale L.,wild garlic
ALVIV,Allium vineale L. ssp. vineale ,wild garlic
ALMA7,Alnus maritima (Marshall) Muhl. ex Nutt.,seaside alder
ALSE2,Alnus serrulata (Aiton) Willd.,hazel alder
ALCA4,Alopecurus carolinianus Walter,Carolina foxtail
ALPR3,Alopecurus pratensis L.,meadow foxtail
ALTR6,Aloysia triphylla (L'Hér.) Britton,lemon beebrush
ALHA2,Alstroemeria haemantha Ruiz & Pav.,purple-spot parrot-lily
ALCA5,Alternanthera caracasana Kunth,washerwoman
ALPA17,Alternanthera paronychioides A. St.-Hil.,smooth joyweed
ALPAP,Alternanthera paronychioides A. St.-Hil. var. paronychioides ,smooth joyweed
ALPH,Alternanthera philoxeroides (Mart.) Griseb.,alligatorweed
ALPU3,Alternanthera pungens Kunth,khakiweed
ALSE4,Alternanthera sessilis (L.) R. Br. ex DC.,sessile joyweed
ALVA2,Alysicarpus vaginalis (L.) DC.,white moneywort
AMAL,Amaranthus albus L.,prostrate pigweed
AMBL,Amaranthus blitoides S. Watson,mat amaranth
AMBL2,Amaranthus blitum L.,purple amaranth
AMBLE2,Amaranthus blitum L. var. emarginatus (Salzm. ex Uline & W.L. Bray) Lambinon,purple amaranth
AMCA2,Amaranthus cannabinus (L.) Sauer,tidalmarsh amaranth
AMDE,Amaranthus deflexus L.,largefruit amaranth
AMHY,Amaranthus hybridus L.,slim amaranth
AMPA,Amaranthus palmeri S. Watson,carelessweed
AMRE,Amaranthus retroflexus L.,redroot amaranth
AMSP,Amaranthus spinosus L.,spiny amaranth
AMTU,Amaranthus tuberculatus (Moq.) Sauer,roughfruit amaranth
AMVI,Amaranthus viridis L.,slender amaranth
AMAR2,Ambrosia artemisiifolia L.,annual ragweed
AMARP,Ambrosia artemisiifolia L. var. paniculata (Michx.) Blank.,annual ragweed
AMBI2,Ambrosia bidentata Michx.,lanceleaf ragweed
AMPS,Ambrosia psilostachya DC.,Cuman ragweed
