"Species","TaxID"
"Abies fraseri","97172"
"Abrus precatorius","3816"
"Abutilon theophrasti","3631"
"Acalypha gracilens","1620167"
"Acalypha ostryifolia","1087219"
"Acalypha rhomboidea","32204"
"Acalypha setosa","1475366"
"Acalypha virginica","1532233"
"Acanthospermum australe","185140"
"Acanthospermum hispidum","182999"
"Acer leucoderme","407037"
"Acer negundo","4023"
"Acer nigrum","291207"
"Acer pensylvanicum","66214"
"Acer rubrum","45314"
"Acer saccharinum","75745"
"Acer saccharum","4024"
"Acer spicatum","57652"
"Achillea millefolium","13329"
"Acmella oppositifolia","2912032"
"Acorus calamus","4465"
"Actaea pachypoda","64023"
"Actaea podocarpa","46991"
"Actaea racemosa","64040"
"Adiantum capillus-veneris","13818"
"Adiantum hispidulum","446140"
"Adiantum pedatum","29590"
"Aegopodium podagraria","40902"
"Aeschynomene americana","134032"
"Aeschynomene indica","48135"
"Aeschynomene rudis","135787"
"Aeschynomene viscidula","1475368"
"Aesculus flava","322040"
"Aesculus glabra","322042"
"Aesculus hippocastanum","43364"
"Aesculus parviflora","322043"
"Aesculus pavia","43872"
"Aesculus sylvatica","322041"
"Agalinis aphylla","282231"
"Agalinis divaricata","282233"
"Agalinis fasciculata","282234"
"Agalinis filicaulis","282235"
"Agalinis harperi","546847"
"Agalinis heterophylla","282236"
"Agalinis laxa","546849"
"Agalinis linifolia","282237"
"Agalinis obtusifolia","282238"
"Agalinis plukenetii","282239"
"Agalinis pulchella","282240"
"Agalinis purpurea","374692"
"Agalinis setacea","282241"
"Agalinis tenuifolia","282244"
"Agarista populifolia","49133"
"Agastache nepetoides","672814"
"Agastache scrophulariifolia","672816"
"Ageratina altissima","102750"
"Ageratina aromatica","102751"
"Ageratina jucunda","1620014"
"Ageratum conyzoides","68299"
"Ageratum houstonianum","55598"
"Agrimonia gryposepala","932091"
"Agrimonia incisa","1068671"
"Agrimonia microcarpa","1969215"
"Agrimonia parviflora","32217"
"Agrimonia pubescens","1655175"
"Agrimonia rostellata","1663594"
"Agrimonia striata","1503866"
"Agrostemma githago","39848"
"Agrostis gigantea","345916"
"Agrostis hyemalis","481245"
"Agrostis perennans","568787"
"Agrostis scabra","345920"
"Agrostis stolonifera","63632"
"Ailanthus altissima","2768810"
"Aira caryophyllea","336211"
"Aira elegans","2591704"
"Ajuga reptans","38596"
"Akebia quinata","13331"
"Albizia julibrissin","3813"
