Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"AGLI",,"×Agropogon littoralis (Sm.) C.E. Hubbard [Agrostis stolonifera × Polypogon monospeliensis]",coast agropogon
"ABPR3",,"Abrus precatorius L.",rosarypea
"ABTH",,"Abutilon theophrasti Medik.",velvetleaf
"ACAL2",,"Acalypha alopecuroidea Jacq.",foxtail copperleaf
"ACGR2",,"Acalypha gracilens A. Gray",slender threeseed mercury
"ACOS",,"Acalypha ostryifolia Riddell",pineland threeseed mercury
"ACPO",,"Acalypha poiretii Spreng.",Poiret's copperleaf
"ACRH",,"Acalypha rhomboidea Raf.",common threeseed mercury
"ACSE",,"Acalypha setosa A. Rich.",Cuban copperleaf
"ACVI",,"Acalypha virginica L.",Virginia threeseed mercury
"ACAU2",,"Acanthospermum australe (Loefl.) Kuntze",Paraguayan starbur
"ACHI",,"Acanthospermum hispidum DC.",hispid starbur
"ACHU",,"Acanthospermum humile (Sw.) DC.",low starbur
"ACFL",,"Acer floridanum (Chapm.) Pax",southern sugar maple
"ACLE",,"Acer leucoderme Small",chalk maple
"ACNE2",,"Acer negundo L.",boxelder
"ACNEN",,"Acer negundo L. var. negundo ",boxelder
"ACNET",,"Acer negundo L. var. texanum Pax",boxelder
"ACNI5",,"Acer nigrum Michx. f.",black maple
"ACRU",,"Acer rubrum L.",red maple
"ACRUD",,"Acer rubrum L. var. drummondii (Hook. & Arn. ex Nutt.) Sarg.",Drummond's maple
"ACRUR",,"Acer rubrum L. var. rubrum ",red maple
"ACRUT",,"Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch",red maple
"ACSA2",,"Acer saccharinum L.",silver maple
"ACSA3",,"Acer saccharum Marshall",sugar maple
"ACSAS",,"Acer saccharum Marshall var. saccharum ",sugar maple
"ACSAS2",,"Acer saccharum Marshall var. schneckii Rehder",sugar maple
"ACSP2",,"Acer spicatum Lam.",mountain maple
"ACMI2",,"Achillea millefolium L.",common yarrow
"ACMIO",,"Achillea millefolium L. var. occidentalis DC.",western yarrow
"ACAS",,"Achyranthes aspera L.",devil's horsewhip
"ACASA",,"Achyranthes aspera L. var. aspera ",devil's horsewhip
"ACTR2",,"Acicarpha tribuloides Juss.",madam gorgon
"ACOP",,"Acmella oppositifolia (Lam.) R.K. Jansen",oppositeleaf spotflower
"ACOPR",,"Acmella oppositifolia (Lam.) R.K. Jansen var. repens (Walter) R.K. Jansen",oppositeleaf spotflower
"ACUN",,"Aconitum uncinatum L.",southern blue monkshood
"ACUNU",,"Aconitum uncinatum L. ssp. uncinatum ",southern blue monkshood
"ACCA4",,"Acorus calamus L.",calamus
"ACPA",,"Actaea pachypoda Elliott",white baneberry
"ACRA7",,"Actaea racemosa L.",black baneberry
"ACRAR",,"Actaea racemosa L. var. racemosa ",black bugbane
"ACRU14",,"Actaea rubifolia (Kearney) Kartesz",Appalachian bugbane
"ADCA",,"Adiantum capillus-veneris L.",common maidenhair
"ADHI",,"Adiantum hispidulum Sw.",rough maidenhair
"ADPE",,"Adiantum pedatum L.",northern maidenhair
"ADAN",,"Adonis annua L.",blooddrops
"AECY",,"Aegilops cylindrica Host",jointed goatgrass
"AEAM",,"Aeschynomene americana L.",shyleaf
"AEIN",,"Aeschynomene indica L.",Indian jointvetch
"AERU",,"Aeschynomene rudis Benth.",zigzag jointvetch
"AEVI",,"Aeschynomene viscidula Michx.",sticky jointvetch
"AEBU",,"Aesculus ×bushii C.K. Schneid. (pro sp.) [glabra × pavia]",buckeye
"AEMA2",,"Aesculus ×marylandica J.R. Booth ex G. Kirchn. [flava × glabra]",buckeye
"AEMU",,"Aesculus ×mutabilis (Spach) Scheele [pavia × sylvatica]",buckeye
"AENE",,"Aesculus ×neglecta Lindl. (pro sp.) [flava × sylvatica]",buckeye
"AEFL",,"Aesculus flava Aiton",yellow buckeye
"AEGL",,"Aesculus glabra Willd.",Ohio buckeye
"AEGLG",,"Aesculus glabra Willd. var. glabra ",Ohio buckeye
"AEPA2",,"Aesculus parviflora Walter",bottlebrush buckeye
"AEPA",,"Aesculus pavia L.",red buckeye
"AEPAP",,"Aesculus pavia L. var. pavia ",red buckeye
"AESY",,"Aesculus sylvatica W. Bartram",painted buckeye
"AECY2",,"Aethusa cynapium L.",fool's parsley
"AGAP3",,"Agalinis aphylla (Nutt.) Raf.",scaleleaf false foxglove
"AGAU3",,"Agalinis auriculata (Michx.) S.F. Blake",earleaf false foxglove
"AGDI2",,"Agalinis divaricata (Chapm.) Pennell",pineland false foxglove
"AGFA2",,"Agalinis fasciculata (Elliott) Raf.",beach false foxglove
"AGFI",,"Agalinis filicaulis (Benth.) Pennell",Jackson false foxglove
"AGFI2",,"Agalinis filifolia (Nutt.) Raf.",Seminole false foxglove
"AGGA",,"Agalinis gattingeri (Small) Small",roundstem false foxglove
"AGHE4",,"Agalinis heterophylla (Nutt.) Small ex Britton",prairie false foxglove
"AGLI2",,"Agalinis linifolia (Nutt.) Britton",flaxleaf false foxglove
"AGMA3",,"Agalinis maritima (Raf.) Raf.",saltmarsh false foxglove
"AGMAG",,"Agalinis maritima (Raf.) Raf. var. grandiflora (Benth.) Shinners",saltmarsh false foxglove
"AGOB",,"Agalinis obtusifolia Raf.",tenlobe false foxglove
"AGOL",,"Agalinis oligophylla Pennell",ridgestem false foxglove
"AGPL",,"Agalinis plukenetii (Elliott) Raf.",Chattahoochee false foxglove
"AGPU4",,"Agalinis pulchella Pennell",St. Mark's false foxglove
"AGPU5",,"Agalinis purpurea (L.) Pennell",purple false foxglove
"AGSE3",,"Agalinis setacea (J.F. Gmel.) Raf.",threadleaf false foxglove
"AGTE3",,"Agalinis tenuifolia (Vahl) Raf.",slenderleaf false foxglove
"AGTEL",,"Agalinis tenuifolia (Vahl) Raf. var. leucanthera (Raf.) Pennell",slenderleaf false foxglove
"AGTEM",,"Agalinis tenuifolia (Vahl) Raf. var. macrophylla (Benth.) S.F. Blake",slenderleaf false foxglove
"AGTET",,"Agalinis tenuifolia (Vahl) Raf. var. tenuifolia ",slenderleaf false foxglove
"AGNE2",,"Agastache nepetoides (L.) Kuntze",yellow giant hyssop
"AGAL5",,"Ageratina altissima (L.) R.M. King & H. Rob.",white snakeroot
"AGALA",,"Ageratina altissima (L.) R.M. King & H. Rob. var. altissima ",white snakeroot
"AGALR",,"Ageratina altissima (L.) R.M. King & H. Rob. var. roanensis (Small) Clewell & Wooten",white snakeroot
"AGAR4",,"Ageratina aromatica (L.) Spach",lesser snakeroot
"AGARA",,"Ageratina aromatica (L.) Spach var. aromatica ",lesser snakeroot
"AGCO",,"Ageratum conyzoides L.",tropical whiteweed
"AGHO3",,"Ageratum houstonianum Mill.",bluemink
"AGGR2",,"Agrimonia gryposepala Wallr.",tall hairy agrimony
"AGIN3",,"Agrimonia incisa Torr. & A. Gray",incised agrimony
"AGMI2",,"Agrimonia microcarpa Wallr.",smallfruit agrimony
"AGPA6",,"Agrimonia parviflora Aiton",harvestlice
"AGPU",,"Agrimonia pubescens Wallr.",soft agrimony
"AGRO3",,"Agrimonia rostellata Wallr.",beaked agrimony
"AGST",,"Agrimonia striata Michx.",roadside agrimony
"AGGI",,"Agrostemma githago L.",common corncockle
"AGCA5",,"Agrostis capillaris L.",colonial bentgrass
"AGEL4",,"Agrostis elliottiana Schult.",Elliott's bentgrass
"AGGI2",,"Agrostis gigantea Roth",redtop
"AGHY",,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.",winter bentgrass
"AGPE",,"Agrostis perennans (Walter) Tuck.",upland bentgrass
"AGSC5",,"Agrostis scabra Willd.",rough bentgrass
"AGST2",,"Agrostis stolonifera L.",creeping bentgrass
"AIAL",,"Ailanthus altissima (Mill.) Swingle",tree of heaven
"AICA",,"Aira caryophyllea L.",silver hairgrass
"AICAC2",,"Aira caryophyllea L. var. caryophyllea ",silver hairgrass
"AIEL4",,"Aira elegans Willd. ex Kunth",annual silver hairgrass
"AJRE",,"Ajuga reptans L.",common bugle
"ALJU",,"Albizia julibrissin Durazz.",silktree
"ALAU",,"Aletris aurea Walter",golden colicroot
"ALFA2",,"Aletris farinosa L.",white colicroot
"ALLU",,"Aletris lutea Small",yellow colicroot
"ALSU",,"Alisma subcordatum Raf.",American water plantain
"ALAM",,"Allium ampeloprasum L.",broadleaf wild leek
"ALCA3",,"Allium canadense L.",meadow garlic
"ALCAC",,"Allium canadense L. var. canadense ",meadow garlic
"ALCAM",,"Allium canadense L. var. mobilense (Regel) Ownbey",meadow garlic
"ALCE2",,"Allium cernuum Roth",nodding onion
"ALCEC2",,"Allium cernuum Roth var. cernuum ",nodding onion
"ALCU",,"Allium cuthbertii Small",striped garlic
"ALNE3",,"Allium neapolitanum Cirillo",white garlic
"ALSA2",,"Allium sativum L.",cultivated garlic
"ALSP2",,"Allium speculae Ownbey & Aase",Little River Canyon onion
"ALTR3",,"Allium tricoccum Aiton",ramp
"ALVI",,"Allium vineale L.",wild garlic
"ALVIV",,"Allium vineale L. ssp. vineale ",wild garlic
"ALSE2",,"Alnus serrulata (Aiton) Willd.",hazel alder
"ALCA4",,"Alopecurus carolinianus Walter",Carolina foxtail
"ALMY",,"Alopecurus myosuroides Huds.",slender meadow foxtail
"ALPR3",,"Alopecurus pratensis L.",meadow foxtail
"ALCA5",,"Alternanthera caracasana Kunth",washerwoman
"ALPA17",,"Alternanthera paronychioides A. St.-Hil.",smooth joyweed
"ALPAP",,"Alternanthera paronychioides A. St.-Hil. var. paronychioides ",smooth joyweed
"ALPH",,"Alternanthera philoxeroides (Mart.) Griseb.",alligatorweed
"ALPU3",,"Alternanthera pungens Kunth",khakiweed
"ALSE4",,"Alternanthera sessilis (L.) R. Br. ex DC.",sessile joyweed
"ALVA2",,"Alysicarpus vaginalis (L.) DC.",white moneywort
"AMAL",,"Amaranthus albus L.",prostrate pigweed
"AMAU",,"Amaranthus australis (A. Gray) Sauer",southern amaranth
"AMBL",,"Amaranthus blitoides S. Watson",mat amaranth
"AMBL2",,"Amaranthus blitum L.",purple amaranth
"AMBLE2",,"Amaranthus blitum L. var. emarginatus (Salzm. ex Uline & W.L. Bray) Lambinon",purple amaranth
"AMCA2",,"Amaranthus cannabinus (L.) Sauer",tidalmarsh amaranth
"AMCR",,"Amaranthus crassipes Schltdl.",spreading amaranth
"AMCRC",,"Amaranthus crassipes Schltdl. var. crassipes ",spreading amaranth
"AMCR4",,"Amaranthus cruentus L.",red amaranth
"AMDE",,"Amaranthus deflexus L.",largefruit amaranth
"AMHY",,"Amaranthus hybridus L.",slim amaranth
"AMMU3",,"Amaranthus muricatus (Gillies ex Moq.) Gillies ex Hieron.",African amaranth
"AMRE",,"Amaranthus retroflexus L.",redroot amaranth
"AMSP",,"Amaranthus spinosus L.",spiny amaranth
"AMTU",,"Amaranthus tuberculatus (Moq.) Sauer",roughfruit amaranth
"AMVI",,"Amaranthus viridis L.",slender amaranth
"AMAR2",,"Ambrosia artemisiifolia L.",annual ragweed
"AMARP",,"Ambrosia artemisiifolia L. var. paniculata (Michx.) Blank.",annual ragweed
"AMBI2",,"Ambrosia bidentata Michx.",lanceleaf ragweed
"AMPS",,"Ambrosia psilostachya DC.",Cuman ragweed
"AMTR",,"Ambrosia trifida L.",great ragweed
"AMTRT2",,"Ambrosia trifida L. var. trifida ",great ragweed
"AMAR3",,"Amelanchier arborea (Michx. f.) Fernald",common serviceberry
"AMARA3",,"Amelanchier arborea (Michx. f.) Fernald var. alabamensis (Britton) G.N. Jones",Alabama serviceberry
