Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"PSSA2",,"×Pseudelymus saxicola (Scribn. & J.G. Sm.) Barkworth & D.R. Dewey [Elymus elymoides × Pseudoroegneria spicata]",foxtail wheatgrass
"ABCO",,"Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",white fir
"ABLA",,"Abies lasiocarpa (Hook.) Nutt.",subalpine fir
"ABLAA",,"Abies lasiocarpa (Hook.) Nutt. var. arizonica (Merriam) Lemmon",corkbark fir
"ABLAL",,"Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa ",subalpine fir
"ABAN",,"Abronia angustifolia Greene",purple sand verbena
"ABEL",,"Abronia elliptica A. Nelson",fragrant white sand verbena
"ABFR2",,"Abronia fragrans Nutt. ex Hook.",snowball sand verbena
"ABNA",,"Abronia nana S. Watson",dwarf sand verbena
"ABNAN",,"Abronia nana S. Watson var. nana ",dwarf sand verbena
"ABVI",,"Abronia villosa S. Watson",desert sand verbena
"ABVIA",,"Abronia villosa S. Watson var. aurita (Abrams) Jeps.",desert sand verbena
"ABVIV",,"Abronia villosa S. Watson var. villosa ",desert sand verbena
"ABAB",,"Abutilon abutiloides (Jacq.) Garcke ex Hochr.",shrubby Indian mallow
"ABIN",,"Abutilon incanum (Link) Sweet",pelotazo
"ABMA3",,"Abutilon malacum S. Watson",yellow Indian mallow
"ABMO2",,"Abutilon mollicomum (Willd.) Sweet",Sonoran Indian mallow
"ABPA",,"Abutilon palmeri A. Gray",Palmer's Indian mallow
"ABPA2",,"Abutilon parishii S. Watson",Parish's Indian mallow
"ABPA3",,"Abutilon parvulum A. Gray",dwarf Indian mallow
"ABRE",,"Abutilon reventum S. Watson",yellowflower Indian mallow
"ABTH",,"Abutilon theophrasti Medik.",velvetleaf
"ABTH2",,"Abutilon thurberi A. Gray",Thurber's Indian mallow
"ACRE9",,"Acacia redolens Maslin",bank catclaw
"ACAN11",,"Acaciella angustissima (Mill.) Britton & Rose",prairie acacia
"ACANH2",,"Acaciella angustissima (Mill.) Britton & Rose var. hirta (Nutt.) B.L. Turner",prairie acacia
"ACSH2",,"Acaciella shrevei Britton & Rose",Shreve's prairie acacia
"ACSU12",,"Acaciella suffrutescens Britton & Rose",prairie acacia
"ACCA3",,"Acalypha californica Benth.",California copperleaf
"ACME7",,"Acalypha mexicana Müll. Arg.",Mexican copperleaf
"ACNE",,"Acalypha neomexicana Müll. Arg.",New Mexico copperleaf
"ACOS",,"Acalypha ostryifolia Riddell",pineland threeseed mercury
"ACPH3",,"Acalypha phleoides Cav.",shrubby copperleaf
"ACSP",,"Acamptopappus sphaerocephalus (Harv. & A. Gray ex A. Gray) A. Gray",rayless goldenhead
"ACSPH",,"Acamptopappus sphaerocephalus (Harv. & A. Gray ex A. Gray) A. Gray var. hirtellus S.F. Blake",rayless goldenhead
"ACSPS2",,"Acamptopappus sphaerocephalus (Harv. & A. Gray ex A. Gray) A. Gray var. sphaerocephalus ",rayless goldenhead
"ACGL",,"Acer glabrum Torr.",Rocky Mountain maple
"ACGLD3",,"Acer glabrum Torr. var. diffusum (Greene) Smiley",Rocky Mountain maple
"ACGLG2",,"Acer glabrum Torr. var. glabrum ",Rocky Mountain maple
"ACGLN2",,"Acer glabrum Torr. var. neomexicanum (Greene) Kearney & Peebles",New Mexico maple
"ACGR3",,"Acer grandidentatum Nutt.",bigtooth maple
"ACGRG",,"Acer grandidentatum Nutt. var. grandidentatum ",bigtooth maple
