Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"ABPR3",,"Abrus precatorius L.",rosarypea
"ABFR3",,"Abutilon fruticosum Guill. & Perr.",Texas Indian mallow
"ABTH",,"Abutilon theophrasti Medik.",velvetleaf
"ACAN11",,"Acaciella angustissima (Mill.) Britton & Rose",prairie acacia
"ACANH2",,"Acaciella angustissima (Mill.) Britton & Rose var. hirta (Nutt.) B.L. Turner",prairie acacia
"ACDE4",,"Acalypha deamii (Weath.) H.E. Ahles",Deam's threeseed mercury
"ACGR2",,"Acalypha gracilens A. Gray",slender threeseed mercury
"ACMO4",,"Acalypha monococca (Engelm. ex A. Gray) Lill. W. Mill. & Gandhi",slender threeseed mercury
"ACOS",,"Acalypha ostryifolia Riddell",pineland threeseed mercury
"ACRH",,"Acalypha rhomboidea Raf.",common threeseed mercury
"ACVI",,"Acalypha virginica L.",Virginia threeseed mercury
"ACAU2",,"Acanthospermum australe (Loefl.) Kuntze",Paraguayan starbur
"ACFL",,"Acer floridanum (Chapm.) Pax",southern sugar maple
"ACLE",,"Acer leucoderme Small",chalk maple
"ACNE2",,"Acer negundo L.",boxelder
"ACNEN",,"Acer negundo L. var. negundo ",boxelder
"ACNET",,"Acer negundo L. var. texanum Pax",boxelder
"ACNI5",,"Acer nigrum Michx. f.",black maple
"ACRU",,"Acer rubrum L.",red maple
"ACRUD",,"Acer rubrum L. var. drummondii (Hook. & Arn. ex Nutt.) Sarg.",Drummond's maple
"ACRUR",,"Acer rubrum L. var. rubrum ",red maple
"ACRUT",,"Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch",red maple
"ACSA2",,"Acer saccharinum L.",silver maple
"ACSA3",,"Acer saccharum Marshall",sugar maple
"ACSAS",,"Acer saccharum Marshall var. saccharum ",sugar maple
"ACSAS2",,"Acer saccharum Marshall var. schneckii Rehder",sugar maple
"ACMI2",,"Achillea millefolium L.",common yarrow
"ACMIO",,"Achillea millefolium L. var. occidentalis DC.",western yarrow
"ACHY",,"Achnatherum hymenoides (Roem. & Schult.) Barkworth",Indian ricegrass
"ACOP",,"Acmella oppositifolia (Lam.) R.K. Jansen",oppositeleaf spotflower
"ACOPR",,"Acmella oppositifolia (Lam.) R.K. Jansen var. repens (Walter) R.K. Jansen",oppositeleaf spotflower
"ACCA4",,"Acorus calamus L.",calamus
"ACRE3",,"Acroptilon repens (L.) DC.",hardheads
"ACPA",,"Actaea pachypoda Elliott",white baneberry
"ACRA7",,"Actaea racemosa L.",black baneberry
"ACRAR",,"Actaea racemosa L. var. racemosa ",black bugbane
"ACCH5",,"Actinidia chinensis Planch.",kiwi
"ACCHD",,"Actinidia chinensis Planch. var. deliciosa (A. Chev.) A. Chev.",kiwi
"ADCA",,"Adiantum capillus-veneris L.",common maidenhair
"ADPE",,"Adiantum pedatum L.",northern maidenhair
"ADAN",,"Adonis annua L.",blooddrops
"AECY",,"Aegilops cylindrica Host",jointed goatgrass
"AEIN",,"Aeschynomene indica L.",Indian jointvetch
"AERU",,"Aeschynomene rudis Benth.",zigzag jointvetch
"AEBU",,"Aesculus ×bushii C.K. Schneid. (pro sp.) [glabra × pavia]",buckeye
"AEGL",,"Aesculus glabra Willd.",Ohio buckeye
"AEGLA",,"Aesculus glabra Willd. var. arguta (Buckley) B.L. Rob.",Ohio buckeye
"AEGLG",,"Aesculus glabra Willd. var. glabra ",Ohio buckeye
"AEPA",,"Aesculus pavia L.",red buckeye
"AEPAP",,"Aesculus pavia L. var. pavia ",red buckeye
"AGAS2",,"Agalinis aspera (Douglas ex Benth.) Britton",tall false foxglove
"AGAU3",,"Agalinis auriculata (Michx.) S.F. Blake",earleaf false foxglove
"AGFA2",,"Agalinis fasciculata (Elliott) Raf.",beach false foxglove
"AGGA",,"Agalinis gattingeri (Small) Small",roundstem false foxglove
"AGHE4",,"Agalinis heterophylla (Nutt.) Small ex Britton",prairie false foxglove
"AGHO4",,"Agalinis homalantha Pennell",San Antonio false foxglove
"AGNU",,"Agalinis nuttallii Shinners",Nuttall's false foxglove
"AGPU5",,"Agalinis purpurea (L.) Pennell",purple false foxglove
"AGSE3",,"Agalinis setacea (J.F. Gmel.) Raf.",threadleaf false foxglove
"AGSK",,"Agalinis skinneriana (Alph. Wood) Britton",Skinner's false foxglove
"AGTE3",,"Agalinis tenuifolia (Vahl) Raf.",slenderleaf false foxglove
