Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"AGLI",,"×Agropogon littoralis (Sm.) C.E. Hubbard [Agrostis stolonifera × Polypogon monospeliensis]",coast agropogon
"ELCA25",,"×Elyhordeum californicum (Bowden) Barkworth [Elymus multisetus × Hordeum jubatum]",California barley
"ELMA8",,"×Elyhordeum macounii (Vasey) Barkworth & D.R. Dewey [Elymus trachycaulus × Hordeum jubatum]",Macoun's barley
"ELST",,"×Elyhordeum stebbinsianum (Bowden) Bowden [Elymus glaucus × Hordeum jubatum]",Stebbins' barley
"ELAR6",,"×Elyleymus aristatus (Merr.) Barkworth & D.R. Dewey [Elymus elymoides × Leymus triticoides]",purple wildrye
"PSSA2",,"×Pseudelymus saxicola (Scribn. & J.G. Sm.) Barkworth & D.R. Dewey [Elymus elymoides × Pseudoroegneria spicata]",foxtail wheatgrass
"ABAM",,"Abies amabilis (Douglas ex Loudon) Douglas ex Forbes",Pacific silver fir
"ABBR",,"Abies bracteata (D. Don) D. Don ex Poit.",bristlecone fir
"ABGR",,"Abies grandis (Douglas ex D. Don) Lindl.",grand fir
"ABLA",,"Abies lasiocarpa (Hook.) Nutt.",subalpine fir
"ABLAL",,"Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa ",subalpine fir
"ABLO",,"Abies lowiana (Gordon & Glend.) A. Murray bis",Sierra white fir
"ABMA",,"Abies magnifica A. Murray bis",California red fir
"ABMAM",,"Abies magnifica A. Murray bis var. magnifica ",California red fir
"ABMAS",,"Abies magnifica A. Murray bis var. shastensis Lemmon",Shasta red fir
"ABPR",,"Abies procera Rehder",noble fir
"ABAL",,"Abronia alpina Brandegee",Ramshaw Meadows sand verbena
"ABGR2",,"Abronia gracilis Benth.",slender sand verbena
"ABIN2",,"Abronia insularis Standl.",island sand verbena
"ABLA2",,"Abronia latifolia Eschsch.",coastal sand verbena
"ABMA2",,"Abronia maritima Nutt. ex S. Watson",red sand verbena
"ABMI2",,"Abronia minor Standl.",little sand verbena
"ABNA",,"Abronia nana S. Watson",dwarf sand verbena
"ABNAC",,"Abronia nana S. Watson var. covillei (Heimerl) Munz",Coville's dwarf sand verbena
"ABNAN",,"Abronia nana S. Watson var. nana ",dwarf sand verbena
"ABNE",,"Abronia neurophylla Standl.",beach sand verbena
"ABPO",,"Abronia pogonantha Heimerl",Mojave sand verbena
"ABTU",,"Abronia turbinata Torr. ex S. Watson",transmontane sand verbena
"ABUM",,"Abronia umbellata Lam.",pink sand verbena
"ABUMB",,"Abronia umbellata Lam. ssp. breviflora (Standl.) Munz",pink sand verbena
"ABUMU",,"Abronia umbellata Lam. ssp. umbellata ",pink sand verbena
"ABVI",,"Abronia villosa S. Watson",desert sand verbena
"ABVIA",,"Abronia villosa S. Watson var. aurita (Abrams) Jeps.",desert sand verbena
"ABVIV",,"Abronia villosa S. Watson var. villosa ",desert sand verbena
"ABPA",,"Abutilon palmeri A. Gray",Palmer's Indian mallow
"ABPA3",,"Abutilon parvulum A. Gray",dwarf Indian mallow
"ABTH",,"Abutilon theophrasti Medik.",velvetleaf
"ACBA",,"Acacia baileyana F. Muell.",cootamundra wattle
"ACCY2",,"Acacia cyclops A. Cunn. ex G. Don",coastal wattle
