Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"ABGR4",,"Abelia ×grandiflora (Rovelli ex André) Rehder [chinensis × uniflora]",glossy abelia
"ABES",,"Abelmoschus esculentus (L.) Moench",okra
"ABOV",,"Abildgaardia ovata (Burm. f.) Kral",flatspike sedge
"ABPR3",,"Abrus precatorius L.",rosarypea
"ABHI",,"Abutilon hirtum (Lam.) Sweet",Florida Keys Indian mallow
"ABHU",,"Abutilon hulseanum (Torr. & A. Gray) Torr. ex A. Gray",mauve
"ABPE",,"Abutilon permolle (Willd.) Sweet",coastal Indian mallow
"ABTH",,"Abutilon theophrasti Medik.",velvetleaf
"ACAU",,"Acacia auriculiformis A. Cunn. ex Benth.",earleaf acacia
"ACRE2",,"Acacia retinodes Schltdl.",water wattle
"ACAN11",,"Acaciella angustissima (Mill.) Britton & Rose",prairie acacia
"ACANH2",,"Acaciella angustissima (Mill.) Britton & Rose var. hirta (Nutt.) B.L. Turner",prairie acacia
"ACAL2",,"Acalypha alopecuroidea Jacq.",foxtail copperleaf
"ACAR16",,"Acalypha arvensis Poepp.",field copperleaf
"ACCH2",,"Acalypha chamaedryfolia (Lam.) Müll. Arg.",bastard copperleaf
"ACGR2",,"Acalypha gracilens A. Gray",slender threeseed mercury
"ACOS",,"Acalypha ostryifolia Riddell",pineland threeseed mercury
"ACRH",,"Acalypha rhomboidea Raf.",common threeseed mercury
"ACSE",,"Acalypha setosa A. Rich.",Cuban copperleaf
"ACWI",,"Acalypha wilkesiana Müll. Arg.",Wilkes' acalypha
"ACTE4",,"Acanthocereus tetragonus (L.) Humm.",triangle cactus
"ACAU2",,"Acanthospermum australe (Loefl.) Kuntze",Paraguayan starbur
"ACHI",,"Acanthospermum hispidum DC.",hispid starbur
"ACHU",,"Acanthospermum humile (Sw.) DC.",low starbur
"ACFL",,"Acer floridanum (Chapm.) Pax",southern sugar maple
"ACLE",,"Acer leucoderme Small",chalk maple
"ACNE2",,"Acer negundo L.",boxelder
"ACNEN",,"Acer negundo L. var. negundo ",boxelder
"ACRU",,"Acer rubrum L.",red maple
"ACRUD",,"Acer rubrum L. var. drummondii (Hook. & Arn. ex Nutt.) Sarg.",Drummond's maple
"ACRUR",,"Acer rubrum L. var. rubrum ",red maple
"ACRUT",,"Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch",red maple
"ACSA2",,"Acer saccharinum L.",silver maple
