Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"AMJA",,"×Amelasorbus jackii Rehder [Amelanchier alnifolia × Sorbus scopulina]",Jack's amelasorbus
"ELMA8",,"×Elyhordeum macounii (Vasey) Barkworth & D.R. Dewey [Elymus trachycaulus × Hordeum jubatum]",Macoun's barley
"ELMO4",,"×Elyhordeum montanense (Scribn.) Bowden [Elymus virginicus × Hordeum jubatum]",mountain barley
"ELAR6",,"×Elyleymus aristatus (Merr.) Barkworth & D.R. Dewey [Elymus elymoides × Leymus triticoides]",purple wildrye
"PSSA2",,"×Pseudelymus saxicola (Scribn. & J.G. Sm.) Barkworth & D.R. Dewey [Elymus elymoides × Pseudoroegneria spicata]",foxtail wheatgrass
"ABCO",,"Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",white fir
"ABGR",,"Abies grandis (Douglas ex D. Don) Lindl.",grand fir
"ABLA",,"Abies lasiocarpa (Hook.) Nutt.",subalpine fir
"ABLAL",,"Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa ",subalpine fir
"ABME",,"Abronia mellifera Douglas ex Hook.",white sand verbena
"ABTH",,"Abutilon theophrasti Medik.",velvetleaf
"ACSC5",,"Acarospora schleicheri (Ach.) A. Massal.",Schleicher's cracked lichen
"ACGL",,"Acer glabrum Torr.",Rocky Mountain maple
"ACGLD4",,"Acer glabrum Torr. var. douglasii (Hook.) Dippel",Douglas maple
"ACGLG2",,"Acer glabrum Torr. var. glabrum ",Rocky Mountain maple
"ACGR3",,"Acer grandidentatum Nutt.",bigtooth maple
"ACGRG",,"Acer grandidentatum Nutt. var. grandidentatum ",bigtooth maple
"ACNE2",,"Acer negundo L.",boxelder
"ACNEI2",,"Acer negundo L. var. interius (Britton) Sarg.",boxelder
"ACNEV",,"Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger",boxelder
"ACPL",,"Acer platanoides L.",Norway maple
"ACMI2",,"Achillea millefolium L.",common yarrow
"ACMIA",,"Achillea millefolium L. var. alpicola (Rydb.) Garrett",common yarrow
"ACMIC",,"Achillea millefolium L. var. californica (Pollard) Jeps.",California yarrow
"ACMIM2",,"Achillea millefolium L. var. millefolium ",common yarrow
"ACMIO",,"Achillea millefolium L. var. occidentalis DC.",western yarrow
"ACMIP",,"Achillea millefolium L. var. pacifica (Rydb.) G.N. Jones",Pacific yarrow
"ACPT",,"Achillea ptarmica L.",sneezeweed
"ACBL",,"Achnatherum ×bloomeri (Bol.) Barkworth [hymenoides × occidentale]",
"ACHE10",,"Achnatherum hendersonii (Vasey) Barkworth",Henderson's needlegrass
"ACHY",,"Achnatherum hymenoides (Roem. & Schult.) Barkworth",Indian ricegrass
"ACLE8",,"Achnatherum lemmonii (Vasey) Barkworth",Lemmon's needlegrass
"ACLEL",,"Achnatherum lemmonii (Vasey) Barkworth var. lemmonii ",Lemmon's needlegrass
"ACLE9",,"Achnatherum lettermanii (Vasey) Barkworth",Letterman's needlegrass
"ACNE9",,"Achnatherum nelsonii (Scribn.) Barkworth",Columbia needlegrass
"ACNED",,"Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth",Dore's needlegrass
"ACNEN2",,"Achnatherum nelsonii (Scribn.) Barkworth ssp. nelsonii ",Columbia needlegrass
"ACNE10",,"Achnatherum nevadense (B.L. Johnson) Barkworth",Nevada needlegrass
"ACOC3",,"Achnatherum occidentale (Thurb.) Barkworth",western needlegrass
"ACOCC",,"Achnatherum occidentale (Thurb.) Barkworth ssp. californicum (Merr. & Burtt Davy) Barkworth",California needlegrass
"ACOCP",,"Achnatherum occidentale (Thurb.) Barkworth ssp. pubescens (Vasey) Barkworth",pubescent western needlegrass
"ACPI2",,"Achnatherum pinetorum (M.E. Jones) Barkworth",pine needlegrass
"ACRI8",,"Achnatherum richardsonii (Link) Barkworth",Richardson's needlegrass
"ACSW3",,"Achnatherum swallenii (C.L. Hitchc. & Spellenb.) Barkworth",Swallen's needlegrass
"ACTH7",,"Achnatherum thurberianum (Piper) Barkworth",Thurber's needlegrass
"ACWE3",,"Achnatherum webberi (Thurb.) Barkworth",Webber needlegrass
"ACAR2",,"Acinos arvensis (Lam.) Dandy",basil thyme
"ACCO4",,"Aconitum columbianum Nutt.",Columbian monkshood
"ACCOC3",,"Aconitum columbianum Nutt. ssp. columbianum ",Columbian monkshood
