Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"ELMA8",,"×Elyhordeum macounii (Vasey) Barkworth & D.R. Dewey [Elymus trachycaulus × Hordeum jubatum]",Macoun's barley
"ELMO4",,"×Elyhordeum montanense (Scribn.) Bowden [Elymus virginicus × Hordeum jubatum]",mountain barley
"ABES",,"Abelmoschus esculentus (L.) Moench",okra
"ABTH",,"Abutilon theophrasti Medik.",velvetleaf
"ACDE4",,"Acalypha deamii (Weath.) H.E. Ahles",Deam's threeseed mercury
"ACGR2",,"Acalypha gracilens A. Gray",slender threeseed mercury
"ACMO4",,"Acalypha monococca (Engelm. ex A. Gray) Lill. W. Mill. & Gandhi",slender threeseed mercury
"ACOS",,"Acalypha ostryifolia Riddell",pineland threeseed mercury
"ACRH",,"Acalypha rhomboidea Raf.",common threeseed mercury
"ACVI",,"Acalypha virginica L.",Virginia threeseed mercury
"ACFL",,"Acer floridanum (Chapm.) Pax",southern sugar maple
"ACGI",,"Acer ginnala Maxim.",Amur maple
"ACNE2",,"Acer negundo L.",boxelder
"ACNEN",,"Acer negundo L. var. negundo ",boxelder
"ACNEV",,"Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger",boxelder
"ACNI5",,"Acer nigrum Michx. f.",black maple
"ACPL",,"Acer platanoides L.",Norway maple
"ACPS",,"Acer pseudoplatanus L.",sycamore maple
"ACRU",,"Acer rubrum L.",red maple
"ACRUD",,"Acer rubrum L. var. drummondii (Hook. & Arn. ex Nutt.) Sarg.",Drummond's maple
"ACRUR",,"Acer rubrum L. var. rubrum ",red maple
"ACRUT",,"Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch",red maple
"ACSA2",,"Acer saccharinum L.",silver maple
"ACSA3",,"Acer saccharum Marshall",sugar maple
"ACSAS",,"Acer saccharum Marshall var. saccharum ",sugar maple
"ACSAS2",,"Acer saccharum Marshall var. schneckii Rehder",sugar maple
"ACMI2",,"Achillea millefolium L.",common yarrow
"ACMIM2",,"Achillea millefolium L. var. millefolium ",common yarrow
"ACMIO",,"Achillea millefolium L. var. occidentalis DC.",western yarrow
"ACUN",,"Aconitum uncinatum L.",southern blue monkshood
"ACUNU",,"Aconitum uncinatum L. ssp. uncinatum ",southern blue monkshood
"ACAM",,"Acorus americanus (Raf.) Raf.",sweetflag
"ACCA4",,"Acorus calamus L.",calamus
"ACRE3",,"Acroptilon repens (L.) DC.",hardheads
