Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"ELIO",,"×Elyhordeum iowense Pohl [Elymus villosus × Hordeum jubatum]",Iowa barley
"ELMA8",,"×Elyhordeum macounii (Vasey) Barkworth & D.R. Dewey [Elymus trachycaulus × Hordeum jubatum]",Macoun's barley
"ELMO4",,"×Elyhordeum montanense (Scribn.) Bowden [Elymus virginicus × Hordeum jubatum]",mountain barley
"ABBA",,"Abies balsamea (L.) Mill.",balsam fir
"ABBAB",,"Abies balsamea (L.) Mill. var. balsamea ",balsam fir
"ABTH",,"Abutilon theophrasti Medik.",velvetleaf
"ACDE4",,"Acalypha deamii (Weath.) H.E. Ahles",Deam's threeseed mercury
"ACGR2",,"Acalypha gracilens A. Gray",slender threeseed mercury
"ACOS",,"Acalypha ostryifolia Riddell",pineland threeseed mercury
"ACRH",,"Acalypha rhomboidea Raf.",common threeseed mercury
"ACVI",,"Acalypha virginica L.",Virginia threeseed mercury
"ACGI",,"Acer ginnala Maxim.",Amur maple
"ACNE2",,"Acer negundo L.",boxelder
"ACNEN",,"Acer negundo L. var. negundo ",boxelder
"ACNEV",,"Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger",boxelder
"ACNI5",,"Acer nigrum Michx. f.",black maple
"ACRU",,"Acer rubrum L.",red maple
"ACRUR",,"Acer rubrum L. var. rubrum ",red maple
"ACSA2",,"Acer saccharinum L.",silver maple
"ACSA3",,"Acer saccharum Marshall",sugar maple
"ACSAS",,"Acer saccharum Marshall var. saccharum ",sugar maple
"ACSP2",,"Acer spicatum Lam.",mountain maple
"ACMI2",,"Achillea millefolium L.",common yarrow
"ACMIO",,"Achillea millefolium L. var. occidentalis DC.",western yarrow
"ACCO4",,"Aconitum columbianum Nutt.",Columbian monkshood
"ACCOC3",,"Aconitum columbianum Nutt. ssp. columbianum ",Columbian monkshood
"ACNO2",,"Aconitum noveboracense A. Gray ex Coville",northern blue monkshood
"ACAM",,"Acorus americanus (Raf.) Raf.",sweetflag
"ACCA4",,"Acorus calamus L.",calamus
"ACRE3",,"Acroptilon repens (L.) DC.",hardheads
"ACPA",,"Actaea pachypoda Elliott",white baneberry
"ACRA7",,"Actaea racemosa L.",black baneberry
"ACRAR",,"Actaea racemosa L. var. racemosa ",black bugbane
"ACRU2",,"Actaea rubra (Aiton) Willd.",red baneberry
"ACRUR2",,"Actaea rubra (Aiton) Willd. ssp. rubra ",red baneberry
"ADPE",,"Adiantum pedatum L.",northern maidenhair
"ADFU",,"Adlumia fungosa (Aiton) Greene ex Britton, Sterns & Poggenb.",allegheny vine
"ADMO",,"Adoxa moschatellina L.",muskroot
"AECY",,"Aegilops cylindrica Host",jointed goatgrass
"AEMA2",,"Aesculus ×marylandica J.R. Booth ex G. Kirchn. [flava × glabra]",buckeye
"AEGL",,"Aesculus glabra Willd.",Ohio buckeye
"AEGLA",,"Aesculus glabra Willd. var. arguta (Buckley) B.L. Rob.",Ohio buckeye
"AEGLG",,"Aesculus glabra Willd. var. glabra ",Ohio buckeye
"AEHI",,"Aesculus hippocastanum L.",horse chestnut
"AGAS2",,"Agalinis aspera (Douglas ex Benth.) Britton",tall false foxglove
"AGAU3",,"Agalinis auriculata (Michx.) S.F. Blake",earleaf false foxglove
"AGGA",,"Agalinis gattingeri (Small) Small",roundstem false foxglove
"AGPA12",,"Agalinis paupercula (A. Gray) Britton",smallflower false foxglove
"AGPAB",,"Agalinis paupercula (A. Gray) Britton var. borealis Pennell",smallflower false foxglove
"AGPAP3",,"Agalinis paupercula (A. Gray) Britton var. paupercula ",smallflower false foxglove
"AGPU5",,"Agalinis purpurea (L.) Pennell",purple false foxglove
"AGSK",,"Agalinis skinneriana (Alph. Wood) Britton",Skinner's false foxglove
"AGTE3",,"Agalinis tenuifolia (Vahl) Raf.",slenderleaf false foxglove
"AGTEM",,"Agalinis tenuifolia (Vahl) Raf. var. macrophylla (Benth.) S.F. Blake",slenderleaf false foxglove
"AGTEP2",,"Agalinis tenuifolia (Vahl) Raf. var. parviflora (Nutt.) Pennell",slenderleaf false foxglove
"AGFO",,"Agastache foeniculum (Pursh) Kuntze",blue giant hyssop
"AGNE2",,"Agastache nepetoides (L.) Kuntze",yellow giant hyssop
"AGSC",,"Agastache scrophulariifolia (Willd.) Kuntze",purple giant hyssop
"AGAL5",,"Ageratina altissima (L.) R.M. King & H. Rob.",white snakeroot
"AGALA",,"Ageratina altissima (L.) R.M. King & H. Rob. var. altissima ",white snakeroot
"AGGL",,"Agoseris glauca (Pursh) Raf.",pale agoseris
"AGGLG",,"Agoseris glauca (Pursh) Raf. var. glauca ",pale agoseris
"AGEU",,"Agrimonia eupatoria L.",churchsteeples
"AGGR2",,"Agrimonia gryposepala Wallr.",tall hairy agrimony
"AGPA6",,"Agrimonia parviflora Aiton",harvestlice
"AGPU",,"Agrimonia pubescens Wallr.",soft agrimony
"AGST",,"Agrimonia striata Michx.",roadside agrimony
"AGCR",,"Agropyron cristatum (L.) Gaertn.",crested wheatgrass
"AGCRP8",,"Agropyron cristatum (L.) Gaertn. ssp. pectinatum (M. Bieb.) Tzvelev",crested wheatgrass
"AGDE2",,"Agropyron desertorum (Fisch. ex Link) Schult.",desert wheatgrass
"AGGI",,"Agrostemma githago L.",common corncockle
"AGGI2",,"Agrostis gigantea Roth",redtop
"AGHY",,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.",winter bentgrass
"AGPE",,"Agrostis perennans (Walter) Tuck.",upland bentgrass
"AGSC5",,"Agrostis scabra Willd.",rough bentgrass
"AGST2",,"Agrostis stolonifera L.",creeping bentgrass
"AIAL",,"Ailanthus altissima (Mill.) Swingle",tree of heaven
"AJRE",,"Ajuga reptans L.",common bugle
"ALRO3",,"Alcea rosea L.",hollyhock
"ALGR",,"Alisma gramineum Lej.",narrowleaf water plantain
"ALSU",,"Alisma subcordatum Raf.",American water plantain
"ALTR7",,"Alisma triviale Pursh",northern water plantain
"ALPE4",,"Alliaria petiolata (M. Bieb.) Cavara & Grande",garlic mustard
"ALBU2",,"Allium burdickii (Hanes) A.G. Jones",narrowleaf wild leek
"ALCA3",,"Allium canadense L.",meadow garlic
"ALCAC",,"Allium canadense L. var. canadense ",meadow garlic
"ALCAL",,"Allium canadense L. var. lavandulare (Bates) Ownbey & Aase",meadow garlic
"ALCAM",,"Allium canadense L. var. mobilense (Regel) Ownbey",meadow garlic
"ALCE2",,"Allium cernuum Roth",nodding onion
"ALCEC2",,"Allium cernuum Roth var. cernuum ",nodding onion
"ALPE2",,"Allium perdulce S.V. Fraser",plains onion
"ALPEP",,"Allium perdulce S.V. Fraser var. perdulce ",plains onion
"ALPO2",,"Allium porrum L.",garden leek
"ALST",,"Allium stellatum Fraser ex Ker Gawl.",autumn onion
"ALTE",,"Allium textile A. Nelson & J.F. Macbr.",textile onion
"ALTR3",,"Allium tricoccum Aiton",ramp
"ALTU3",,"Allium tuberosum Rottler ex Spreng.",Chinese chives
"ALVI",,"Allium vineale L.",wild garlic
"ALVIV",,"Allium vineale L. ssp. vineale ",wild garlic
"ALGL2",,"Alnus glutinosa (L.) Gaertn.",European alder
"ALIN2",,"Alnus incana (L.) Moench",gray alder
"ALINR",,"Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen",speckled alder
"ALAE",,"Alopecurus aequalis Sobol.",shortawn foxtail
"ALAEA",,"Alopecurus aequalis Sobol. var. aequalis ",shortawn foxtail
"ALCA4",,"Alopecurus carolinianus Walter",Carolina foxtail
"ALGE2",,"Alopecurus geniculatus L.",water foxtail
"ALGEG4",,"Alopecurus geniculatus L. var. geniculatus ",water foxtail
"ALPR3",,"Alopecurus pratensis L.",meadow foxtail
"ALAL3",,"Alyssum alyssoides (L.) L.",pale madwort
"AMAL",,"Amaranthus albus L.",prostrate pigweed
"AMAR",,"Amaranthus arenicola I.M. Johnst.",sandhill amaranth
"AMBL",,"Amaranthus blitoides S. Watson",mat amaranth
"AMHY",,"Amaranthus hybridus L.",slim amaranth
"AMPO2",,"Amaranthus powellii S. Watson",Powell's amaranth
"AMPOP",,"Amaranthus powellii S. Watson ssp. powellii ",Powell's amaranth
"AMRE",,"Amaranthus retroflexus L.",redroot amaranth
"AMSP",,"Amaranthus spinosus L.",spiny amaranth
"AMTU",,"Amaranthus tuberculatus (Moq.) Sauer",roughfruit amaranth
"AMMO",,"Amberboa moschata (L.) DC.",sweetsultan
"AMHE3",,"Ambrosia ×helenae Rouleau [artemisiifolia × trifida]",ragweed
"AMAR2",,"Ambrosia artemisiifolia L.",annual ragweed
"AMARE",,"Ambrosia artemisiifolia L. var. elatior (L.) Descourtils",annual ragweed
"AMBI2",,"Ambrosia bidentata Michx.",lanceleaf ragweed
"AMPS",,"Ambrosia psilostachya DC.",Cuman ragweed
"AMTO3",,"Ambrosia tomentosa Nutt.",skeletonleaf bur ragweed
"AMTR",,"Ambrosia trifida L.",great ragweed
"AMTRT2",,"Ambrosia trifida L. var. trifida ",great ragweed
"AMAL2",,"Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.",Saskatoon serviceberry
"AMALA",,"Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem. var. alnifolia ",Saskatoon serviceberry
"AMAR3",,"Amelanchier arborea (Michx. f.) Fernald",common serviceberry
"AMARA4",,"Amelanchier arborea (Michx. f.) Fernald var. arborea ",common serviceberry
"AMHU2",,"Amelanchier humilis Wiegand",low serviceberry
"AMIN2",,"Amelanchier interior E.L. Nielsen",inland serviceberry
"AMLA",,"Amelanchier laevis Wiegand",Allegheny serviceberry
"AMSA",,"Amelanchier sanguinea (Pursh) DC.",roundleaf serviceberry
"AMSAS",,"Amelanchier sanguinea (Pursh) DC. var. sanguinea ",roundleaf serviceberry
"AMST80",,"Amelanchier stolonifera Wiegand",running serviceberry
"AMCO",,"Ammannia coccinea Rottb.",valley redstem
"AMRO3",,"Ammannia robusta Heer & Regel",grand redstem
