Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"AGLI",,"×Agropogon littoralis (Sm.) C.E. Hubbard [Agrostis stolonifera × Polypogon monospeliensis]",coast agropogon
"ABES",,"Abelmoschus esculentus (L.) Moench",okra
"ABHU",,"Abutilon hulseanum (Torr. & A. Gray) Torr. ex A. Gray",mauve
"ABTH",,"Abutilon theophrasti Medik.",velvetleaf
"ACAN11",,"Acaciella angustissima (Mill.) Britton & Rose",prairie acacia
"ACANH2",,"Acaciella angustissima (Mill.) Britton & Rose var. hirta (Nutt.) B.L. Turner",prairie acacia
"ACAL2",,"Acalypha alopecuroidea Jacq.",foxtail copperleaf
"ACGR2",,"Acalypha gracilens A. Gray",slender threeseed mercury
"ACMO4",,"Acalypha monococca (Engelm. ex A. Gray) Lill. W. Mill. & Gandhi",slender threeseed mercury
"ACOS",,"Acalypha ostryifolia Riddell",pineland threeseed mercury
"ACRH",,"Acalypha rhomboidea Raf.",common threeseed mercury
"ACSE",,"Acalypha setosa A. Rich.",Cuban copperleaf
"ACVI",,"Acalypha virginica L.",Virginia threeseed mercury
"ACAU2",,"Acanthospermum australe (Loefl.) Kuntze",Paraguayan starbur
"ACFL",,"Acer floridanum (Chapm.) Pax",southern sugar maple
"ACLE",,"Acer leucoderme Small",chalk maple
"ACNE2",,"Acer negundo L.",boxelder
"ACNEN",,"Acer negundo L. var. negundo ",boxelder
"ACNET",,"Acer negundo L. var. texanum Pax",boxelder
"ACRU",,"Acer rubrum L.",red maple
"ACRUD",,"Acer rubrum L. var. drummondii (Hook. & Arn. ex Nutt.) Sarg.",Drummond's maple
"ACRUR",,"Acer rubrum L. var. rubrum ",red maple
"ACRUT",,"Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch",red maple
"ACSA2",,"Acer saccharinum L.",silver maple
"ACSA3",,"Acer saccharum Marshall",sugar maple
"ACSAS",,"Acer saccharum Marshall var. saccharum ",sugar maple
"ACMI2",,"Achillea millefolium L.",common yarrow
"ACMIO",,"Achillea millefolium L. var. occidentalis DC.",western yarrow
"ACAS",,"Achyranthes aspera L.",devil's horsewhip
"ACASA",,"Achyranthes aspera L. var. aspera ",devil's horsewhip
"ACOP",,"Acmella oppositifolia (Lam.) R.K. Jansen",oppositeleaf spotflower
"ACOPR",,"Acmella oppositifolia (Lam.) R.K. Jansen var. repens (Walter) R.K. Jansen",oppositeleaf spotflower
"ACCA4",,"Acorus calamus L.",calamus
"ACPA",,"Actaea pachypoda Elliott",white baneberry
"ADCA",,"Adiantum capillus-veneris L.",common maidenhair
"ADHI",,"Adiantum hispidulum Sw.",rough maidenhair
"ADPE",,"Adiantum pedatum L.",northern maidenhair
"ADAN",,"Adonis annua L.",blooddrops
"AECY",,"Aegilops cylindrica Host",jointed goatgrass
"AEAM",,"Aeschynomene americana L.",shyleaf
"AEIN",,"Aeschynomene indica L.",Indian jointvetch
"AERU",,"Aeschynomene rudis Benth.",zigzag jointvetch
"AEBU",,"Aesculus ×bushii C.K. Schneid. (pro sp.) [glabra × pavia]",buckeye
"AEPA",,"Aesculus pavia L.",red buckeye
"AEPAP",,"Aesculus pavia L. var. pavia ",red buckeye
"AGAP3",,"Agalinis aphylla (Nutt.) Raf.",scaleleaf false foxglove
"AGCA8",,"Agalinis caddoensis Pennell",Caddo false foxglove
"AGFA2",,"Agalinis fasciculata (Elliott) Raf.",beach false foxglove
"AGFI",,"Agalinis filicaulis (Benth.) Pennell",Jackson false foxglove
"AGGA",,"Agalinis gattingeri (Small) Small",roundstem false foxglove
"AGHA3",,"Agalinis harperi Pennell",coastal plain false foxglove
"AGHE4",,"Agalinis heterophylla (Nutt.) Small ex Britton",prairie false foxglove
"AGHO4",,"Agalinis homalantha Pennell",San Antonio false foxglove
"AGLI2",,"Agalinis linifolia (Nutt.) Britton",flaxleaf false foxglove
"AGMA3",,"Agalinis maritima (Raf.) Raf.",saltmarsh false foxglove
"AGMAG",,"Agalinis maritima (Raf.) Raf. var. grandiflora (Benth.) Shinners",saltmarsh false foxglove
"AGOB",,"Agalinis obtusifolia Raf.",tenlobe false foxglove
"AGOL",,"Agalinis oligophylla Pennell",ridgestem false foxglove
"AGPL",,"Agalinis plukenetii (Elliott) Raf.",Chattahoochee false foxglove
"AGPU4",,"Agalinis pulchella Pennell",St. Mark's false foxglove
"AGPU5",,"Agalinis purpurea (L.) Pennell",purple false foxglove
"AGSK",,"Agalinis skinneriana (Alph. Wood) Britton",Skinner's false foxglove
"AGTE3",,"Agalinis tenuifolia (Vahl) Raf.",slenderleaf false foxglove
"AGTEL",,"Agalinis tenuifolia (Vahl) Raf. var. leucanthera (Raf.) Pennell",slenderleaf false foxglove
"AGTEM",,"Agalinis tenuifolia (Vahl) Raf. var. macrophylla (Benth.) S.F. Blake",slenderleaf false foxglove
"AGTET",,"Agalinis tenuifolia (Vahl) Raf. var. tenuifolia ",slenderleaf false foxglove
"AGVI5",,"Agalinis viridis (Small) Pennell",green false foxglove
"AGAM",,"Agave americana L.",American century plant
"AGAMA",,"Agave americana L. ssp. americana ",American century plant
"AGAMA2",,"Agave americana L. ssp. americana var. americana ",American century plant
"AGAL5",,"Ageratina altissima (L.) R.M. King & H. Rob.",white snakeroot
"AGALA",,"Ageratina altissima (L.) R.M. King & H. Rob. var. altissima ",white snakeroot
"AGALA2",,"Ageratina altissima (L.) R.M. King & H. Rob. var. angustata (A. Gray) Clewell & Wooten",white snakeroot
"AGAR4",,"Ageratina aromatica (L.) Spach",lesser snakeroot
"AGARA",,"Ageratina aromatica (L.) Spach var. aromatica ",lesser snakeroot
"AGCO",,"Ageratum conyzoides L.",tropical whiteweed
"AGGR2",,"Agrimonia gryposepala Wallr.",tall hairy agrimony
"AGIN3",,"Agrimonia incisa Torr. & A. Gray",incised agrimony
"AGMI2",,"Agrimonia microcarpa Wallr.",smallfruit agrimony
"AGPA6",,"Agrimonia parviflora Aiton",harvestlice
"AGPU",,"Agrimonia pubescens Wallr.",soft agrimony
"AGRO3",,"Agrimonia rostellata Wallr.",beaked agrimony
"AGGI",,"Agrostemma githago L.",common corncockle
"AGEL4",,"Agrostis elliottiana Schult.",Elliott's bentgrass
"AGGI2",,"Agrostis gigantea Roth",redtop
"AGHY",,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.",winter bentgrass
"AGPE",,"Agrostis perennans (Walter) Tuck.",upland bentgrass
"AGSC5",,"Agrostis scabra Willd.",rough bentgrass
"AGST2",,"Agrostis stolonifera L.",creeping bentgrass
"AIAL",,"Ailanthus altissima (Mill.) Swingle",tree of heaven
