Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"ABBA",,"Abies balsamea (L.) Mill.",balsam fir
"ABBAB",,"Abies balsamea (L.) Mill. var. balsamea ",balsam fir
"ABBAP",,"Abies balsamea (L.) Mill. var. phanerolepis Fernald",balsam fir
"ABCO",,"Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",white fir
"ABTH",,"Abutilon theophrasti Medik.",velvetleaf
"ACGR2",,"Acalypha gracilens A. Gray",slender threeseed mercury
"ACRH",,"Acalypha rhomboidea Raf.",common threeseed mercury
"ACVI",,"Acalypha virginica L.",Virginia threeseed mercury
"ACFR",,"Acer ×freemanii A.E. Murray [rubrum × saccharinum]",Freeman maple
"ACGI",,"Acer ginnala Maxim.",Amur maple
"ACNE2",,"Acer negundo L.",boxelder
"ACNEN",,"Acer negundo L. var. negundo ",boxelder
"ACNEV",,"Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger",boxelder
"ACPE",,"Acer pensylvanicum L.",striped maple
"ACPL",,"Acer platanoides L.",Norway maple
"ACPS",,"Acer pseudoplatanus L.",sycamore maple
"ACRU",,"Acer rubrum L.",red maple
"ACRUR",,"Acer rubrum L. var. rubrum ",red maple
"ACRUT",,"Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch",red maple
"ACSA2",,"Acer saccharinum L.",silver maple
"ACSA3",,"Acer saccharum Marshall",sugar maple
"ACSAS",,"Acer saccharum Marshall var. saccharum ",sugar maple
"ACSP2",,"Acer spicatum Lam.",mountain maple
"ACMI2",,"Achillea millefolium L.",common yarrow
"ACMIB",,"Achillea millefolium L. var. borealis (Bong.) Farw.",boreal yarrow
"ACMIM2",,"Achillea millefolium L. var. millefolium ",common yarrow
"ACMIN",,"Achillea millefolium L. var. nigrescens E. Mey.",common yarrow
"ACMIO",,"Achillea millefolium L. var. occidentalis DC.",western yarrow
"ACPT",,"Achillea ptarmica L.",sneezeweed
"ACAR2",,"Acinos arvensis (Lam.) Dandy",basil thyme
"ACNA",,"Aconitum napellus L.",Venus' chariot
"ACAM",,"Acorus americanus (Raf.) Raf.",sweetflag
"ACCA4",,"Acorus calamus L.",calamus
"ACPA",,"Actaea pachypoda Elliott",white baneberry
"ACRA7",,"Actaea racemosa L.",black baneberry
"ACRAR",,"Actaea racemosa L. var. racemosa ",black bugbane
"ACRU2",,"Actaea rubra (Aiton) Willd.",red baneberry
"ACRUR2",,"Actaea rubra (Aiton) Willd. ssp. rubra ",red baneberry
"ACAR10",,"Actinidia arguta (Siebold & Zucc.) Planch. ex Miq.",tara vine
"ADAL",,"Adiantum aleuticum (Rupr.) Paris",Aleutian maidenhair
"ADPE",,"Adiantum pedatum L.",northern maidenhair
"ADFU",,"Adlumia fungosa (Aiton) Greene ex Britton, Sterns & Poggenb.",allegheny vine
"AEPO",,"Aegopodium podagraria L.",bishop's goutweed
"AEGL",,"Aesculus glabra Willd.",Ohio buckeye
"AEGLG",,"Aesculus glabra Willd. var. glabra ",Ohio buckeye
"AEHI",,"Aesculus hippocastanum L.",horse chestnut
"AECY2",,"Aethusa cynapium L.",fool's parsley
"AGMA3",,"Agalinis maritima (Raf.) Raf.",saltmarsh false foxglove
"AGMAM",,"Agalinis maritima (Raf.) Raf. var. maritima ",saltmarsh false foxglove
"AGNE5",,"Agalinis neoscotica (Greene) Fernald",Middleton false foxglove
"AGPA12",,"Agalinis paupercula (A. Gray) Britton",smallflower false foxglove
"AGPAB",,"Agalinis paupercula (A. Gray) Britton var. borealis Pennell",smallflower false foxglove
"AGPAP3",,"Agalinis paupercula (A. Gray) Britton var. paupercula ",smallflower false foxglove
"AGTE3",,"Agalinis tenuifolia (Vahl) Raf.",slenderleaf false foxglove
"AGTET",,"Agalinis tenuifolia (Vahl) Raf. var. tenuifolia ",slenderleaf false foxglove
"AGAL5",,"Ageratina altissima (L.) R.M. King & H. Rob.",white snakeroot
"AGALA",,"Ageratina altissima (L.) R.M. King & H. Rob. var. altissima ",white snakeroot
"AGGR2",,"Agrimonia gryposepala Wallr.",tall hairy agrimony
"AGPU",,"Agrimonia pubescens Wallr.",soft agrimony
"AGST",,"Agrimonia striata Michx.",roadside agrimony
"AGGI",,"Agrostemma githago L.",common corncockle
"AGCA4",,"Agrostis canina L.",velvet bentgrass
"AGCA5",,"Agrostis capillaris L.",colonial bentgrass
"AGEL4",,"Agrostis elliottiana Schult.",Elliott's bentgrass
"AGGI2",,"Agrostis gigantea Roth",redtop
"AGHY",,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.",winter bentgrass
"AGME3",,"Agrostis mertensii Trin.",northern bentgrass
"AGPE",,"Agrostis perennans (Walter) Tuck.",upland bentgrass
"AGSC5",,"Agrostis scabra Willd.",rough bentgrass
"AGST2",,"Agrostis stolonifera L.",creeping bentgrass
"AIAL",,"Ailanthus altissima (Mill.) Swingle",tree of heaven
"AJGE",,"Ajuga genevensis L.",blue bugle
"AJRE",,"Ajuga reptans L.",common bugle
"ALMO4",,"Alchemilla monticola Opiz",hairy lady's mantle
"ALFA2",,"Aletris farinosa L.",white colicroot
"ALSU",,"Alisma subcordatum Raf.",American water plantain
"ALTR7",,"Alisma triviale Pursh",northern water plantain
"ALPE4",,"Alliaria petiolata (M. Bieb.) Cavara & Grande",garlic mustard
"ALPR6",,"Allium ×proliferum (Moench) Schrad. ex Willd. [cepa × fistulosum]",garden onion
"ALBU2",,"Allium burdickii (Hanes) A.G. Jones",narrowleaf wild leek
"ALCA3",,"Allium canadense L.",meadow garlic
"ALCAC",,"Allium canadense L. var. canadense ",meadow garlic
"ALCE",,"Allium cepa L.",garden onion
"ALSC",,"Allium schoenoprasum L.",wild chives
"ALSCS",,"Allium schoenoprasum L. var. sibiricum (L.) Hartm.",wild chives
"ALTR3",,"Allium tricoccum Aiton",ramp
"ALVI",,"Allium vineale L.",wild garlic
"ALVIV",,"Allium vineale L. ssp. vineale ",wild garlic
"ALIN2",,"Alnus incana (L.) Moench",gray alder
"ALINR",,"Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen",speckled alder
"ALSE2",,"Alnus serrulata (Aiton) Willd.",hazel alder
"ALVI5",,"Alnus viridis (Chaix) DC.",green alder
"ALVIC",,"Alnus viridis (Chaix) DC. ssp. crispa (Aiton) Turrill",mountain alder
"ALAE",,"Alopecurus aequalis Sobol.",shortawn foxtail
"ALAEA",,"Alopecurus aequalis Sobol. var. aequalis ",shortawn foxtail
"ALGE2",,"Alopecurus geniculatus L.",water foxtail
"ALGEG4",,"Alopecurus geniculatus L. var. geniculatus ",water foxtail
"ALMY",,"Alopecurus myosuroides Huds.",slender meadow foxtail
"ALPR3",,"Alopecurus pratensis L.",meadow foxtail
"ALAL3",,"Alyssum alyssoides (L.) L.",pale madwort
"AMAL",,"Amaranthus albus L.",prostrate pigweed
"AMBL",,"Amaranthus blitoides S. Watson",mat amaranth
"AMCA2",,"Amaranthus cannabinus (L.) Sauer",tidalmarsh amaranth
"AMCA3",,"Amaranthus caudatus L.",foxtail amaranth
"AMCR4",,"Amaranthus cruentus L.",red amaranth
"AMHY",,"Amaranthus hybridus L.",slim amaranth
"AMPO2",,"Amaranthus powellii S. Watson",Powell's amaranth
"AMPOP",,"Amaranthus powellii S. Watson ssp. powellii ",Powell's amaranth
"AMRE",,"Amaranthus retroflexus L.",redroot amaranth
"AMSP",,"Amaranthus spinosus L.",spiny amaranth
"AMTU",,"Amaranthus tuberculatus (Moq.) Sauer",roughfruit amaranth
"AMMO",,"Amberboa moschata (L.) DC.",sweetsultan
"AMAR2",,"Ambrosia artemisiifolia L.",annual ragweed
"AMARA2",,"Ambrosia artemisiifolia L. var. artemisiifolia ",annual ragweed
"AMARE",,"Ambrosia artemisiifolia L. var. elatior (L.) Descourtils",annual ragweed
"AMARP",,"Ambrosia artemisiifolia L. var. paniculata (Michx.) Blank.",annual ragweed
"AMPS",,"Ambrosia psilostachya DC.",Cuman ragweed
"AMTR",,"Ambrosia trifida L.",great ragweed
"AMTRT2",,"Ambrosia trifida L. var. trifida ",great ragweed
"AMIN4",,"Amelanchier ×intermedia Spach (pro sp.) [arborea × canadensis]",serviceberry
"AMNE",,"Amelanchier ×neglecta Eggl. ex G.N. Jones (pro sp.) [bartramiana × laevis]",serviceberry
"AMAR3",,"Amelanchier arborea (Michx. f.) Fernald",common serviceberry
"AMARA4",,"Amelanchier arborea (Michx. f.) Fernald var. arborea ",common serviceberry
"AMBA",,"Amelanchier bartramiana (Tausch) M. Roem.",oblongfruit serviceberry
"AMCA4",,"Amelanchier canadensis (L.) Medik.",Canadian serviceberry
"AMHU2",,"Amelanchier humilis Wiegand",low serviceberry
"AMIN2",,"Amelanchier interior E.L. Nielsen",inland serviceberry
"AMLA",,"Amelanchier laevis Wiegand",Allegheny serviceberry
"AMNA2",,"Amelanchier nantucketensis E.P. Bicknell",Nantucket serviceberry
"AMSA",,"Amelanchier sanguinea (Pursh) DC.",roundleaf serviceberry
"AMSAG",,"Amelanchier sanguinea (Pursh) DC. var. gaspensis Wiegand",Gaspé serviceberry
"AMSAS",,"Amelanchier sanguinea (Pursh) DC. var. sanguinea ",roundleaf serviceberry
"AMST80",,"Amelanchier stolonifera Wiegand",running serviceberry
"AMRO",,"Amerorchis rotundifolia (Banks ex Pursh) Hultén",roundleaf orchid
"AMBR",,"Ammophila breviligulata Fernald",American beachgrass
"AMCH6",,"Ammophila champlainensis Seymour",Champlain beachgrass
"AMFR",,"Amorpha fruticosa L.",false indigo bush
"AMBR2",,"Amphicarpaea bracteata (L.) Fernald",American hogpeanut
"AMBRB",,"Amphicarpaea bracteata (L.) Fernald var. bracteata ",American hogpeanut
"AMBRC",,"Amphicarpaea bracteata (L.) Fernald var. comosa ",American hogpeanut
"AMDO",,"Amsinckia douglasiana A. DC.",Douglas' fiddleneck
"AMME",,"Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr.",Menzies' fiddleneck
"AMMEI2",,"Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr. var. intermedia (Fisch. & C.A. Mey.) Ganders",common fiddleneck
"ANAR",,"Anagallis arvensis L.",scarlet pimpernel
"ANARA7",,"Anagallis arvensis L. ssp. arvensis ",scarlet pimpernel
"ANARF",,"Anagallis arvensis L. ssp. foemina (Mill.) Schinz & Thell.",poorman's weatherglass
"ANMA",,"Anaphalis margaritacea (L.) Benth.",western pearly everlasting
"ANAR16",,"Anchusa arvensis (L.) M. Bieb.",small bugloss
"ANOF",,"Anchusa officinalis L.",common bugloss
"ANPO",,"Andromeda polifolia L.",bog rosemary
"ANPOG",,"Andromeda polifolia L. var. glaucophylla (Link) DC.",bog rosemary
"ANGE",,"Andropogon gerardii Vitman",big bluestem
"ANCA8",,"Anemone canadensis L.",Canadian anemone
"ANCY",,"Anemone cylindrica A. Gray",candle anemone
"ANMU",,"Anemone multifida Poir.",Pacific anemone
"ANMUM3",,"Anemone multifida Poir. var. multifida ",Pacific anemone
"ANQU",,"Anemone quinquefolia L.",wood anemone
"ANQUQ",,"Anemone quinquefolia L. var. quinquefolia ",nightcaps
"ANVI3",,"Anemone virginiana L.",tall thimbleweed
"ANVIA2",,"Anemone virginiana L. var. alba (Oakes) Alph. Wood",tall thimbleweed
"ANVIV2",,"Anemone virginiana L. var. virginiana ",tall thimbleweed
"ANGR2",,"Anethum graveolens L.",dill
"ANAT",,"Angelica atropurpurea L.",purplestem angelica
"ANLU",,"Angelica lucida L.",seacoast angelica
"ANHO",,"Antennaria howellii Greene",Howell's pussytoes
"ANHOC",,"Antennaria howellii Greene ssp. canadensis (Greene) Bayer",Canadian pussytoes
"ANHON",,"Antennaria howellii Greene ssp. neodioica (Greene) Bayer",Howell's pussytoes
"ANHOP",,"Antennaria howellii Greene ssp. petaloidea (Fernald) Bayer",small pussytoes
"ANNE",,"Antennaria neglecta Greene",field pussytoes
"ANPA9",,"Antennaria parlinii Fernald",Parlin's pussytoes
"ANPAF",,"Antennaria parlinii Fernald ssp. fallax (Greene) Bayer & Stebbins",Parlin's pussytoes
"ANPAP",,"Antennaria parlinii Fernald ssp. parlinii ",Parlin's pussytoes
"ANPL",,"Antennaria plantaginifolia (L.) Richardson",woman's tobacco
"ANAR6",,"Anthemis arvensis L.",corn chamomile
