Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"CADO7",,"×Calammophila don-hensonii Reznicek & E.J. Judziewicz [Ammophila breviligulata × Calamagrostis canadensis]",Henson's calammophila
"ABES",,"Abelmoschus esculentus (L.) Moench",okra
"ABBA",,"Abies balsamea (L.) Mill.",balsam fir
"ABBAB",,"Abies balsamea (L.) Mill. var. balsamea ",balsam fir
"ABTH",,"Abutilon theophrasti Medik.",velvetleaf
"ACGR2",,"Acalypha gracilens A. Gray",slender threeseed mercury
"ACRH",,"Acalypha rhomboidea Raf.",common threeseed mercury
"ACVI",,"Acalypha virginica L.",Virginia threeseed mercury
"ACGI",,"Acer ginnala Maxim.",Amur maple
"ACNE2",,"Acer negundo L.",boxelder
"ACNEN",,"Acer negundo L. var. negundo ",boxelder
"ACNEV",,"Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger",boxelder
"ACNI5",,"Acer nigrum Michx. f.",black maple
"ACPE",,"Acer pensylvanicum L.",striped maple
"ACPL",,"Acer platanoides L.",Norway maple
"ACPS",,"Acer pseudoplatanus L.",sycamore maple
"ACRU",,"Acer rubrum L.",red maple
"ACRUR",,"Acer rubrum L. var. rubrum ",red maple
"ACSA2",,"Acer saccharinum L.",silver maple
"ACSA3",,"Acer saccharum Marshall",sugar maple
"ACSAS",,"Acer saccharum Marshall var. saccharum ",sugar maple
"ACSP2",,"Acer spicatum Lam.",mountain maple
"ACFI",,"Achillea filipendulina Lam.",fernleaf yarrow
"ACLI2",,"Achillea ligustica All.",Ligurian yarrow
"ACMI2",,"Achillea millefolium L.",common yarrow
"ACMIB",,"Achillea millefolium L. var. borealis (Bong.) Farw.",boreal yarrow
"ACMIM2",,"Achillea millefolium L. var. millefolium ",common yarrow
"ACMIN",,"Achillea millefolium L. var. nigrescens E. Mey.",common yarrow
"ACMIO",,"Achillea millefolium L. var. occidentalis DC.",western yarrow
"ACPT",,"Achillea ptarmica L.",sneezeweed
"ACAR2",,"Acinos arvensis (Lam.) Dandy",basil thyme
"ACNA",,"Aconitum napellus L.",Venus' chariot
"ACAM",,"Acorus americanus (Raf.) Raf.",sweetflag
"ACCA4",,"Acorus calamus L.",calamus
"ACRE3",,"Acroptilon repens (L.) DC.",hardheads
"ACPA",,"Actaea pachypoda Elliott",white baneberry
"ACRA7",,"Actaea racemosa L.",black baneberry
"ACRAR",,"Actaea racemosa L. var. racemosa ",black bugbane
"ACRU2",,"Actaea rubra (Aiton) Willd.",red baneberry
"ACRUR2",,"Actaea rubra (Aiton) Willd. ssp. rubra ",red baneberry
"ADBI",,"Adenocaulon bicolor Hook.",American trailplant
"ADAL",,"Adiantum aleuticum (Rupr.) Paris",Aleutian maidenhair
"ADPE",,"Adiantum pedatum L.",northern maidenhair
"ADFU",,"Adlumia fungosa (Aiton) Greene ex Britton, Sterns & Poggenb.",allegheny vine
"AECY",,"Aegilops cylindrica Host",jointed goatgrass
"AEPO",,"Aegopodium podagraria L.",bishop's goutweed
"AEMA2",,"Aesculus ×marylandica J.R. Booth ex G. Kirchn. [flava × glabra]",buckeye
"AEGL",,"Aesculus glabra Willd.",Ohio buckeye
"AEGLG",,"Aesculus glabra Willd. var. glabra ",Ohio buckeye
"AEHI",,"Aesculus hippocastanum L.",horse chestnut
"AECY2",,"Aethusa cynapium L.",fool's parsley
"AGAU3",,"Agalinis auriculata (Michx.) S.F. Blake",earleaf false foxglove
"AGGA",,"Agalinis gattingeri (Small) Small",roundstem false foxglove
"AGPA12",,"Agalinis paupercula (A. Gray) Britton",smallflower false foxglove
"AGPAB",,"Agalinis paupercula (A. Gray) Britton var. borealis Pennell",smallflower false foxglove
"AGPAP3",,"Agalinis paupercula (A. Gray) Britton var. paupercula ",smallflower false foxglove
"AGPU5",,"Agalinis purpurea (L.) Pennell",purple false foxglove
"AGSK",,"Agalinis skinneriana (Alph. Wood) Britton",Skinner's false foxglove
"AGTE3",,"Agalinis tenuifolia (Vahl) Raf.",slenderleaf false foxglove
"AGTEM",,"Agalinis tenuifolia (Vahl) Raf. var. macrophylla (Benth.) S.F. Blake",slenderleaf false foxglove
"AGTEP2",,"Agalinis tenuifolia (Vahl) Raf. var. parviflora (Nutt.) Pennell",slenderleaf false foxglove
"AGTET",,"Agalinis tenuifolia (Vahl) Raf. var. tenuifolia ",slenderleaf false foxglove
"AGFO",,"Agastache foeniculum (Pursh) Kuntze",blue giant hyssop
"AGNE2",,"Agastache nepetoides (L.) Kuntze",yellow giant hyssop
"AGSC",,"Agastache scrophulariifolia (Willd.) Kuntze",purple giant hyssop
"AGAL5",,"Ageratina altissima (L.) R.M. King & H. Rob.",white snakeroot
"AGALA",,"Ageratina altissima (L.) R.M. King & H. Rob. var. altissima ",white snakeroot
"AGGL",,"Agoseris glauca (Pursh) Raf.",pale agoseris
"AGGLG",,"Agoseris glauca (Pursh) Raf. var. glauca ",pale agoseris
"AGGR2",,"Agrimonia gryposepala Wallr.",tall hairy agrimony
"AGPA6",,"Agrimonia parviflora Aiton",harvestlice
"AGPU",,"Agrimonia pubescens Wallr.",soft agrimony
"AGRO3",,"Agrimonia rostellata Wallr.",beaked agrimony
"AGST",,"Agrimonia striata Michx.",roadside agrimony
"AGCR",,"Agropyron cristatum (L.) Gaertn.",crested wheatgrass
"AGCRP8",,"Agropyron cristatum (L.) Gaertn. ssp. pectinatum (M. Bieb.) Tzvelev",crested wheatgrass
"AGGI",,"Agrostemma githago L.",common corncockle
"AGCA4",,"Agrostis canina L.",velvet bentgrass
"AGCA5",,"Agrostis capillaris L.",colonial bentgrass
"AGGI2",,"Agrostis gigantea Roth",redtop
"AGHY",,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.",winter bentgrass
"AGPE",,"Agrostis perennans (Walter) Tuck.",upland bentgrass
"AGSC5",,"Agrostis scabra Willd.",rough bentgrass
"AGST2",,"Agrostis stolonifera L.",creeping bentgrass
"AIAL",,"Ailanthus altissima (Mill.) Swingle",tree of heaven
"AJGE",,"Ajuga genevensis L.",blue bugle
"AJRE",,"Ajuga reptans L.",common bugle
"AKQU",,"Akebia quinata (Houtt.) Decne.",chocolate vine
"ALRO3",,"Alcea rosea L.",hollyhock
"ALFA2",,"Aletris farinosa L.",white colicroot
"ALSU",,"Alisma subcordatum Raf.",American water plantain
"ALTR7",,"Alisma triviale Pursh",northern water plantain
"ALPE4",,"Alliaria petiolata (M. Bieb.) Cavara & Grande",garlic mustard
"ALBU2",,"Allium burdickii (Hanes) A.G. Jones",narrowleaf wild leek
"ALCA3",,"Allium canadense L.",meadow garlic
"ALCAC",,"Allium canadense L. var. canadense ",meadow garlic
"ALCE",,"Allium cepa L.",garden onion
"ALCE2",,"Allium cernuum Roth",nodding onion
"ALCEC2",,"Allium cernuum Roth var. cernuum ",nodding onion
"ALSA2",,"Allium sativum L.",cultivated garlic
"ALSC",,"Allium schoenoprasum L.",wild chives
"ALSCS",,"Allium schoenoprasum L. var. sibiricum (L.) Hartm.",wild chives
"ALSC3",,"Allium scorodoprasum L.",sand leek
"ALSCR",,"Allium scorodoprasum L. ssp. rotundum (L.) Stearn",sand leek
"ALST",,"Allium stellatum Fraser ex Ker Gawl.",autumn onion
"ALTR3",,"Allium tricoccum Aiton",ramp
"ALVI",,"Allium vineale L.",wild garlic
"ALVIV",,"Allium vineale L. ssp. vineale ",wild garlic
"ALGL2",,"Alnus glutinosa (L.) Gaertn.",European alder
"ALIN2",,"Alnus incana (L.) Moench",gray alder
"ALINR",,"Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen",speckled alder
"ALVI5",,"Alnus viridis (Chaix) DC.",green alder
"ALVIC",,"Alnus viridis (Chaix) DC. ssp. crispa (Aiton) Turrill",mountain alder
"ALAE",,"Alopecurus aequalis Sobol.",shortawn foxtail
"ALAEA",,"Alopecurus aequalis Sobol. var. aequalis ",shortawn foxtail
"ALCA4",,"Alopecurus carolinianus Walter",Carolina foxtail
"ALGE2",,"Alopecurus geniculatus L.",water foxtail
"ALGEG4",,"Alopecurus geniculatus L. var. geniculatus ",water foxtail
"ALMY",,"Alopecurus myosuroides Huds.",slender meadow foxtail
"ALPR3",,"Alopecurus pratensis L.",meadow foxtail
"ALOF2",,"Althaea officinalis L.",common marshmallow
"ALAL3",,"Alyssum alyssoides (L.) L.",pale madwort
"ALMU",,"Alyssum murale Waldst. & Kit.",yellowtuft
"AMAL",,"Amaranthus albus L.",prostrate pigweed
"AMAR",,"Amaranthus arenicola I.M. Johnst.",sandhill amaranth
"AMBL",,"Amaranthus blitoides S. Watson",mat amaranth
"AMCA3",,"Amaranthus caudatus L.",foxtail amaranth
"AMCR4",,"Amaranthus cruentus L.",red amaranth
"AMHY",,"Amaranthus hybridus L.",slim amaranth
"AMHY2",,"Amaranthus hypochondriacus L.",Prince-of-Wales feather
"AMPO2",,"Amaranthus powellii S. Watson",Powell's amaranth
"AMPOP",,"Amaranthus powellii S. Watson ssp. powellii ",Powell's amaranth
"AMRE",,"Amaranthus retroflexus L.",redroot amaranth
"AMSP",,"Amaranthus spinosus L.",spiny amaranth
"AMTR2",,"Amaranthus tricolor L.",Joseph's-coat
"AMTU",,"Amaranthus tuberculatus (Moq.) Sauer",roughfruit amaranth
"AMVI",,"Amaranthus viridis L.",slender amaranth
"AMHE3",,"Ambrosia ×helenae Rouleau [artemisiifolia × trifida]",ragweed
"AMIN",,"Ambrosia ×intergradiens W.H. Wagner [artemisiifolia × psilostachya]",ragweed
