Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"ACCA32",,"×Achnella caduca (Beal) Barkworth [Achnatherum hymenoides × Nassella viridula]",Mandan ricegrass
"ELIO",,"×Elyhordeum iowense Pohl [Elymus villosus × Hordeum jubatum]",Iowa barley
"ELMA8",,"×Elyhordeum macounii (Vasey) Barkworth & D.R. Dewey [Elymus trachycaulus × Hordeum jubatum]",Macoun's barley
"ELMO4",,"×Elyhordeum montanense (Scribn.) Bowden [Elymus virginicus × Hordeum jubatum]",mountain barley
"PSSA2",,"×Pseudelymus saxicola (Scribn. & J.G. Sm.) Barkworth & D.R. Dewey [Elymus elymoides × Pseudoroegneria spicata]",foxtail wheatgrass
"ABGR",,"Abies grandis (Douglas ex D. Don) Lindl.",grand fir
"ABLA",,"Abies lasiocarpa (Hook.) Nutt.",subalpine fir
"ABLAL",,"Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa ",subalpine fir
"ABFR2",,"Abronia fragrans Nutt. ex Hook.",snowball sand verbena
"ABTH",,"Abutilon theophrasti Medik.",velvetleaf
"ACGL",,"Acer glabrum Torr.",Rocky Mountain maple
"ACGLD4",,"Acer glabrum Torr. var. douglasii (Hook.) Dippel",Douglas maple
"ACGLG2",,"Acer glabrum Torr. var. glabrum ",Rocky Mountain maple
"ACGR3",,"Acer grandidentatum Nutt.",bigtooth maple
"ACGRG",,"Acer grandidentatum Nutt. var. grandidentatum ",bigtooth maple
"ACNE2",,"Acer negundo L.",boxelder
"ACNEI2",,"Acer negundo L. var. interius (Britton) Sarg.",boxelder
"ACNEV",,"Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger",boxelder
"ACPL",,"Acer platanoides L.",Norway maple
"ACMI2",,"Achillea millefolium L.",common yarrow
"ACMIA",,"Achillea millefolium L. var. alpicola (Rydb.) Garrett",common yarrow
"ACMIO",,"Achillea millefolium L. var. occidentalis DC.",western yarrow
"ACNO",,"Achillea nobilis L.",noble yarrow
"ACPT",,"Achillea ptarmica L.",sneezeweed
"ACSI",,"Achillea sibirica Ledeb.",Siberian yarrow
"ACBL",,"Achnatherum ×bloomeri (Bol.) Barkworth [hymenoides × occidentale]",
"ACCO22",,"Achnatherum contractum (B.L. Johnson) Barkworth",contracted ricegrass
"ACHY",,"Achnatherum hymenoides (Roem. & Schult.) Barkworth",Indian ricegrass
"ACLE8",,"Achnatherum lemmonii (Vasey) Barkworth",Lemmon's needlegrass
"ACLEL",,"Achnatherum lemmonii (Vasey) Barkworth var. lemmonii ",Lemmon's needlegrass
"ACLE9",,"Achnatherum lettermanii (Vasey) Barkworth",Letterman's needlegrass
"ACNE9",,"Achnatherum nelsonii (Scribn.) Barkworth",Columbia needlegrass
"ACNED",,"Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth",Dore's needlegrass
"ACNEN2",,"Achnatherum nelsonii (Scribn.) Barkworth ssp. nelsonii ",Columbia needlegrass
"ACOC3",,"Achnatherum occidentale (Thurb.) Barkworth",western needlegrass
"ACOCP",,"Achnatherum occidentale (Thurb.) Barkworth ssp. pubescens (Vasey) Barkworth",pubescent western needlegrass
"ACPI2",,"Achnatherum pinetorum (M.E. Jones) Barkworth",pine needlegrass
"ACRI8",,"Achnatherum richardsonii (Link) Barkworth",Richardson's needlegrass
"ACTH7",,"Achnatherum thurberianum (Piper) Barkworth",Thurber's needlegrass
"ACAR2",,"Acinos arvensis (Lam.) Dandy",basil thyme
"ACCO4",,"Aconitum columbianum Nutt.",Columbian monkshood
"ACCOC3",,"Aconitum columbianum Nutt. ssp. columbianum ",Columbian monkshood
"ACAM",,"Acorus americanus (Raf.) Raf.",sweetflag
"ACRE3",,"Acroptilon repens (L.) DC.",hardheads
"ACRU2",,"Actaea rubra (Aiton) Willd.",red baneberry
"ACRUA8",,"Actaea rubra (Aiton) Willd. ssp. arguta (Nutt.) Hultén",red baneberry
"ACRUR2",,"Actaea rubra (Aiton) Willd. ssp. rubra ",red baneberry
"ADBI",,"Adenocaulon bicolor Hook.",American trailplant
"ADAL",,"Adiantum aleuticum (Rupr.) Paris",Aleutian maidenhair
"ADAE",,"Adonis aestivalis L.",summer pheasant's eye
"ADAN",,"Adonis annua L.",blooddrops
"ADMO",,"Adoxa moschatellina L.",muskroot
"AECY",,"Aegilops cylindrica Host",jointed goatgrass
"AEPO",,"Aegopodium podagraria L.",bishop's goutweed
"AGCU",,"Agastache cusickii (Greenm.) A. Heller",Cusick's giant hyssop
"AGFO",,"Agastache foeniculum (Pursh) Kuntze",blue giant hyssop
"AGUR",,"Agastache urticifolia (Benth.) Kuntze",nettleleaf giant hyssop
"AGURU",,"Agastache urticifolia (Benth.) Kuntze var. urticifolia ",nettleleaf giant hyssop
"AGOC2",,"Ageratina occidentalis (Hook.) R.M. King & H. Rob.",western snakeroot
"AGAU2",,"Agoseris aurantiaca (Hook.) Greene",orange agoseris
"AGAUA",,"Agoseris aurantiaca (Hook.) Greene var. aurantiaca ",orange agoseris
"AGAUP",,"Agoseris aurantiaca (Hook.) Greene var. purpurea (A. Gray) Cronquist",orange agoseris
"AGGL",,"Agoseris glauca (Pursh) Raf.",pale agoseris
"AGGLA",,"Agoseris glauca (Pursh) Raf. var. agrestis (Osterh.) Q. Jones ex Cronquist",pale agoseris
"AGGLD",,"Agoseris glauca (Pursh) Raf. var. dasycephala (Torr. & A. Gray) Jeps.",pale agoseris
"AGGLG",,"Agoseris glauca (Pursh) Raf. var. glauca ",pale agoseris
"AGGLL",,"Agoseris glauca (Pursh) Raf. var. laciniata (D.C. Eaton) Smiley",false agoseris
"AGGR",,"Agoseris grandiflora (Nutt.) Greene",bigflower agoseris
"AGHE2",,"Agoseris heterophylla (Nutt.) Greene",annual agoseris
"AGHEH",,"Agoseris heterophylla (Nutt.) Greene var. heterophylla ",annual agoseris
"AGLA9",,"Agoseris lackschewitzii Douglass M. Hend. & R. Moseley",Mill Creek agoseris
"AGST",,"Agrimonia striata Michx.",roadside agrimony
"AGCR",,"Agropyron cristatum (L.) Gaertn.",crested wheatgrass
"AGCRP8",,"Agropyron cristatum (L.) Gaertn. ssp. pectinatum (M. Bieb.) Tzvelev",crested wheatgrass
"AGDE2",,"Agropyron desertorum (Fisch. ex Link) Schult.",desert wheatgrass
"AGFR",,"Agropyron fragile (Roth) P. Candargy",Siberian wheatgrass
"AGGI",,"Agrostemma githago L.",common corncockle
"AGCA5",,"Agrostis capillaris L.",colonial bentgrass
"AGEX",,"Agrostis exarata Trin.",spike bentgrass
"AGGI2",,"Agrostis gigantea Roth",redtop
"AGHU",,"Agrostis humilis Vasey",alpine bentgrass
"AGID",,"Agrostis idahoensis Nash",Idaho bentgrass
"AGME3",,"Agrostis mertensii Trin.",northern bentgrass
"AGOR",,"Agrostis oregonensis Vasey",Oregon bentgrass
"AGPA8",,"Agrostis pallens Trin.",seashore bentgrass
"AGSC5",,"Agrostis scabra Willd.",rough bentgrass
"AGST2",,"Agrostis stolonifera L.",creeping bentgrass
"AGVA",,"Agrostis variabilis Rydb.",mountain bentgrass
"ALRO3",,"Alcea rosea L.",hollyhock
"ALSU2",,"Alchemilla subcrenata Buser",broadtooth lady's mantle
"ALLE7",,"Aliciella leptomeria (A. Gray) J.M. Porter",sand gilia
"ALGR",,"Alisma gramineum Lej.",narrowleaf water plantain
"ALTR7",,"Alisma triviale Pursh",northern water plantain
"ALAC4",,"Allium acuminatum Hook.",tapertip onion
"ALBR",,"Allium brandegeei S. Watson",Brandegee's onion
"ALBR2",,"Allium brevistylum S. Watson",shortstyle onion
"ALCA3",,"Allium canadense L.",meadow garlic
"ALCAF",,"Allium canadense L. var. fraseri Ownbey",Fraser meadow garlic
"ALCE",,"Allium cepa L.",garden onion
"ALCE2",,"Allium cernuum Roth",nodding onion
"ALCEC2",,"Allium cernuum Roth var. cernuum ",nodding onion
"ALCEO",,"Allium cernuum Roth var. obtusum Cockerell ex J.F. Macbr.",nodding onion
"ALCO2",,"Allium columbianum (Ownbey & Mingrone) P. Peterson, Annable & Rieseberg",Columbian onion
"ALFI",,"Allium fibrillum M.E. Jones",Cuddy Mountain onion
"ALGE",,"Allium geyeri S. Watson",Geyer's onion
"ALGEG",,"Allium geyeri S. Watson var. geyeri ",Geyer's onion
"ALGET",,"Allium geyeri S. Watson var. tenerum M.E. Jones",bulbil onion
"ALPA3",,"Allium parvum Kellogg",small onion
"ALSC",,"Allium schoenoprasum L.",wild chives
"ALSCS",,"Allium schoenoprasum L. var. sibiricum (L.) Hartm.",wild chives
"ALSI",,"Allium simillimum L.F. Hend.",simil onion
"ALTE",,"Allium textile A. Nelson & J.F. Macbr.",textile onion
"ALVI",,"Allium vineale L.",wild garlic
"ALVIV",,"Allium vineale L. ssp. vineale ",wild garlic
"ALVI2",,"Allotropa virgata Torr. & A. Gray ex A. Gray",sugarstick
"ALPA14",,"Almutaster pauciflorus (Nutt.) Á. Löve & D. Löve",alkali marsh aster
"ALIN2",,"Alnus incana (L.) Moench",gray alder
"ALINT",,"Alnus incana (L.) Moench ssp. tenuifolia (Nutt.) Breitung",thinleaf alder
"ALRH2",,"Alnus rhombifolia Nutt.",white alder
"ALRU2",,"Alnus rubra Bong.",red alder
"ALVI5",,"Alnus viridis (Chaix) DC.",green alder
"ALVIS",,"Alnus viridis (Chaix) DC. ssp. sinuata (Regel) Á. Löve & D. Löve",Sitka alder
"ALAE",,"Alopecurus aequalis Sobol.",shortawn foxtail
"ALAEA",,"Alopecurus aequalis Sobol. var. aequalis ",shortawn foxtail
"ALAR",,"Alopecurus arundinaceus Poir.",creeping meadow foxtail
"ALCA4",,"Alopecurus carolinianus Walter",Carolina foxtail
"ALGE2",,"Alopecurus geniculatus L.",water foxtail
"ALGEG4",,"Alopecurus geniculatus L. var. geniculatus ",water foxtail
"ALMA8",,"Alopecurus magellanicus Lam.",Alpine Meadow-Foxtail
"ALPR3",,"Alopecurus pratensis L.",meadow foxtail
"ALAL3",,"Alyssum alyssoides (L.) L.",pale madwort
"ALDE",,"Alyssum desertorum Stapf",desert madwort
"ALDED",,"Alyssum desertorum Stapf var. desertorum ",desert madwort
"ALSI8",,"Alyssum simplex Rudolphi",alyssum
"AMAL",,"Amaranthus albus L.",prostrate pigweed
"AMAR",,"Amaranthus arenicola I.M. Johnst.",sandhill amaranth
"AMBL",,"Amaranthus blitoides S. Watson",mat amaranth
"AMCA",,"Amaranthus californicus (Moq.) S. Watson",California amaranth
"AMCA3",,"Amaranthus caudatus L.",foxtail amaranth
"AMHY",,"Amaranthus hybridus L.",slim amaranth
"AMPO2",,"Amaranthus powellii S. Watson",Powell's amaranth
"AMPOB2",,"Amaranthus powellii S. Watson ssp. bouchonii (Thell.) Costea & Carretero",Powell's amaranth
"AMPOP",,"Amaranthus powellii S. Watson ssp. powellii ",Powell's amaranth
"AMRE",,"Amaranthus retroflexus L.",redroot amaranth
"AMAC2",,"Ambrosia acanthicarpa Hook.",flatspine bur ragweed
"AMAR2",,"Ambrosia artemisiifolia L.",annual ragweed
"AMARE",,"Ambrosia artemisiifolia L. var. elatior (L.) Descourtils",annual ragweed
"AMPS",,"Ambrosia psilostachya DC.",Cuman ragweed
"AMTO3",,"Ambrosia tomentosa Nutt.",skeletonleaf bur ragweed
"AMTR",,"Ambrosia trifida L.",great ragweed
"AMTRT2",,"Ambrosia trifida L. var. trifida ",great ragweed
"AMAL2",,"Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.",Saskatoon serviceberry
"AMALA",,"Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem. var. alnifolia ",Saskatoon serviceberry
"AMALC",,"Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem. var. cusickii (Fernald) C.L. Hitchc.",Cusick's serviceberry
"AMHU2",,"Amelanchier humilis Wiegand",low serviceberry
"AMPU5",,"Amelanchier pumila (Torr. & A. Gray) Nutt. ex M. Roem.",dwarf serviceberry
"AMUT",,"Amelanchier utahensis Koehne",Utah serviceberry
"AMUTU",,"Amelanchier utahensis Koehne var. utahensis ",Utah serviceberry
"AMRO",,"Amerorchis rotundifolia (Banks ex Pursh) Hultén",roundleaf orchid
"AMRO3",,"Ammannia robusta Heer & Regel",grand redstem
"AMCA6",,"Amorpha canescens Pursh",leadplant
"AMBR2",,"Amphicarpaea bracteata (L.) Fernald",American hogpeanut
"AMBRC",,"Amphicarpaea bracteata (L.) Fernald var. comosa ",American hogpeanut
"AMLY",,"Amsinckia lycopsoides Lehm.",tarweed fiddleneck
"AMME",,"Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr.",Menzies' fiddleneck
"AMMEI2",,"Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr. var. intermedia (Fisch. & C.A. Mey.) Ganders",common fiddleneck
"ANAR",,"Anagallis arvensis L.",scarlet pimpernel
"ANARA7",,"Anagallis arvensis L. ssp. arvensis ",scarlet pimpernel
"ANMI4",,"Anagallis minima (L.) Krause",chaffweed
"ANMA",,"Anaphalis margaritacea (L.) Benth.",western pearly everlasting
"ANAR16",,"Anchusa arvensis (L.) M. Bieb.",small bugloss
"ANAZ",,"Anchusa azurea Mill.",Italian bugloss
"ANOF",,"Anchusa officinalis L.",common bugloss
"ANGE",,"Andropogon gerardii Vitman",big bluestem
"ANHA",,"Andropogon hallii Hack.",sand bluestem
"ANCH",,"Androsace chamaejasme Wulfen",sweetflower rockjasmine
"ANCHL",,"Androsace chamaejasme Wulfen ssp. lehmanniana (Spreng.) Hultén",Lehmann's rockjasmine
"ANFI",,"Androsace filiformis Retz.",filiform rockjasmine
"ANOC2",,"Androsace occidentalis Pursh",western rockjasmine
"ANSE4",,"Androsace septentrionalis L.",pygmyflower rockjasmine
"ANSEP2",,"Androsace septentrionalis L. ssp. puberulenta (Rydb.) G.T. Robbins",pygmyflower rockjasmine
"ANSES4",,"Androsace septentrionalis L. ssp. subulifera (A. Gray) G.T. Robbins",pygmyflower rockjasmine
"ANSES5",,"Androsace septentrionalis L. ssp. subumbellata (A. Nelson) G.T. Robbins",pygmyflower rockjasmine
"ANCA8",,"Anemone canadensis L.",Canadian anemone
"ANCY",,"Anemone cylindrica A. Gray",candle anemone
"ANLI4",,"Anemone lithophila Rydb.",Little Belt Mountain thimbleweed
"ANMU",,"Anemone multifida Poir.",Pacific anemone
"ANMUM3",,"Anemone multifida Poir. var. multifida ",Pacific anemone
"ANMUS",,"Anemone multifida Poir. var. saxicola B. Boivin",red windflower
"ANMUT",,"Anemone multifida Poir. var. tetonensis (Porter ex Britton) C.L. Hitchc.",Pacific anemone
"ANPA",,"Anemone parviflora Michx.",smallflowered anemone
"ANPAP2",,"Anemone parviflora Michx. var. parviflora ",smallflowered anemone
"ANPI",,"Anemone piperi Britton ex Rydb.",Piper's anemone
"ANGR2",,"Anethum graveolens L.",dill
"ANAR3",,"Angelica arguta Nutt.",Lyall's angelica
"ANDA",,"Angelica dawsonii S. Watson",Dawson's angelica
"ANPI2",,"Angelica pinnata S. Watson",small-leaf angelica
"ANRO",,"Angelica roseana L.F. Hend.",rose angelica
"ANFO",,"Antennaria ×foliacea Greene (pro sp.) [microphylla × racemosa]",pussytoes
"ANMA6",,"Antennaria ×macounii Greene (pro sp.) [media × umbrinella]",pussytoes
"ANAL4",,"Antennaria alpina (L.) Gaertn.",alpine pussytoes
"ANAN2",,"Antennaria anaphaloides Rydb.",pearly pussytoes
"ANAR10",,"Antennaria aromatica Evert",scented pussytoes
"ANCO",,"Antennaria corymbosa E.E. Nelson",flat-top pussytoes
"ANDE9",,"Antennaria densifolia A.E. Porsild",denseleaf pussytoes
"ANDI2",,"Antennaria dimorpha (Nutt.) Torr. & A. Gray",low pussytoes
"ANHO",,"Antennaria howellii Greene",Howell's pussytoes
"ANHOH",,"Antennaria howellii Greene ssp. howellii ",Howell's pussytoes
"ANHON",,"Antennaria howellii Greene ssp. neodioica (Greene) Bayer",Howell's pussytoes
"ANHOP",,"Antennaria howellii Greene ssp. petaloidea (Fernald) Bayer",small pussytoes
"ANLA3",,"Antennaria lanata (Hook.) Greene",woolly pussytoes
"ANLU2",,"Antennaria luzuloides Torr. & A. Gray",rush pussytoes
"ANLUL",,"Antennaria luzuloides Torr. & A. Gray ssp. luzuloides ",rush pussytoes
"ANME2",,"Antennaria media Greene",Rocky Mountain pussytoes
"ANMI3",,"Antennaria microphylla Rydb.",littleleaf pussytoes
"ANMO9",,"Antennaria monocephala DC.",pygmy pussytoes
"ANMOA",,"Antennaria monocephala DC. ssp. angustata (Greene) Hultén",pygmy pussytoes
"ANNE",,"Antennaria neglecta Greene",field pussytoes
"ANPA4",,"Antennaria parvifolia Nutt.",small-leaf pussytoes
"ANPU",,"Antennaria pulcherrima (Hook.) Greene",showy pussytoes
"ANPUP",,"Antennaria pulcherrima (Hook.) Greene ssp. pulcherrima ",handsome pussy-toes
"ANRA",,"Antennaria racemosa Hook.",raceme pussytoes
"ANRO2",,"Antennaria rosea Greene",rosy pussytoes
"ANROC",,"Antennaria rosea Greene ssp. confinis (Greene) Bayer",rosy pussytoes
"ANROP",,"Antennaria rosea Greene ssp. pulvinata (Greene) Bayer",pulvinate pussytoes
"ANROR",,"Antennaria rosea Greene ssp. rosea ",rosy pussytoes
"ANUM",,"Antennaria umbrinella Rydb.",umber pussytoes
"ANAR6",,"Anthemis arvensis L.",corn chamomile
"ANCO2",,"Anthemis cotula L.",stinking chamomile
"ANTI",,"Anthemis tinctoria L.",golden chamomile
"ANMO7",,"Anthoxanthum monticola (Bigelow) Veldkamp",alpine sweetgrass
"ANMOM2",,"Anthoxanthum monticola (Bigelow) Veldkamp ssp. monticola ",alpine sweetgrass
"ANCE",,"Anthriscus cerefolium (L.) Hoffm.",garden chervil
"APIN",,"Apera interrupta (L.) P. Beauv.",dense silkybent
"APFL",,"Apocynum ×floribundum Greene (pro sp.) [androsaemifolium × cannabinum]",
"APAN2",,"Apocynum androsaemifolium L.",spreading dogbane
"APCA",,"Apocynum cannabinum L.",Indianhemp
"AQBR",,"Aquilegia brevistyla Hook.",smallflower columbine
"AQCO",,"Aquilegia coerulea James",Colorado blue columbine
"AQCOC",,"Aquilegia coerulea James var. coerulea ",Colorado blue columbine
"AQCOO",,"Aquilegia coerulea James var. ochroleuca Hook.",white Colorado columbine
"AQFL",,"Aquilegia flavescens S. Watson",yellow columbine
"AQFLM",,"Aquilegia flavescens S. Watson var. miniata A. Nelson & J.F. Macbr.",yellow columbine
"AQFO",,"Aquilegia formosa Fisch. ex DC.",western columbine
