Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"ABBA",,"Abies balsamea (L.) Mill.",balsam fir
"ABBAB",,"Abies balsamea (L.) Mill. var. balsamea ",balsam fir
"ABBAP",,"Abies balsamea (L.) Mill. var. phanerolepis Fernald",balsam fir
"ABTH",,"Abutilon theophrasti Medik.",velvetleaf
"ACGR2",,"Acalypha gracilens A. Gray",slender threeseed mercury
"ACRH",,"Acalypha rhomboidea Raf.",common threeseed mercury
"ACVI",,"Acalypha virginica L.",Virginia threeseed mercury
"ACGI",,"Acer ginnala Maxim.",Amur maple
"ACNE2",,"Acer negundo L.",boxelder
"ACNEN",,"Acer negundo L. var. negundo ",boxelder
"ACNI5",,"Acer nigrum Michx. f.",black maple
"ACPE",,"Acer pensylvanicum L.",striped maple
"ACPL",,"Acer platanoides L.",Norway maple
"ACRU",,"Acer rubrum L.",red maple
"ACRUR",,"Acer rubrum L. var. rubrum ",red maple
"ACRUT",,"Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch",red maple
"ACSA2",,"Acer saccharinum L.",silver maple
"ACSA3",,"Acer saccharum Marshall",sugar maple
"ACSAS",,"Acer saccharum Marshall var. saccharum ",sugar maple
"ACSP2",,"Acer spicatum Lam.",mountain maple
"ACMI2",,"Achillea millefolium L.",common yarrow
"ACMIB",,"Achillea millefolium L. var. borealis (Bong.) Farw.",boreal yarrow
"ACMIN",,"Achillea millefolium L. var. nigrescens E. Mey.",common yarrow
"ACMIO",,"Achillea millefolium L. var. occidentalis DC.",western yarrow
"ACPT",,"Achillea ptarmica L.",sneezeweed
"ACNA",,"Aconitum napellus L.",Venus' chariot
"ACUN",,"Aconitum uncinatum L.",southern blue monkshood
"ACUNU",,"Aconitum uncinatum L. ssp. uncinatum ",southern blue monkshood
"ACAM",,"Acorus americanus (Raf.) Raf.",sweetflag
"ACCA4",,"Acorus calamus L.",calamus
"ACPA",,"Actaea pachypoda Elliott",white baneberry
"ACRU2",,"Actaea rubra (Aiton) Willd.",red baneberry
"ACRUR2",,"Actaea rubra (Aiton) Willd. ssp. rubra ",red baneberry
"ADPE",,"Adiantum pedatum L.",northern maidenhair
"ADFU",,"Adlumia fungosa (Aiton) Greene ex Britton, Sterns & Poggenb.",allegheny vine
"AEPO",,"Aegopodium podagraria L.",bishop's goutweed
"AEGL",,"Aesculus glabra Willd.",Ohio buckeye
"AEGLG",,"Aesculus glabra Willd. var. glabra ",Ohio buckeye
"AGMA3",,"Agalinis maritima (Raf.) Raf.",saltmarsh false foxglove
"AGMAM",,"Agalinis maritima (Raf.) Raf. var. maritima ",saltmarsh false foxglove
"AGPA12",,"Agalinis paupercula (A. Gray) Britton",smallflower false foxglove
"AGPAB",,"Agalinis paupercula (A. Gray) Britton var. borealis Pennell",smallflower false foxglove
"AGPAP3",,"Agalinis paupercula (A. Gray) Britton var. paupercula ",smallflower false foxglove
"AGPU5",,"Agalinis purpurea (L.) Pennell",purple false foxglove
"AGTE3",,"Agalinis tenuifolia (Vahl) Raf.",slenderleaf false foxglove
"AGTET",,"Agalinis tenuifolia (Vahl) Raf. var. tenuifolia ",slenderleaf false foxglove
"AGFO",,"Agastache foeniculum (Pursh) Kuntze",blue giant hyssop
"AGSC",,"Agastache scrophulariifolia (Willd.) Kuntze",purple giant hyssop
"AGAL5",,"Ageratina altissima (L.) R.M. King & H. Rob.",white snakeroot
"AGALA",,"Ageratina altissima (L.) R.M. King & H. Rob. var. altissima ",white snakeroot
"AGGR2",,"Agrimonia gryposepala Wallr.",tall hairy agrimony
"AGST",,"Agrimonia striata Michx.",roadside agrimony
"AGCR",,"Agropyron cristatum (L.) Gaertn.",crested wheatgrass
"AGCRP8",,"Agropyron cristatum (L.) Gaertn. ssp. pectinatum (M. Bieb.) Tzvelev",crested wheatgrass
"AGGI",,"Agrostemma githago L.",common corncockle
"AGCA4",,"Agrostis canina L.",velvet bentgrass
"AGCA5",,"Agrostis capillaris L.",colonial bentgrass
"AGGI2",,"Agrostis gigantea Roth",redtop
"AGHY",,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.",winter bentgrass
"AGME3",,"Agrostis mertensii Trin.",northern bentgrass
"AGPE",,"Agrostis perennans (Walter) Tuck.",upland bentgrass
"AGSC5",,"Agrostis scabra Willd.",rough bentgrass
"AGST2",,"Agrostis stolonifera L.",creeping bentgrass
"AICA",,"Aira caryophyllea L.",silver hairgrass
"AICAC2",,"Aira caryophyllea L. var. caryophyllea ",silver hairgrass
"ALFA2",,"Aletris farinosa L.",white colicroot
"ALSU",,"Alisma subcordatum Raf.",American water plantain
"ALTR7",,"Alisma triviale Pursh",northern water plantain
"ALPE4",,"Alliaria petiolata (M. Bieb.) Cavara & Grande",garlic mustard
"ALPR6",,"Allium ×proliferum (Moench) Schrad. ex Willd. [cepa × fistulosum]",garden onion
"ALBU2",,"Allium burdickii (Hanes) A.G. Jones",narrowleaf wild leek
"ALCA3",,"Allium canadense L.",meadow garlic
"ALCAC",,"Allium canadense L. var. canadense ",meadow garlic
"ALCE",,"Allium cepa L.",garden onion
"ALSC",,"Allium schoenoprasum L.",wild chives
"ALSCS",,"Allium schoenoprasum L. var. sibiricum (L.) Hartm.",wild chives
"ALTR3",,"Allium tricoccum Aiton",ramp
"ALIN2",,"Alnus incana (L.) Moench",gray alder
"ALINR",,"Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen",speckled alder
"ALSE2",,"Alnus serrulata (Aiton) Willd.",hazel alder
"ALVI5",,"Alnus viridis (Chaix) DC.",green alder
"ALVIC",,"Alnus viridis (Chaix) DC. ssp. crispa (Aiton) Turrill",mountain alder
"ALAE",,"Alopecurus aequalis Sobol.",shortawn foxtail
"ALAEA",,"Alopecurus aequalis Sobol. var. aequalis ",shortawn foxtail
"ALGE2",,"Alopecurus geniculatus L.",water foxtail
"ALGEG4",,"Alopecurus geniculatus L. var. geniculatus ",water foxtail
"ALPR3",,"Alopecurus pratensis L.",meadow foxtail
"AMAL",,"Amaranthus albus L.",prostrate pigweed
"AMBL",,"Amaranthus blitoides S. Watson",mat amaranth
"AMBL2",,"Amaranthus blitum L.",purple amaranth
"AMBLE2",,"Amaranthus blitum L. var. emarginatus (Salzm. ex Uline & W.L. Bray) Lambinon",purple amaranth
"AMCA2",,"Amaranthus cannabinus (L.) Sauer",tidalmarsh amaranth
"AMCR4",,"Amaranthus cruentus L.",red amaranth
"AMHY",,"Amaranthus hybridus L.",slim amaranth
"AMPO2",,"Amaranthus powellii S. Watson",Powell's amaranth
"AMPOP",,"Amaranthus powellii S. Watson ssp. powellii ",Powell's amaranth
"AMRE",,"Amaranthus retroflexus L.",redroot amaranth
"AMTU",,"Amaranthus tuberculatus (Moq.) Sauer",roughfruit amaranth
"AMAR2",,"Ambrosia artemisiifolia L.",annual ragweed
"AMARA2",,"Ambrosia artemisiifolia L. var. artemisiifolia ",annual ragweed
"AMARE",,"Ambrosia artemisiifolia L. var. elatior (L.) Descourtils",annual ragweed
"AMARP",,"Ambrosia artemisiifolia L. var. paniculata (Michx.) Blank.",annual ragweed
"AMPS",,"Ambrosia psilostachya DC.",Cuman ragweed
"AMTR",,"Ambrosia trifida L.",great ragweed
"AMTRT2",,"Ambrosia trifida L. var. trifida ",great ragweed
"AMNE",,"Amelanchier ×neglecta Eggl. ex G.N. Jones (pro sp.) [bartramiana × laevis]",serviceberry
"AMAR3",,"Amelanchier arborea (Michx. f.) Fernald",common serviceberry
"AMARA4",,"Amelanchier arborea (Michx. f.) Fernald var. arborea ",common serviceberry
"AMBA",,"Amelanchier bartramiana (Tausch) M. Roem.",oblongfruit serviceberry
"AMCA4",,"Amelanchier canadensis (L.) Medik.",Canadian serviceberry
"AMLA",,"Amelanchier laevis Wiegand",Allegheny serviceberry
"AMSA",,"Amelanchier sanguinea (Pursh) DC.",roundleaf serviceberry
"AMSAS",,"Amelanchier sanguinea (Pursh) DC. var. sanguinea ",roundleaf serviceberry
"AMST80",,"Amelanchier stolonifera Wiegand",running serviceberry
"AMRO",,"Amerorchis rotundifolia (Banks ex Pursh) Hultén",roundleaf orchid
"AMBR",,"Ammophila breviligulata Fernald",American beachgrass
"AMFR",,"Amorpha fruticosa L.",false indigo bush
"AMBR7",,"Ampelopsis brevipedunculata (Maxim.) Trautv.",Amur peppervine
"AMBR2",,"Amphicarpaea bracteata (L.) Fernald",American hogpeanut
"AMBRB",,"Amphicarpaea bracteata (L.) Fernald var. bracteata ",American hogpeanut
"AMBRC",,"Amphicarpaea bracteata (L.) Fernald var. comosa ",American hogpeanut
"AMLY",,"Amsinckia lycopsoides Lehm.",tarweed fiddleneck
"AMME",,"Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr.",Menzies' fiddleneck
"AMMEI2",,"Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr. var. intermedia (Fisch. & C.A. Mey.) Ganders",common fiddleneck
"ANAR",,"Anagallis arvensis L.",scarlet pimpernel
"ANARA7",,"Anagallis arvensis L. ssp. arvensis ",scarlet pimpernel
"ANMA",,"Anaphalis margaritacea (L.) Benth.",western pearly everlasting
"ANAR16",,"Anchusa arvensis (L.) M. Bieb.",small bugloss
"ANAZ",,"Anchusa azurea Mill.",Italian bugloss
"ANOF",,"Anchusa officinalis L.",common bugloss
"ANPO",,"Andromeda polifolia L.",bog rosemary
"ANPOG",,"Andromeda polifolia L. var. glaucophylla (Link) DC.",bog rosemary
"ANGE",,"Andropogon gerardii Vitman",big bluestem
"ANCA8",,"Anemone canadensis L.",Canadian anemone
"ANCY",,"Anemone cylindrica A. Gray",candle anemone
"ANQU",,"Anemone quinquefolia L.",wood anemone
"ANQUQ",,"Anemone quinquefolia L. var. quinquefolia ",nightcaps
"ANVI3",,"Anemone virginiana L.",tall thimbleweed
"ANVIA2",,"Anemone virginiana L. var. alba (Oakes) Alph. Wood",tall thimbleweed
"ANVIV2",,"Anemone virginiana L. var. virginiana ",tall thimbleweed
"ANAT",,"Angelica atropurpurea L.",purplestem angelica
"ANLU",,"Angelica lucida L.",seacoast angelica
"ANHO",,"Antennaria howellii Greene",Howell's pussytoes
"ANHOC",,"Antennaria howellii Greene ssp. canadensis (Greene) Bayer",Canadian pussytoes
"ANHON",,"Antennaria howellii Greene ssp. neodioica (Greene) Bayer",Howell's pussytoes
"ANHOP",,"Antennaria howellii Greene ssp. petaloidea (Fernald) Bayer",small pussytoes
"ANNE",,"Antennaria neglecta Greene",field pussytoes
"ANPA9",,"Antennaria parlinii Fernald",Parlin's pussytoes
"ANPAF",,"Antennaria parlinii Fernald ssp. fallax (Greene) Bayer & Stebbins",Parlin's pussytoes
"ANPAP",,"Antennaria parlinii Fernald ssp. parlinii ",Parlin's pussytoes
"ANPL",,"Antennaria plantaginifolia (L.) Richardson",woman's tobacco
"ANAR6",,"Anthemis arvensis L.",corn chamomile
"ANCO2",,"Anthemis cotula L.",stinking chamomile
"ANTI",,"Anthemis tinctoria L.",golden chamomile
"ANAR7",,"Anthoxanthum aristatum Boiss.",annual vernalgrass
"ANMO7",,"Anthoxanthum monticola (Bigelow) Veldkamp",alpine sweetgrass
"ANMOM2",,"Anthoxanthum monticola (Bigelow) Veldkamp ssp. monticola ",alpine sweetgrass
"ANOD",,"Anthoxanthum odoratum L.",sweet vernalgrass
"ANODO2",,"Anthoxanthum odoratum L. ssp. odoratum ",sweet vernalgrass
"ANVU",,"Anthyllis vulneraria L.",common kidneyvetch
"APAM",,"Apios americana Medik.",groundnut
"APFL",,"Apocynum ×floribundum Greene (pro sp.) [androsaemifolium × cannabinum]",
"APAN2",,"Apocynum androsaemifolium L.",spreading dogbane
"APCA",,"Apocynum cannabinum L.",Indianhemp
"AQCA",,"Aquilegia canadensis L.",red columbine
"AQVU",,"Aquilegia vulgaris L.",European columbine
"ARTH",,"Arabidopsis thaliana (L.) Heynh.",mouseear cress
"ARDI2",,"Arabis ×divaricarpa A. Nelson (pro sp.) [drummondii × holboellii]",spreadingpod rockcress
"ARCA",,"Arabis canadensis L.",sicklepod
"ARDR",,"Arabis drummondii A. Gray",Drummond's rockcress
"ARGL",,"Arabis glabra (L.) Bernh.",tower rockcress
"ARHI",,"Arabis hirsuta (L.) Scop.",hairy rockcress
