Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"AGLI",,"×Agropogon littoralis (Sm.) C.E. Hubbard [Agrostis stolonifera × Polypogon monospeliensis]",coast agropogon
"ELMA8",,"×Elyhordeum macounii (Vasey) Barkworth & D.R. Dewey [Elymus trachycaulus × Hordeum jubatum]",Macoun's barley
"PSSA2",,"×Pseudelymus saxicola (Scribn. & J.G. Sm.) Barkworth & D.R. Dewey [Elymus elymoides × Pseudoroegneria spicata]",foxtail wheatgrass
"ABCO",,"Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",white fir
"ABLA",,"Abies lasiocarpa (Hook.) Nutt.",subalpine fir
"ABLAA",,"Abies lasiocarpa (Hook.) Nutt. var. arizonica (Merriam) Lemmon",corkbark fir
"ABLAL",,"Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa ",subalpine fir
"ABAN",,"Abronia angustifolia Greene",purple sand verbena
"ABBI",,"Abronia bigelovii Heimerl",Galisteo sand verbena
"ABBO",,"Abronia bolackii N.D. Atwood, S.L. Welsh & K.D. Heil",Bolack's sand verbena
"ABCA",,"Abronia carletonii J.M. Coult. & Fisher",Carleton's sand verbena
"ABEL",,"Abronia elliptica A. Nelson",fragrant white sand verbena
"ABFR2",,"Abronia fragrans Nutt. ex Hook.",snowball sand verbena
"ABNA",,"Abronia nana S. Watson",dwarf sand verbena
"ABNAH",,"Abronia nana S. Watson var. harrisii S.L. Welsh",Harris' dwarf sand verbena
"ABIN",,"Abutilon incanum (Link) Sweet",pelotazo
"ABMA3",,"Abutilon malacum S. Watson",yellow Indian mallow
"ABMO2",,"Abutilon mollicomum (Willd.) Sweet",Sonoran Indian mallow
"ABPA3",,"Abutilon parvulum A. Gray",dwarf Indian mallow
"ABTH",,"Abutilon theophrasti Medik.",velvetleaf
"ABWR",,"Abutilon wrightii A. Gray",Wright's Indian mallow
"ACAN11",,"Acaciella angustissima (Mill.) Britton & Rose",prairie acacia
"ACANH2",,"Acaciella angustissima (Mill.) Britton & Rose var. hirta (Nutt.) B.L. Turner",prairie acacia
"ACSU12",,"Acaciella suffrutescens Britton & Rose",prairie acacia
"ACNE",,"Acalypha neomexicana Müll. Arg.",New Mexico copperleaf
"ACOS",,"Acalypha ostryifolia Riddell",pineland threeseed mercury
"ACPH3",,"Acalypha phleoides Cav.",shrubby copperleaf
"ACGL",,"Acer glabrum Torr.",Rocky Mountain maple
"ACGLG2",,"Acer glabrum Torr. var. glabrum ",Rocky Mountain maple
"ACGLN2",,"Acer glabrum Torr. var. neomexicanum (Greene) Kearney & Peebles",New Mexico maple
"ACGR3",,"Acer grandidentatum Nutt.",bigtooth maple
"ACGRG",,"Acer grandidentatum Nutt. var. grandidentatum ",bigtooth maple
"ACGRS",,"Acer grandidentatum Nutt. var. sinuosum (Rehder) Little",canyon maple
"ACNE2",,"Acer negundo L.",boxelder
"ACNEA",,"Acer negundo L. var. arizonicum Sarg.",Arizona boxelder
"ACNEI2",,"Acer negundo L. var. interius (Britton) Sarg.",boxelder
"ACNET",,"Acer negundo L. var. texanum Pax",boxelder
"ACSA2",,"Acer saccharinum L.",silver maple
"ACMI2",,"Achillea millefolium L.",common yarrow
"ACMIA",,"Achillea millefolium L. var. alpicola (Rydb.) Garrett",common yarrow
"ACMIO",,"Achillea millefolium L. var. occidentalis DC.",western yarrow
"ACBL",,"Achnatherum ×bloomeri (Bol.) Barkworth [hymenoides × occidentale]",
"ACAR14",,"Achnatherum aridum (M.E. Jones) Barkworth",Mormon needlegrass
"ACCU6",,"Achnatherum curvifolium (Swallen) Barkworth",Guadalupe ricegrass
"ACEM4",,"Achnatherum eminens (Cav.) Barkworth",southwestern needlegrass
"ACHY",,"Achnatherum hymenoides (Roem. & Schult.) Barkworth",Indian ricegrass
"ACLE9",,"Achnatherum lettermanii (Vasey) Barkworth",Letterman's needlegrass
"ACLO7",,"Achnatherum lobatum (Swallen) Barkworth",littleawn needlegrass
"ACNE9",,"Achnatherum nelsonii (Scribn.) Barkworth",Columbia needlegrass
"ACNED",,"Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth",Dore's needlegrass
"ACNEN2",,"Achnatherum nelsonii (Scribn.) Barkworth ssp. nelsonii ",Columbia needlegrass
"ACPE13",,"Achnatherum perplexum Hoge & Barkworth",New Mexico needlegrass
"ACPI2",,"Achnatherum pinetorum (M.E. Jones) Barkworth",pine needlegrass
"ACRO7",,"Achnatherum robustum (Vasey) Barkworth",sleepygrass
"ACSC11",,"Achnatherum scribneri (Vasey) Barkworth",Scribner needlegrass
"ACSP12",,"Achnatherum speciosum (Trin. & Rupr.) Barkworth",desert needlegrass
"ACLO2",,"Acleisanthes longiflora A. Gray",angel's trumpets
"ACCO4",,"Aconitum columbianum Nutt.",Columbian monkshood
"ACCOC3",,"Aconitum columbianum Nutt. ssp. columbianum ",Columbian monkshood
"ACNA2",,"Acourtia nana (A. Gray) Reveal & R.M. King",dwarf desertpeony
"ACTH",,"Acourtia thurberi (A. Gray) Reveal & R.M. King",Thurber's desertpeony
"ACWR5",,"Acourtia wrightii (A. Gray) Reveal & R.M. King",brownfoot
"ACRE3",,"Acroptilon repens (L.) DC.",hardheads
"ACRU2",,"Actaea rubra (Aiton) Willd.",red baneberry
"ACRUA8",,"Actaea rubra (Aiton) Willd. ssp. arguta (Nutt.) Hultén",red baneberry
"ADWR",,"Adenophyllum wrightii A. Gray",Wright's dogweed
"ADCA",,"Adiantum capillus-veneris L.",common maidenhair
"ADIN",,"Adolphia infesta (Kunth) Meisn.",junco
"ADMO",,"Adoxa moschatellina L.",muskroot
"AECY",,"Aegilops cylindrica Host",jointed goatgrass
"AGCA7",,"Agalinis calycina Pennell",leoncita false foxglove
"AGTE3",,"Agalinis tenuifolia (Vahl) Raf.",slenderleaf false foxglove
"AGTEP2",,"Agalinis tenuifolia (Vahl) Raf. var. parviflora (Nutt.) Pennell",slenderleaf false foxglove
"AGBR",,"Agastache breviflora (A. Gray) Epling",Trans-Pecos giant hyssop
"AGCA",,"Agastache cana (Hook.) Wooton & Standl.",mosquito plant
"AGME2",,"Agastache mearnsii Wooton & Standl.",San Luis Mountain giant hyssop
"AGMI",,"Agastache micrantha (A. Gray) Wooton & Standl.",white giant hyssop
