Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"ACCA32",,"×Achnella caduca (Beal) Barkworth [Achnatherum hymenoides × Nassella viridula]",Mandan ricegrass
"ELIO",,"×Elyhordeum iowense Pohl [Elymus villosus × Hordeum jubatum]",Iowa barley
"ELMA8",,"×Elyhordeum macounii (Vasey) Barkworth & D.R. Dewey [Elymus trachycaulus × Hordeum jubatum]",Macoun's barley
"ELMO4",,"×Elyhordeum montanense (Scribn.) Bowden [Elymus virginicus × Hordeum jubatum]",mountain barley
"ABFR2",,"Abronia fragrans Nutt. ex Hook.",snowball sand verbena
"ABTH",,"Abutilon theophrasti Medik.",velvetleaf
"ACRH",,"Acalypha rhomboidea Raf.",common threeseed mercury
"ACGI",,"Acer ginnala Maxim.",Amur maple
"ACNE2",,"Acer negundo L.",boxelder
"ACNEI2",,"Acer negundo L. var. interius (Britton) Sarg.",boxelder
"ACNEN",,"Acer negundo L. var. negundo ",boxelder
"ACNEV",,"Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger",boxelder
"ACSA2",,"Acer saccharinum L.",silver maple
"ACSA3",,"Acer saccharum Marshall",sugar maple
"ACSAS",,"Acer saccharum Marshall var. saccharum ",sugar maple
"ACMI2",,"Achillea millefolium L.",common yarrow
"ACMIO",,"Achillea millefolium L. var. occidentalis DC.",western yarrow
"ACSI",,"Achillea sibirica Ledeb.",Siberian yarrow
"ACHY",,"Achnatherum hymenoides (Roem. & Schult.) Barkworth",Indian ricegrass
"ACAM",,"Acorus americanus (Raf.) Raf.",sweetflag
"ACRE3",,"Acroptilon repens (L.) DC.",hardheads
"ACRU2",,"Actaea rubra (Aiton) Willd.",red baneberry
"ACRUR2",,"Actaea rubra (Aiton) Willd. ssp. rubra ",red baneberry
"ADBI",,"Adenocaulon bicolor Hook.",American trailplant
"AECY",,"Aegilops cylindrica Host",jointed goatgrass
"AGAS2",,"Agalinis aspera (Douglas ex Benth.) Britton",tall false foxglove
"AGTE3",,"Agalinis tenuifolia (Vahl) Raf.",slenderleaf false foxglove
"AGTEP2",,"Agalinis tenuifolia (Vahl) Raf. var. parviflora (Nutt.) Pennell",slenderleaf false foxglove
"AGFO",,"Agastache foeniculum (Pursh) Kuntze",blue giant hyssop
"AGAL5",,"Ageratina altissima (L.) R.M. King & H. Rob.",white snakeroot
"AGALA",,"Ageratina altissima (L.) R.M. King & H. Rob. var. altissima ",white snakeroot
"AGGL",,"Agoseris glauca (Pursh) Raf.",pale agoseris
"AGGLD",,"Agoseris glauca (Pursh) Raf. var. dasycephala (Torr. & A. Gray) Jeps.",pale agoseris
"AGGLG",,"Agoseris glauca (Pursh) Raf. var. glauca ",pale agoseris
"AGGLL",,"Agoseris glauca (Pursh) Raf. var. laciniata (D.C. Eaton) Smiley",false agoseris
"AGGR2",,"Agrimonia gryposepala Wallr.",tall hairy agrimony
"AGST",,"Agrimonia striata Michx.",roadside agrimony
"AGCR",,"Agropyron cristatum (L.) Gaertn.",crested wheatgrass
"AGCRP8",,"Agropyron cristatum (L.) Gaertn. ssp. pectinatum (M. Bieb.) Tzvelev",crested wheatgrass
"AGDE2",,"Agropyron desertorum (Fisch. ex Link) Schult.",desert wheatgrass
"AGGI",,"Agrostemma githago L.",common corncockle
"AGCA5",,"Agrostis capillaris L.",colonial bentgrass
"AGGI2",,"Agrostis gigantea Roth",redtop
"AGPE",,"Agrostis perennans (Walter) Tuck.",upland bentgrass
"AGSC5",,"Agrostis scabra Willd.",rough bentgrass
"AGST2",,"Agrostis stolonifera L.",creeping bentgrass
"ALRO3",,"Alcea rosea L.",hollyhock
"ALGR",,"Alisma gramineum Lej.",narrowleaf water plantain
"ALSU",,"Alisma subcordatum Raf.",American water plantain
"ALTR7",,"Alisma triviale Pursh",northern water plantain
"ALPE4",,"Alliaria petiolata (M. Bieb.) Cavara & Grande",garlic mustard
"ALBU2",,"Allium burdickii (Hanes) A.G. Jones",narrowleaf wild leek
"ALCA3",,"Allium canadense L.",meadow garlic
"ALCAC",,"Allium canadense L. var. canadense ",meadow garlic
"ALST",,"Allium stellatum Fraser ex Ker Gawl.",autumn onion
"ALTE",,"Allium textile A. Nelson & J.F. Macbr.",textile onion
"ALTR3",,"Allium tricoccum Aiton",ramp
"ALPA14",,"Almutaster pauciflorus (Nutt.) Á. Löve & D. Löve",alkali marsh aster
"ALIN2",,"Alnus incana (L.) Moench",gray alder
"ALINR",,"Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen",speckled alder
"ALAE",,"Alopecurus aequalis Sobol.",shortawn foxtail
"ALAEA",,"Alopecurus aequalis Sobol. var. aequalis ",shortawn foxtail
"ALAR",,"Alopecurus arundinaceus Poir.",creeping meadow foxtail
"ALCA4",,"Alopecurus carolinianus Walter",Carolina foxtail
"ALGE2",,"Alopecurus geniculatus L.",water foxtail
"ALGEG4",,"Alopecurus geniculatus L. var. geniculatus ",water foxtail
"ALPR3",,"Alopecurus pratensis L.",meadow foxtail
"ALOF2",,"Althaea officinalis L.",common marshmallow
"ALDE",,"Alyssum desertorum Stapf",desert madwort
"ALDED",,"Alyssum desertorum Stapf var. desertorum ",desert madwort
"AMAL",,"Amaranthus albus L.",prostrate pigweed
"AMBL",,"Amaranthus blitoides S. Watson",mat amaranth
"AMHY",,"Amaranthus hybridus L.",slim amaranth
"AMRE",,"Amaranthus retroflexus L.",redroot amaranth
"AMTU",,"Amaranthus tuberculatus (Moq.) Sauer",roughfruit amaranth
"AMAC2",,"Ambrosia acanthicarpa Hook.",flatspine bur ragweed
"AMAR2",,"Ambrosia artemisiifolia L.",annual ragweed
"AMARE",,"Ambrosia artemisiifolia L. var. elatior (L.) Descourtils",annual ragweed
"AMPS",,"Ambrosia psilostachya DC.",Cuman ragweed
"AMTO3",,"Ambrosia tomentosa Nutt.",skeletonleaf bur ragweed
"AMTR",,"Ambrosia trifida L.",great ragweed
"AMTRT2",,"Ambrosia trifida L. var. trifida ",great ragweed
"AMAL2",,"Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.",Saskatoon serviceberry
"AMALA",,"Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem. var. alnifolia ",Saskatoon serviceberry
"AMHU2",,"Amelanchier humilis Wiegand",low serviceberry
"AMSA",,"Amelanchier sanguinea (Pursh) DC.",roundleaf serviceberry
"AMSAS",,"Amelanchier sanguinea (Pursh) DC. var. sanguinea ",roundleaf serviceberry
"AMST80",,"Amelanchier stolonifera Wiegand",running serviceberry
"AMCO",,"Ammannia coccinea Rottb.",valley redstem
"AMRO3",,"Ammannia robusta Heer & Regel",grand redstem
"AMCA6",,"Amorpha canescens Pursh",leadplant
"AMFR",,"Amorpha fruticosa L.",false indigo bush
"AMNA",,"Amorpha nana Nutt.",dwarf false indigo
"AMBR2",,"Amphicarpaea bracteata (L.) Fernald",American hogpeanut
"AMBRB",,"Amphicarpaea bracteata (L.) Fernald var. bracteata ",American hogpeanut
"AMBRC",,"Amphicarpaea bracteata (L.) Fernald var. comosa ",American hogpeanut
"AMLY",,"Amsinckia lycopsoides Lehm.",tarweed fiddleneck
"AMME",,"Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr.",Menzies' fiddleneck
"AMMEI2",,"Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr. var. intermedia (Fisch. & C.A. Mey.) Ganders",common fiddleneck
"ANMI4",,"Anagallis minima (L.) Krause",chaffweed
"ANAR16",,"Anchusa arvensis (L.) M. Bieb.",small bugloss
"ANGE",,"Andropogon gerardii Vitman",big bluestem
"ANHA",,"Andropogon hallii Hack.",sand bluestem
"ANOC2",,"Androsace occidentalis Pursh",western rockjasmine
"ANSE4",,"Androsace septentrionalis L.",pygmyflower rockjasmine
"ANSEP2",,"Androsace septentrionalis L. ssp. puberulenta (Rydb.) G.T. Robbins",pygmyflower rockjasmine
"ANCA8",,"Anemone canadensis L.",Canadian anemone
"ANCY",,"Anemone cylindrica A. Gray",candle anemone
"ANMU",,"Anemone multifida Poir.",Pacific anemone
"ANMUM3",,"Anemone multifida Poir. var. multifida ",Pacific anemone
"ANPA",,"Anemone parviflora Michx.",smallflowered anemone
"ANPAP2",,"Anemone parviflora Michx. var. parviflora ",smallflowered anemone
"ANQU",,"Anemone quinquefolia L.",wood anemone
"ANQUB2",,"Anemone quinquefolia L. var. bifolia Farw.",twoleaf anemone
"ANVI3",,"Anemone virginiana L.",tall thimbleweed
"ANVIV2",,"Anemone virginiana L. var. virginiana ",tall thimbleweed
"ANGR2",,"Anethum graveolens L.",dill
"ANHO",,"Antennaria howellii Greene",Howell's pussytoes
"ANHON",,"Antennaria howellii Greene ssp. neodioica (Greene) Bayer",Howell's pussytoes
"ANMI3",,"Antennaria microphylla Rydb.",littleleaf pussytoes
"ANNE",,"Antennaria neglecta Greene",field pussytoes
"ANPA9",,"Antennaria parlinii Fernald",Parlin's pussytoes
"ANPAF",,"Antennaria parlinii Fernald ssp. fallax (Greene) Bayer & Stebbins",Parlin's pussytoes
"ANPA4",,"Antennaria parvifolia Nutt.",small-leaf pussytoes
"ANRO2",,"Antennaria rosea Greene",rosy pussytoes
"ANROR",,"Antennaria rosea Greene ssp. rosea ",rosy pussytoes
"ANAR6",,"Anthemis arvensis L.",corn chamomile
"ANCO2",,"Anthemis cotula L.",stinking chamomile
"ANTI",,"Anthemis tinctoria L.",golden chamomile
"ANVU",,"Anthyllis vulneraria L.",common kidneyvetch
"APAM",,"Apios americana Medik.",groundnut
"APFL",,"Apocynum ×floribundum Greene (pro sp.) [androsaemifolium × cannabinum]",
"APAN2",,"Apocynum androsaemifolium L.",spreading dogbane
"APCA",,"Apocynum cannabinum L.",Indianhemp
"AQCA",,"Aquilegia canadensis L.",red columbine
"ARDI2",,"Arabis ×divaricarpa A. Nelson (pro sp.) [drummondii × holboellii]",spreadingpod rockcress
"ARCA",,"Arabis canadensis L.",sicklepod
"ARDR",,"Arabis drummondii A. Gray",Drummond's rockcress
"ARGL",,"Arabis glabra (L.) Bernh.",tower rockcress
"ARHI",,"Arabis hirsuta (L.) Scop.",hairy rockcress
"ARHIP",,"Arabis hirsuta (L.) Scop. var. pycnocarpa (M. Hopkins) Rollins",creamflower rockcress
"ARHO2",,"Arabis holboellii Hornem.",Holboell's rockcress
"ARHOC",,"Arabis holboellii Hornem. var. collinsii (Fernald) Rollins",Collins' rockcress
"ARHOP3",,"Arabis holboellii Hornem. var. pinetorum (Tidestr.) Rollins",Holboell's rockcress
"ARNU2",,"Aralia nudicaulis L.",wild sarsaparilla
"ARLA3",,"Arctium lappa L.",greater burdock
"ARMI2",,"Arctium minus Bernh.",lesser burdock
"ARTO",,"Arctium tomentosum Mill.",woolly burdock
"ARUV",,"Arctostaphylos uva-ursi (L.) Spreng.",kinnikinnick
"ARPO2",,"Argemone polyanthemos (Fedde) G.B. Ownbey",crested pricklypoppy
"ARAN7",,"Argentina anserina (L.) Rydb.",silverweed cinquefoil
"ARTR",,"Arisaema triphyllum (L.) Schott",Jack in the pulpit
"ARTRT3",,"Arisaema triphyllum (L.) Schott ssp. triphyllum ",Jack in the pulpit
"ARBA2",,"Aristida basiramea Engelm. ex Vasey",forked threeawn
"ARPU9",,"Aristida purpurea Nutt.",purple threeawn
"ARPUF",,"Aristida purpurea Nutt. var. fendleriana (Steud.) Vasey",Fendler's threeawn
"ARPUL",,"Aristida purpurea Nutt. var. longiseta (Steud.) Vasey",Fendler threeawn
"ARRU4",,"Armoracia rusticana G. Gaertn., B. Mey. & Scherb.",horseradish
"ARCO9",,"Arnica cordifolia Hook.",heartleaf arnica
"ARFU3",,"Arnica fulgens Pursh",foothill arnica
"ARAB3",,"Artemisia absinthium L.",absinthium
"ARBI2",,"Artemisia biennis Willd.",biennial wormwood
"ARBIB",,"Artemisia biennis Willd. var. biennis ",biennial wormwood
"ARCA12",,"Artemisia campestris L.",field sagewort
"ARCAC",,"Artemisia campestris L. ssp. caudata (Michx.) H.M. Hall & Clem.",field sagewort
"ARCA13",,"Artemisia cana Pursh",silver sagebrush
"ARCAC5",,"Artemisia cana Pursh ssp. cana ",silver sagebrush
"ARDR4",,"Artemisia dracunculus L.",tarragon
"ARFR4",,"Artemisia frigida Willd.",prairie sagewort
"ARLO7",,"Artemisia longifolia Nutt.",longleaf wormwood
"ARLU",,"Artemisia ludoviciana Nutt.",white sagebrush
"ARLUL2",,"Artemisia ludoviciana Nutt. ssp. ludoviciana ",white sagebrush
"ARSE4",,"Artemisia serrata Nutt.",sawtooth wormwood
"ARTR2",,"Artemisia tridentata Nutt.",big sagebrush
"ARTRV",,"Artemisia tridentata Nutt. ssp. vaseyana (Rydb.) Beetle",mountain big sagebrush
"ARTRW8",,"Artemisia tridentata Nutt. ssp. wyomingensis Beetle & Young",Wyoming big sagebrush
"ASCA",,"Asarum canadense L.",Canadian wildginger
"ASIN",,"Asclepias incarnata L.",swamp milkweed
"ASINI",,"Asclepias incarnata L. ssp. incarnata ",swamp milkweed
"ASLA3",,"Asclepias lanuginosa Nutt.",sidecluster milkweed
"ASOV",,"Asclepias ovalifolia Decne.",oval-leaf milkweed
"ASPU",,"Asclepias pumila (A. Gray) Vail",plains milkweed
"ASSP",,"Asclepias speciosa Torr.",showy milkweed
"ASSU3",,"Asclepias sullivantii Engelm. ex A. Gray",prairie milkweed
"ASSY",,"Asclepias syriaca L.",common milkweed
"ASVE",,"Asclepias verticillata L.",whorled milkweed
"ASVI",,"Asclepias viridiflora Raf.",green comet milkweed
"ASOF",,"Asparagus officinalis L.",garden asparagus
"ASPR",,"Asperugo procumbens L.",German-madwort
"ASOR6",,"Asperula orientalis Boiss. & Hohen.",Oriental asperula
"ASAG2",,"Astragalus agrestis Douglas ex G. Don",purple milkvetch
"ASAU4",,"Astragalus australis (L.) Lam.",Indian milkvetch
"ASBI2",,"Astragalus bisulcatus (Hook.) A. Gray",twogrooved milkvetch
"ASBIB",,"Astragalus bisulcatus (Hook.) A. Gray var. bisulcatus ",twogrooved milkvetch
"ASCA11",,"Astragalus canadensis L.",Canadian milkvetch
"ASCAC6",,"Astragalus canadensis L. var. canadensis ",Canadian milkvetch
"ASCE",,"Astragalus ceramicus Sheldon",painted milkvetch
"ASCEF",,"Astragalus ceramicus Sheldon var. filifolius (A. Gray) F.J. Herm.",painted milkvetch
"ASCR2",,"Astragalus crassicarpus Nutt.",groundplum milkvetch
"ASCRC3",,"Astragalus crassicarpus Nutt. var. crassicarpus ",groundplum milkvetch
"ASDR3",,"Astragalus drummondii Douglas ex Hook.",Drummond's milkvetch
"ASFL2",,"Astragalus flexuosus Douglas ex G. Don",flexile milkvetch
"ASFLF",,"Astragalus flexuosus Douglas ex G. Don var. flexuosus ",flexile milkvetch
"ASGI5",,"Astragalus gilviflorus Sheldon",plains milkvetch
"ASGIG",,"Astragalus gilviflorus Sheldon var. gilviflorus ",plains milkvetch
"ASGR3",,"Astragalus gracilis Nutt.",slender milkvetch
"ASHY2",,"Astragalus hyalinus M.E. Jones",summer milkvetch
"ASKE",,"Astragalus kentrophyta A. Gray",spiny milkvetch
"ASKEK",,"Astragalus kentrophyta A. Gray var. kentrophyta ",spiny milkvetch
"ASLA27",,"Astragalus laxmannii Jacq.",Laxmann's milkvetch
"ASLAR",,"Astragalus laxmannii Jacq. var. robustior (Hook.) Barneby & S.L. Welsh",prairie milkvetch
"ASLO4",,"Astragalus lotiflorus Hook.",lotus milkvetch
"ASMI10",,"Astragalus missouriensis Nutt.",Missouri milkvetch
"ASMIM5",,"Astragalus missouriensis Nutt. var. missouriensis ",Missouri milkvetch
"ASNE2",,"Astragalus neglectus (Torr. & A. Gray) Sheldon",Cooper's milkvetch
"ASPE5",,"Astragalus pectinatus (Douglas ex Hook.) Douglas ex G. Don",narrowleaf milkvetch
"ASPL2",,"Astragalus plattensis Nutt.",Platte River milkvetch
"ASPU9",,"Astragalus purshii Douglas ex Hook.",woollypod milkvetch
"ASPUP7",,"Astragalus purshii Douglas ex Hook. var. purshii ",woollypod milkvetch
"ASRA2",,"Astragalus racemosus Pursh",cream milkvetch
"ASRAR2",,"Astragalus racemosus Pursh var. racemosus ",cream milkvetch
"ASSP6",,"Astragalus spatulatus Sheldon",tufted milkvetch
"ASTE5",,"Astragalus tenellus Pursh",looseflower milkvetch
"ASVE5",,"Astragalus vexilliflexus Sheldon",bentflower milkvetch
"ASVEV2",,"Astragalus vexilliflexus Sheldon var. vexilliflexus ",bentflower milkvetch
"ATFI",,"Athyrium filix-femina (L.) Roth",common ladyfern
"ATFIA",,"Athyrium filix-femina (L.) Roth ssp. angustum (Willd.) R.T. Clausen",subarctic ladyfern
"ATFIC",,"Athyrium filix-femina (L.) Roth ssp. cyclosorum (Rupr.) C. Chr.",subarctic ladyfern
"ATAP",,"Atriplex ×aptera A. Nelson (pro sp.) [canescens × nutallii]",moundscale
"ATAR2",,"Atriplex argentea Nutt.",silverscale saltbush
"ATARA",,"Atriplex argentea Nutt. ssp. argentea ",silverscale saltbush
"ATARA2",,"Atriplex argentea Nutt. ssp. argentea var. argentea ",silverscale saltbush
"ATCA2",,"Atriplex canescens (Pursh) Nutt.",fourwing saltbush
"ATCAC",,"Atriplex canescens (Pursh) Nutt. var. canescens ",fourwing saltbush
"ATCO",,"Atriplex confertifolia (Torr. & Frém.) S. Watson",shadscale saltbush
"ATGA",,"Atriplex gardneri (Moq.) D. Dietr.",Gardner's saltbush
"ATHO",,"Atriplex hortensis L.",garden orache
"ATMI2",,"Atriplex micrantha Ledeb.",twoscale saltbush
"ATPA4",,"Atriplex patula L.",spear saltbush
"ATPO2",,"Atriplex powellii S. Watson",Powell's saltweed
"ATPR",,"Atriplex prostrata Bouchér ex DC.",triangle orache
"ATRO",,"Atriplex rosea L.",tumbling saltweed
"ATSU2",,"Atriplex subspicata (Nutt.) Rydb.",saline saltbush
"AVFA",,"Avena fatua L.",wild oat
"AVSA",,"Avena sativa L.",common oat
"AVHO3",,"Avenula hookeri (Scribn.) Holub",spikeoat
"AXAM",,"Axyris amaranthoides L.",Russian pigweed
"BARO",,"Bacopa rotundifolia (Michx.) Wettst.",disk waterhyssop
"BASA3",,"Balsamorhiza sagittata (Pursh) Nutt.",arrowleaf balsamroot
"BAVU",,"Barbarea vulgaris W.T. Aiton",garden yellowrocket
"BASC5",,"Bassia scoparia (L.) A.J. Scott",burningbush
"BESY",,"Beckmannia syzigachne (Steud.) Fernald",American sloughgrass
"BEPE2",,"Bellis perennis L.",lawndaisy
