Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"AMJA",,"×Amelasorbus jackii Rehder [Amelanchier alnifolia × Sorbus scopulina]",Jack's amelasorbus
"ELMA8",,"×Elyhordeum macounii (Vasey) Barkworth & D.R. Dewey [Elymus trachycaulus × Hordeum jubatum]",Macoun's barley
"ELMO4",,"×Elyhordeum montanense (Scribn.) Bowden [Elymus virginicus × Hordeum jubatum]",mountain barley
"ELST",,"×Elyhordeum stebbinsianum (Bowden) Bowden [Elymus glaucus × Hordeum jubatum]",Stebbins' barley
"ELAR6",,"×Elyleymus aristatus (Merr.) Barkworth & D.R. Dewey [Elymus elymoides × Leymus triticoides]",purple wildrye
"LEPI15",,"×Leydeum piperi (Bowden) Barkworth [Hordeum jubatum × Leymus triticoides]",hybrid ryegrass
"PSSA2",,"×Pseudelymus saxicola (Scribn. & J.G. Sm.) Barkworth & D.R. Dewey [Elymus elymoides × Pseudoroegneria spicata]",foxtail wheatgrass
"ABAM",,"Abies amabilis (Douglas ex Loudon) Douglas ex Forbes",Pacific silver fir
"ABCO",,"Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",white fir
"ABGR",,"Abies grandis (Douglas ex D. Don) Lindl.",grand fir
"ABLA",,"Abies lasiocarpa (Hook.) Nutt.",subalpine fir
"ABLAL",,"Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa ",subalpine fir
"ABLO",,"Abies lowiana (Gordon & Glend.) A. Murray bis",Sierra white fir
"ABMA",,"Abies magnifica A. Murray bis",California red fir
"ABMAM",,"Abies magnifica A. Murray bis var. magnifica ",California red fir
"ABMAS",,"Abies magnifica A. Murray bis var. shastensis Lemmon",Shasta red fir
"ABPR",,"Abies procera Rehder",noble fir
"ABLA2",,"Abronia latifolia Eschsch.",coastal sand verbena
"ABME",,"Abronia mellifera Douglas ex Hook.",white sand verbena
"ABTU",,"Abronia turbinata Torr. ex S. Watson",transmontane sand verbena
"ABUM",,"Abronia umbellata Lam.",pink sand verbena
"ABUMB",,"Abronia umbellata Lam. ssp. breviflora (Standl.) Munz",pink sand verbena
"ABTH",,"Abutilon theophrasti Medik.",velvetleaf
"ACDE3",,"Acacia dealbata Link",silver wattle
"ACNO7",,"Acaena novae-zelandiae Kirk",biddy-biddy
"ACAU2",,"Acanthospermum australe (Loefl.) Kuntze",Paraguayan starbur
"ACHI",,"Acanthospermum hispidum DC.",hispid starbur
"ACCI",,"Acer circinatum Pursh",vine maple
"ACGL",,"Acer glabrum Torr.",Rocky Mountain maple
"ACGLD4",,"Acer glabrum Torr. var. douglasii (Hook.) Dippel",Douglas maple
"ACGLT2",,"Acer glabrum Torr. var. torreyi (Greene) Smiley",Torrey maple
"ACMA3",,"Acer macrophyllum Pursh",bigleaf maple
"ACNE2",,"Acer negundo L.",boxelder
"ACNEN",,"Acer negundo L. var. negundo ",boxelder
"ACPL",,"Acer platanoides L.",Norway maple
"ACRU",,"Acer rubrum L.",red maple
"ACMI2",,"Achillea millefolium L.",common yarrow
"ACMIA",,"Achillea millefolium L. var. alpicola (Rydb.) Garrett",common yarrow
"ACMIC",,"Achillea millefolium L. var. californica (Pollard) Jeps.",California yarrow
"ACMIL2",,"Achillea millefolium L. var. litoralis Ehrend. ex Nobs",coast yarrow
"ACMIM2",,"Achillea millefolium L. var. millefolium ",common yarrow
"ACMIO",,"Achillea millefolium L. var. occidentalis DC.",western yarrow
"ACMIP",,"Achillea millefolium L. var. pacifica (Rydb.) G.N. Jones",Pacific yarrow
"ACCA6",,"Achlys californica I. Fukuda & H.G. Baker",deer's foot
"ACTR",,"Achlys triphylla (Sm.) DC.",sweet after death
"ACBL",,"Achnatherum ×bloomeri (Bol.) Barkworth [hymenoides × occidentale]",
"ACBR5",,"Achnatherum brachychaetum (Godr.) Barkworth",shortbristled needlegrass
"ACCA31",,"Achnatherum caudatum (Trin.) S.L.W. Jacobs & J. Everett",Chilean ricegrass
"ACHE10",,"Achnatherum hendersonii (Vasey) Barkworth",Henderson's needlegrass
"ACHY",,"Achnatherum hymenoides (Roem. & Schult.) Barkworth",Indian ricegrass
"ACLE8",,"Achnatherum lemmonii (Vasey) Barkworth",Lemmon's needlegrass
"ACLEL",,"Achnatherum lemmonii (Vasey) Barkworth var. lemmonii ",Lemmon's needlegrass
