Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"ABBA",,"Abies balsamea (L.) Mill.",balsam fir
"ABBAB",,"Abies balsamea (L.) Mill. var. balsamea ",balsam fir
"ABTH",,"Abutilon theophrasti Medik.",velvetleaf
"ACDE4",,"Acalypha deamii (Weath.) H.E. Ahles",Deam's threeseed mercury
"ACGR2",,"Acalypha gracilens A. Gray",slender threeseed mercury
"ACOS",,"Acalypha ostryifolia Riddell",pineland threeseed mercury
"ACRH",,"Acalypha rhomboidea Raf.",common threeseed mercury
"ACVI",,"Acalypha virginica L.",Virginia threeseed mercury
"ACAU2",,"Acanthospermum australe (Loefl.) Kuntze",Paraguayan starbur
"ACCA5",,"Acer campestre L.",hedge maple
"ACGI",,"Acer ginnala Maxim.",Amur maple
"ACNE2",,"Acer negundo L.",boxelder
"ACNEN",,"Acer negundo L. var. negundo ",boxelder
"ACNI5",,"Acer nigrum Michx. f.",black maple
"ACPA2",,"Acer palmatum Thunb.",Japanese maple
"ACPE",,"Acer pensylvanicum L.",striped maple
"ACPL",,"Acer platanoides L.",Norway maple
"ACPS",,"Acer pseudoplatanus L.",sycamore maple
"ACRU",,"Acer rubrum L.",red maple
"ACRUR",,"Acer rubrum L. var. rubrum ",red maple
"ACRUT",,"Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch",red maple
"ACSA2",,"Acer saccharinum L.",silver maple
"ACSA3",,"Acer saccharum Marshall",sugar maple
"ACSAS",,"Acer saccharum Marshall var. saccharum ",sugar maple
"ACSP2",,"Acer spicatum Lam.",mountain maple
"ACMI2",,"Achillea millefolium L.",common yarrow
"ACMIM2",,"Achillea millefolium L. var. millefolium ",common yarrow
"ACMIO",,"Achillea millefolium L. var. occidentalis DC.",western yarrow
"ACPT",,"Achillea ptarmica L.",sneezeweed
"ACTR2",,"Acicarpha tribuloides Juss.",madam gorgon
"ACAR2",,"Acinos arvensis (Lam.) Dandy",basil thyme
"ACNA",,"Aconitum napellus L.",Venus' chariot
"ACRE",,"Aconitum reclinatum A. Gray",trailing white monkshood
"ACUN",,"Aconitum uncinatum L.",southern blue monkshood
"ACUNM",,"Aconitum uncinatum L. ssp. muticum (DC.) Hardin",southern blue monkshood
"ACAM",,"Acorus americanus (Raf.) Raf.",sweetflag
"ACCA4",,"Acorus calamus L.",calamus
"ACPA",,"Actaea pachypoda Elliott",white baneberry
"ACPO11",,"Actaea podocarpa DC.",mountain bugbane
"ACRA7",,"Actaea racemosa L.",black baneberry
"ACRAR",,"Actaea racemosa L. var. racemosa ",black bugbane
"ACRU14",,"Actaea rubifolia (Kearney) Kartesz",Appalachian bugbane
"ACRU2",,"Actaea rubra (Aiton) Willd.",red baneberry
"ACRUR2",,"Actaea rubra (Aiton) Willd. ssp. rubra ",red baneberry
"ADAL",,"Adiantum aleuticum (Rupr.) Paris",Aleutian maidenhair
"ADPE",,"Adiantum pedatum L.",northern maidenhair
"ADFU",,"Adlumia fungosa (Aiton) Greene ex Britton, Sterns & Poggenb.",allegheny vine
"AECY",,"Aegilops cylindrica Host",jointed goatgrass
"AETR",,"Aegilops triuncialis L.",barbed goatgrass
"AEPO",,"Aegopodium podagraria L.",bishop's goutweed
"AERU",,"Aeschynomene rudis Benth.",zigzag jointvetch
"AEVI3",,"Aeschynomene virginica (L.) Britton, Sterns & Poggenb.",Virginia jointvetch
"AEFL",,"Aesculus flava Aiton",yellow buckeye
"AEGL",,"Aesculus glabra Willd.",Ohio buckeye
"AEGLG",,"Aesculus glabra Willd. var. glabra ",Ohio buckeye
"AEHI",,"Aesculus hippocastanum L.",horse chestnut
"AEPA2",,"Aesculus parviflora Walter",bottlebrush buckeye
"AECY2",,"Aethusa cynapium L.",fool's parsley
"AGAU3",,"Agalinis auriculata (Michx.) S.F. Blake",earleaf false foxglove
"AGFA2",,"Agalinis fasciculata (Elliott) Raf.",beach false foxglove
"AGOB",,"Agalinis obtusifolia Raf.",tenlobe false foxglove
"AGPA12",,"Agalinis paupercula (A. Gray) Britton",smallflower false foxglove
"AGPAB",,"Agalinis paupercula (A. Gray) Britton var. borealis Pennell",smallflower false foxglove
"AGPAP3",,"Agalinis paupercula (A. Gray) Britton var. paupercula ",smallflower false foxglove
"AGPU5",,"Agalinis purpurea (L.) Pennell",purple false foxglove
"AGTE3",,"Agalinis tenuifolia (Vahl) Raf.",slenderleaf false foxglove
"AGTEM",,"Agalinis tenuifolia (Vahl) Raf. var. macrophylla (Benth.) S.F. Blake",slenderleaf false foxglove
"AGTET",,"Agalinis tenuifolia (Vahl) Raf. var. tenuifolia ",slenderleaf false foxglove
"AGFO",,"Agastache foeniculum (Pursh) Kuntze",blue giant hyssop
"AGNE2",,"Agastache nepetoides (L.) Kuntze",yellow giant hyssop
"AGSC",,"Agastache scrophulariifolia (Willd.) Kuntze",purple giant hyssop
"AGAL5",,"Ageratina altissima (L.) R.M. King & H. Rob.",white snakeroot
"AGALA",,"Ageratina altissima (L.) R.M. King & H. Rob. var. altissima ",white snakeroot
"AGAR4",,"Ageratina aromatica (L.) Spach",lesser snakeroot
"AGARA",,"Ageratina aromatica (L.) Spach var. aromatica ",lesser snakeroot
"AGEU",,"Agrimonia eupatoria L.",churchsteeples
"AGGR2",,"Agrimonia gryposepala Wallr.",tall hairy agrimony
"AGMI2",,"Agrimonia microcarpa Wallr.",smallfruit agrimony
"AGPA6",,"Agrimonia parviflora Aiton",harvestlice
"AGPU",,"Agrimonia pubescens Wallr.",soft agrimony
"AGRO3",,"Agrimonia rostellata Wallr.",beaked agrimony
"AGST",,"Agrimonia striata Michx.",roadside agrimony
"AGGI",,"Agrostemma githago L.",common corncockle
"AGCA4",,"Agrostis canina L.",velvet bentgrass
"AGCA5",,"Agrostis capillaris L.",colonial bentgrass
"AGEL4",,"Agrostis elliottiana Schult.",Elliott's bentgrass
"AGGI2",,"Agrostis gigantea Roth",redtop
"AGHY",,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.",winter bentgrass
"AGPE",,"Agrostis perennans (Walter) Tuck.",upland bentgrass
"AGSC5",,"Agrostis scabra Willd.",rough bentgrass
"AGST2",,"Agrostis stolonifera L.",creeping bentgrass
"AIAL",,"Ailanthus altissima (Mill.) Swingle",tree of heaven
"AICA",,"Aira caryophyllea L.",silver hairgrass
"AICAC2",,"Aira caryophyllea L. var. caryophyllea ",silver hairgrass
"AIPR",,"Aira praecox L.",yellow hairgrass
"AJGE",,"Ajuga genevensis L.",blue bugle
"AJRE",,"Ajuga reptans L.",common bugle
"AKQU",,"Akebia quinata (Houtt.) Decne.",chocolate vine
"ALJU",,"Albizia julibrissin Durazz.",silktree
"ALRO3",,"Alcea rosea L.",hollyhock
"ALFA2",,"Aletris farinosa L.",white colicroot
"ALSU",,"Alisma subcordatum Raf.",American water plantain
"ALTR7",,"Alisma triviale Pursh",northern water plantain
"ALPE4",,"Alliaria petiolata (M. Bieb.) Cavara & Grande",garlic mustard
"ALBU2",,"Allium burdickii (Hanes) A.G. Jones",narrowleaf wild leek
"ALCA3",,"Allium canadense L.",meadow garlic
"ALCAC",,"Allium canadense L. var. canadense ",meadow garlic
"ALCE",,"Allium cepa L.",garden onion
"ALCE2",,"Allium cernuum Roth",nodding onion
"ALCEC2",,"Allium cernuum Roth var. cernuum ",nodding onion
"ALOL",,"Allium oleraceum L.",field garlic
"ALSA2",,"Allium sativum L.",cultivated garlic
"ALSC",,"Allium schoenoprasum L.",wild chives
"ALSCS2",,"Allium schoenoprasum L. var. schoenoprasum ",wild chives
"ALSCS",,"Allium schoenoprasum L. var. sibiricum (L.) Hartm.",wild chives
"ALTR3",,"Allium tricoccum Aiton",ramp
"ALVI",,"Allium vineale L.",wild garlic
"ALVIV",,"Allium vineale L. ssp. vineale ",wild garlic
"ALGL2",,"Alnus glutinosa (L.) Gaertn.",European alder
"ALIN2",,"Alnus incana (L.) Moench",gray alder
"ALINR",,"Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen",speckled alder
"ALSE2",,"Alnus serrulata (Aiton) Willd.",hazel alder
"ALVI5",,"Alnus viridis (Chaix) DC.",green alder
"ALVIC",,"Alnus viridis (Chaix) DC. ssp. crispa (Aiton) Turrill",mountain alder
"ALAE",,"Alopecurus aequalis Sobol.",shortawn foxtail
"ALAEA",,"Alopecurus aequalis Sobol. var. aequalis ",shortawn foxtail
"ALCA4",,"Alopecurus carolinianus Walter",Carolina foxtail
"ALCR7",,"Alopecurus creticus Trin.",Cretan meadow foxtail
"ALGE2",,"Alopecurus geniculatus L.",water foxtail
"ALGEG4",,"Alopecurus geniculatus L. var. geniculatus ",water foxtail
"ALMY",,"Alopecurus myosuroides Huds.",slender meadow foxtail
"ALPR3",,"Alopecurus pratensis L.",meadow foxtail
"ALRE3",,"Alopecurus rendlei Eig",Rendle's meadow foxtail
"ALPA17",,"Alternanthera paronychioides A. St.-Hil.",smooth joyweed
"ALPAP",,"Alternanthera paronychioides A. St.-Hil. var. paronychioides ",smooth joyweed
"ALHI2",,"Althaea hirsuta L.",hairy marshmallow
"ALOF2",,"Althaea officinalis L.",common marshmallow
"ALAL3",,"Alyssum alyssoides (L.) L.",pale madwort
"AMAL",,"Amaranthus albus L.",prostrate pigweed
"AMAR",,"Amaranthus arenicola I.M. Johnst.",sandhill amaranth
"AMBL",,"Amaranthus blitoides S. Watson",mat amaranth
"AMBL2",,"Amaranthus blitum L.",purple amaranth
"AMBLE2",,"Amaranthus blitum L. var. emarginatus (Salzm. ex Uline & W.L. Bray) Lambinon",purple amaranth
"AMBLP",,"Amaranthus blitum L. var. pseudogracilis (Thell.) Costea",purple amaranth
"AMCA2",,"Amaranthus cannabinus (L.) Sauer",tidalmarsh amaranth
"AMCA3",,"Amaranthus caudatus L.",foxtail amaranth
"AMCR",,"Amaranthus crassipes Schltdl.",spreading amaranth
"AMCRC",,"Amaranthus crassipes Schltdl. var. crassipes ",spreading amaranth
"AMCR4",,"Amaranthus cruentus L.",red amaranth
"AMDE",,"Amaranthus deflexus L.",largefruit amaranth
"AMHY",,"Amaranthus hybridus L.",slim amaranth
"AMHY2",,"Amaranthus hypochondriacus L.",Prince-of-Wales feather
"AMPA",,"Amaranthus palmeri S. Watson",carelessweed
"AMPO2",,"Amaranthus powellii S. Watson",Powell's amaranth
"AMPOB2",,"Amaranthus powellii S. Watson ssp. bouchonii (Thell.) Costea & Carretero",Powell's amaranth
"AMPOP",,"Amaranthus powellii S. Watson ssp. powellii ",Powell's amaranth
"AMPU2",,"Amaranthus pumilus Raf.",seaside amaranth
"AMRE",,"Amaranthus retroflexus L.",redroot amaranth
"AMSP",,"Amaranthus spinosus L.",spiny amaranth
"AMTU",,"Amaranthus tuberculatus (Moq.) Sauer",roughfruit amaranth
"AMVI",,"Amaranthus viridis L.",slender amaranth
"AMAR2",,"Ambrosia artemisiifolia L.",annual ragweed
"AMARA2",,"Ambrosia artemisiifolia L. var. artemisiifolia ",annual ragweed
"AMARE",,"Ambrosia artemisiifolia L. var. elatior (L.) Descourtils",annual ragweed
"AMPS",,"Ambrosia psilostachya DC.",Cuman ragweed
"AMTR",,"Ambrosia trifida L.",great ragweed
"AMTRT2",,"Ambrosia trifida L. var. trifida ",great ragweed
"AMIN4",,"Amelanchier ×intermedia Spach (pro sp.) [arborea × canadensis]",serviceberry
"AMNE",,"Amelanchier ×neglecta Eggl. ex G.N. Jones (pro sp.) [bartramiana × laevis]",serviceberry
"AMAR3",,"Amelanchier arborea (Michx. f.) Fernald",common serviceberry
"AMARA4",,"Amelanchier arborea (Michx. f.) Fernald var. arborea ",common serviceberry
"AMBA",,"Amelanchier bartramiana (Tausch) M. Roem.",oblongfruit serviceberry
"AMCA4",,"Amelanchier canadensis (L.) Medik.",Canadian serviceberry
"AMHU2",,"Amelanchier humilis Wiegand",low serviceberry
"AMLA",,"Amelanchier laevis Wiegand",Allegheny serviceberry
"AMOB2",,"Amelanchier obovalis (Michx.) Ashe",coastal serviceberry
"AMSA",,"Amelanchier sanguinea (Pursh) DC.",roundleaf serviceberry
"AMSAS",,"Amelanchier sanguinea (Pursh) DC. var. sanguinea ",roundleaf serviceberry
"AMST80",,"Amelanchier stolonifera Wiegand",running serviceberry
