Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"AGLI",,"×Agropogon littoralis (Sm.) C.E. Hubbard [Agrostis stolonifera × Polypogon monospeliensis]",coast agropogon
"ABAM2",,"Abronia ameliae Lundell",Amelia's sand verbena
"ABAN",,"Abronia angustifolia Greene",purple sand verbena
"ABCA",,"Abronia carletonii J.M. Coult. & Fisher",Carleton's sand verbena
"ABFR2",,"Abronia fragrans Nutt. ex Hook.",snowball sand verbena
"ABMA5",,"Abronia macrocarpa L.A. Galloway",largefruit sand verbena
"ABAB",,"Abutilon abutiloides (Jacq.) Garcke ex Hochr.",shrubby Indian mallow
"ABBE",,"Abutilon berlandieri A. Gray ex S. Watson",Berlandier's Indian mallow
"ABFR3",,"Abutilon fruticosum Guill. & Perr.",Texas Indian mallow
"ABHU",,"Abutilon hulseanum (Torr. & A. Gray) Torr. ex A. Gray",mauve
"ABHY",,"Abutilon hypoleucum A. Gray",whiteleaf Indian mallow
"ABMA3",,"Abutilon malacum S. Watson",yellow Indian mallow
"ABMO2",,"Abutilon mollicomum (Willd.) Sweet",Sonoran Indian mallow
"ABPA3",,"Abutilon parvulum A. Gray",dwarf Indian mallow
"ABTH",,"Abutilon theophrasti Medik.",velvetleaf
"ABTR",,"Abutilon trisulcatum (Jacq.) Urb.",anglestem Indian mallow
"ABWR",,"Abutilon wrightii A. Gray",Wright's Indian mallow
"ACAN11",,"Acaciella angustissima (Mill.) Britton & Rose",prairie acacia
"ACANC3",,"Acaciella angustissima (Mill.) Britton & Rose var. chisosiana (Isely) B.L. Turner",Chisos prairie acacia
"ACANH2",,"Acaciella angustissima (Mill.) Britton & Rose var. hirta (Nutt.) B.L. Turner",prairie acacia
"ACLE10",,"Acaciella leucothrix (Standl.) Britton & Rose",whitehair acacia
"ACGR2",,"Acalypha gracilens A. Gray",slender threeseed mercury
"ACMO4",,"Acalypha monococca (Engelm. ex A. Gray) Lill. W. Mill. & Gandhi",slender threeseed mercury
"ACMO",,"Acalypha monostachya Cav.",round copperleaf
"ACNE",,"Acalypha neomexicana Müll. Arg.",New Mexico copperleaf
"ACOS",,"Acalypha ostryifolia Riddell",pineland threeseed mercury
"ACPH3",,"Acalypha phleoides Cav.",shrubby copperleaf
"ACPO",,"Acalypha poiretii Spreng.",Poiret's copperleaf
"ACRA",,"Acalypha radians Torr.",cardinal's feather
"ACRH",,"Acalypha rhomboidea Raf.",common threeseed mercury
"ACVI",,"Acalypha virginica L.",Virginia threeseed mercury
"ACTE4",,"Acanthocereus tetragonus (L.) Humm.",triangle cactus
"ACAU2",,"Acanthospermum australe (Loefl.) Kuntze",Paraguayan starbur
"ACFL",,"Acer floridanum (Chapm.) Pax",southern sugar maple
"ACGR3",,"Acer grandidentatum Nutt.",bigtooth maple
"ACGRG",,"Acer grandidentatum Nutt. var. grandidentatum ",bigtooth maple
"ACGRS",,"Acer grandidentatum Nutt. var. sinuosum (Rehder) Little",canyon maple
"ACLE",,"Acer leucoderme Small",chalk maple
"ACNE2",,"Acer negundo L.",boxelder
"ACNEN",,"Acer negundo L. var. negundo ",boxelder
"ACNET",,"Acer negundo L. var. texanum Pax",boxelder
"ACRU",,"Acer rubrum L.",red maple
"ACRUD",,"Acer rubrum L. var. drummondii (Hook. & Arn. ex Nutt.) Sarg.",Drummond's maple
"ACRUR",,"Acer rubrum L. var. rubrum ",red maple
"ACRUT",,"Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch",red maple
"ACSA2",,"Acer saccharinum L.",silver maple
"ACMI2",,"Achillea millefolium L.",common yarrow
"ACMIO",,"Achillea millefolium L. var. occidentalis DC.",western yarrow
"ACAR14",,"Achnatherum aridum (M.E. Jones) Barkworth",Mormon needlegrass
"ACCL7",,"Achnatherum clandestinum (Hack.) Barkworth",Mexican ricegrass
"ACCU6",,"Achnatherum curvifolium (Swallen) Barkworth",Guadalupe ricegrass
"ACEM4",,"Achnatherum eminens (Cav.) Barkworth",southwestern needlegrass
"ACHY",,"Achnatherum hymenoides (Roem. & Schult.) Barkworth",Indian ricegrass
"ACLO7",,"Achnatherum lobatum (Swallen) Barkworth",littleawn needlegrass
"ACNE9",,"Achnatherum nelsonii (Scribn.) Barkworth",Columbia needlegrass
"ACNED",,"Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth",Dore's needlegrass
"ACPE13",,"Achnatherum perplexum Hoge & Barkworth",New Mexico needlegrass
"ACRO7",,"Achnatherum robustum (Vasey) Barkworth",sleepygrass
"ACSC11",,"Achnatherum scribneri (Vasey) Barkworth",Scribner needlegrass
"ACAS",,"Achyranthes aspera L.",devil's horsewhip
"ACASP",,"Achyranthes aspera L. var. pubescens (Moq.) Townsend",devil's horsewhip
"ACAC",,"Acleisanthes acutifolia Standl.",needletip trumpets
"ACAN2",,"Acleisanthes anisophylla A. Gray",obliqueleaf trumpets
"ACCR",,"Acleisanthes crassifolia A. Gray",Texas trumpets
"ACLO2",,"Acleisanthes longiflora A. Gray",angel's trumpets
"ACOB2",,"Acleisanthes obtusa (Choisy) Standl.",Berlandier's trumpets
"ACWR3",,"Acleisanthes wrightii (A. Gray) Benth. & Hook. f. ex Hemsl.",Wright's trumpets
"ACOP",,"Acmella oppositifolia (Lam.) R.K. Jansen",oppositeleaf spotflower
"ACOPR",,"Acmella oppositifolia (Lam.) R.K. Jansen var. repens (Walter) R.K. Jansen",oppositeleaf spotflower
"ACCA4",,"Acorus calamus L.",calamus
"ACNA2",,"Acourtia nana (A. Gray) Reveal & R.M. King",dwarf desertpeony
"ACRU3",,"Acourtia runcinata (Lag. ex D. Don) B.L. Turner",featherleaf desertpeony
"ACWR5",,"Acourtia wrightii (A. Gray) Reveal & R.M. King",brownfoot
"ACRE3",,"Acroptilon repens (L.) DC.",hardheads
"ADVA",,"Adelia vaseyi (J.M. Coult.) Pax & K. Hoffm.",Vasey's wild lime
"ADCA",,"Adiantum capillus-veneris L.",common maidenhair
"ADTR",,"Adiantum tricholepis Fée",fuzzy maidenhair
"ADIN",,"Adolphia infesta (Kunth) Meisn.",junco
"ADAN",,"Adonis annua L.",blooddrops
"AECY",,"Aegilops cylindrica Host",jointed goatgrass
"AEEV",,"Aeschynomene evenia C. Wright",shrubby jointvetch
"AEIN",,"Aeschynomene indica L.",Indian jointvetch
"AERU",,"Aeschynomene rudis Benth.",zigzag jointvetch
"AEVI",,"Aeschynomene viscidula Michx.",sticky jointvetch
"AEBU",,"Aesculus ×bushii C.K. Schneid. (pro sp.) [glabra × pavia]",buckeye
"AEGL",,"Aesculus glabra Willd.",Ohio buckeye
"AEGLA",,"Aesculus glabra Willd. var. arguta (Buckley) B.L. Rob.",Ohio buckeye
"AEGLG",,"Aesculus glabra Willd. var. glabra ",Ohio buckeye
"AEPA",,"Aesculus pavia L.",red buckeye
"AEPAF",,"Aesculus pavia L. var. flavescens (Sarg.) Correll",red buckeye
"AEPAP",,"Aesculus pavia L. var. pavia ",red buckeye
"AGAS2",,"Agalinis aspera (Douglas ex Benth.) Britton",tall false foxglove
"AGAU3",,"Agalinis auriculata (Michx.) S.F. Blake",earleaf false foxglove
"AGCA7",,"Agalinis calycina Pennell",leoncita false foxglove
"AGDE6",,"Agalinis densiflora (Benth.) S.F. Blake",Osage false foxglove
"AGED",,"Agalinis edwardsiana Pennell",plateau false foxglove
"AGFA2",,"Agalinis fasciculata (Elliott) Raf.",beach false foxglove
"AGGA",,"Agalinis gattingeri (Small) Small",roundstem false foxglove
"AGHE4",,"Agalinis heterophylla (Nutt.) Small ex Britton",prairie false foxglove
"AGHO4",,"Agalinis homalantha Pennell",San Antonio false foxglove
"AGMA3",,"Agalinis maritima (Raf.) Raf.",saltmarsh false foxglove
"AGMAG",,"Agalinis maritima (Raf.) Raf. var. grandiflora (Benth.) Shinners",saltmarsh false foxglove
"AGNA",,"Agalinis navasotensis M. Dubrule & J. Canne-Hilliker",Navasota false foxglove
"AGOL",,"Agalinis oligophylla Pennell",ridgestem false foxglove
"AGPU4",,"Agalinis pulchella Pennell",St. Mark's false foxglove
"AGPU5",,"Agalinis purpurea (L.) Pennell",purple false foxglove
"AGST4",,"Agalinis strictifolia (Benth.) Pennell",stiffleaf false foxglove
