Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"AGLI",,"×Agropogon littoralis (Sm.) C.E. Hubbard [Agrostis stolonifera × Polypogon monospeliensis]",coast agropogon
"ELMA8",,"×Elyhordeum macounii (Vasey) Barkworth & D.R. Dewey [Elymus trachycaulus × Hordeum jubatum]",Macoun's barley
"ELST",,"×Elyhordeum stebbinsianum (Bowden) Bowden [Elymus glaucus × Hordeum jubatum]",Stebbins' barley
"ELAR6",,"×Elyleymus aristatus (Merr.) Barkworth & D.R. Dewey [Elymus elymoides × Leymus triticoides]",purple wildrye
"PSSA2",,"×Pseudelymus saxicola (Scribn. & J.G. Sm.) Barkworth & D.R. Dewey [Elymus elymoides × Pseudoroegneria spicata]",foxtail wheatgrass
"ABAM",,"Abies amabilis (Douglas ex Loudon) Douglas ex Forbes",Pacific silver fir
"ABGR",,"Abies grandis (Douglas ex D. Don) Lindl.",grand fir
"ABLA",,"Abies lasiocarpa (Hook.) Nutt.",subalpine fir
"ABLAL",,"Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa ",subalpine fir
"ABPR",,"Abies procera Rehder",noble fir
"ABFR2",,"Abronia fragrans Nutt. ex Hook.",snowball sand verbena
"ABLA2",,"Abronia latifolia Eschsch.",coastal sand verbena
"ABME",,"Abronia mellifera Douglas ex Hook.",white sand verbena
"ABUM",,"Abronia umbellata Lam.",pink sand verbena
"ABUMB",,"Abronia umbellata Lam. ssp. breviflora (Standl.) Munz",pink sand verbena
"ABTH",,"Abutilon theophrasti Medik.",velvetleaf
"ACCI",,"Acer circinatum Pursh",vine maple
"ACGL",,"Acer glabrum Torr.",Rocky Mountain maple
"ACGLD4",,"Acer glabrum Torr. var. douglasii (Hook.) Dippel",Douglas maple
"ACGR3",,"Acer grandidentatum Nutt.",bigtooth maple
"ACMA3",,"Acer macrophyllum Pursh",bigleaf maple
"ACNE2",,"Acer negundo L.",boxelder
"ACNEI2",,"Acer negundo L. var. interius (Britton) Sarg.",boxelder
"ACNEN",,"Acer negundo L. var. negundo ",boxelder
"ACNEV",,"Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger",boxelder
"ACPL",,"Acer platanoides L.",Norway maple
"ACSA2",,"Acer saccharinum L.",silver maple
"ACMI2",,"Achillea millefolium L.",common yarrow
"ACMIA",,"Achillea millefolium L. var. alpicola (Rydb.) Garrett",common yarrow
"ACMIB",,"Achillea millefolium L. var. borealis (Bong.) Farw.",boreal yarrow
"ACMIC",,"Achillea millefolium L. var. californica (Pollard) Jeps.",California yarrow
"ACMIM2",,"Achillea millefolium L. var. millefolium ",common yarrow
"ACMIO",,"Achillea millefolium L. var. occidentalis DC.",western yarrow
"ACMIP",,"Achillea millefolium L. var. pacifica (Rydb.) G.N. Jones",Pacific yarrow
"ACPT",,"Achillea ptarmica L.",sneezeweed
"ACCA6",,"Achlys californica I. Fukuda & H.G. Baker",deer's foot
"ACTR",,"Achlys triphylla (Sm.) DC.",sweet after death
"ACBL",,"Achnatherum ×bloomeri (Bol.) Barkworth [hymenoides × occidentale]",
"ACHE10",,"Achnatherum hendersonii (Vasey) Barkworth",Henderson's needlegrass
"ACHY",,"Achnatherum hymenoides (Roem. & Schult.) Barkworth",Indian ricegrass
"ACLE8",,"Achnatherum lemmonii (Vasey) Barkworth",Lemmon's needlegrass
"ACLEL",,"Achnatherum lemmonii (Vasey) Barkworth var. lemmonii ",Lemmon's needlegrass
"ACNE9",,"Achnatherum nelsonii (Scribn.) Barkworth",Columbia needlegrass
"ACNED",,"Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth",Dore's needlegrass
"ACOC3",,"Achnatherum occidentale (Thurb.) Barkworth",western needlegrass
"ACOCC",,"Achnatherum occidentale (Thurb.) Barkworth ssp. californicum (Merr. & Burtt Davy) Barkworth",California needlegrass
"ACOCP",,"Achnatherum occidentale (Thurb.) Barkworth ssp. pubescens (Vasey) Barkworth",pubescent western needlegrass
"ACRI8",,"Achnatherum richardsonii (Link) Barkworth",Richardson's needlegrass
"ACTH7",,"Achnatherum thurberianum (Piper) Barkworth",Thurber's needlegrass
"ACAR2",,"Acinos arvensis (Lam.) Dandy",basil thyme
"ACCO4",,"Aconitum columbianum Nutt.",Columbian monkshood
"ACCOC3",,"Aconitum columbianum Nutt. ssp. columbianum ",Columbian monkshood
"ACAM",,"Acorus americanus (Raf.) Raf.",sweetflag
"ACCA4",,"Acorus calamus L.",calamus
"ACRE3",,"Acroptilon repens (L.) DC.",hardheads
"ACEL4",,"Actaea elata (Nutt.) Prantl",tall bugbane
"ACLA12",,"Actaea laciniata (S. Watson) J. Compton",Mt. Hood bugbane
"ACRU2",,"Actaea rubra (Aiton) Willd.",red baneberry
"ACRUA8",,"Actaea rubra (Aiton) Willd. ssp. arguta (Nutt.) Hultén",red baneberry
"ADBI",,"Adenocaulon bicolor Hook.",American trailplant
"ADAL",,"Adiantum aleuticum (Rupr.) Paris",Aleutian maidenhair
"ADAE",,"Adonis aestivalis L.",summer pheasant's eye
"ADAN",,"Adonis annua L.",blooddrops
"AECY",,"Aegilops cylindrica Host",jointed goatgrass
"AEPO",,"Aegopodium podagraria L.",bishop's goutweed
"AEHI",,"Aesculus hippocastanum L.",horse chestnut
"AGFO",,"Agastache foeniculum (Pursh) Kuntze",blue giant hyssop
"AGOC",,"Agastache occidentalis (Piper) A. Heller",western giant hyssop
"AGUR",,"Agastache urticifolia (Benth.) Kuntze",nettleleaf giant hyssop
"AGURU",,"Agastache urticifolia (Benth.) Kuntze var. urticifolia ",nettleleaf giant hyssop
"AGOC2",,"Ageratina occidentalis (Hook.) R.M. King & H. Rob.",western snakeroot
"AGAP2",,"Agoseris apargioides (Less.) Greene",woolly goat chicory
"AGAPE",,"Agoseris apargioides (Less.) Greene var. eastwoodiae (Fedde) Munz",woolly goat chicory
"AGAPM",,"Agoseris apargioides (Less.) Greene var. maritima (Sheldon) Q. Jones ex Cronquist",woolly goat chicory
"AGAU2",,"Agoseris aurantiaca (Hook.) Greene",orange agoseris
"AGAUA",,"Agoseris aurantiaca (Hook.) Greene var. aurantiaca ",orange agoseris
"AGEL",,"Agoseris elata (Nutt.) Greene",tall agoseris
"AGGL",,"Agoseris glauca (Pursh) Raf.",pale agoseris
