"TaxID","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"97172","Viridiplantae","Streptophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies fraseri"
"3816","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Abrus","Abrus precatorius"
"3631","Viridiplantae","Streptophyta","Magnoliopsida","Malvales","Malvaceae","Abutilon","Abutilon theophrasti"
"1620167","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha","Acalypha gracilens"
"1087219","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha","Acalypha ostryifolia"
"32204","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha","Acalypha rhomboidea"
"1475366","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha","Acalypha setosa"
"1532233","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha","Acalypha virginica"
"185140","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Acanthospermum","Acanthospermum australe"
"182999","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Acanthospermum","Acanthospermum hispidum"
"407037","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer saccharum"
"4023","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer negundo"
"291207","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer saccharum"
"66214","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer pensylvanicum"
"45314","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer rubrum"
"75745","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer saccharinum"
"4024","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer saccharum"
"57652","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer spicatum"
"13329","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","Achillea millefolium"
"2912032","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Heliopsis","Heliopsis buphthalmoides"
"4465","Viridiplantae","Streptophyta","Magnoliopsida","Acorales","Acoraceae","Acorus","Acorus calamus"
"64023","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Actaea","Actaea pachypoda"
"46991","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Actaea","Actaea podocarpa"
"64040","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Actaea","Actaea racemosa"
"13818","Viridiplantae","Streptophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantum","Adiantum capillus-veneris"
"446140","Viridiplantae","Streptophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantum","Adiantum hispidulum"
"29590","Viridiplantae","Streptophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantum","Adiantum pedatum"
"40902","Viridiplantae","Streptophyta","Magnoliopsida","Apiales","Apiaceae","Aegopodium","Aegopodium podagraria"
"134032","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Aeschynomene","Aeschynomene americana"
"48135","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Aeschynomene","Aeschynomene indica"
"135787","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Aeschynomene","Aeschynomene rudis"
"1475368","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Ctenodon","Ctenodon viscidulus"
"322040","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Sapindaceae","Aesculus","Aesculus flava"
"322042","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Sapindaceae","Aesculus","Aesculus glabra"
"43364","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Sapindaceae","Aesculus","Aesculus hippocastanum"
"322043","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Sapindaceae","Aesculus","Aesculus parviflora"
"43872","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Sapindaceae","Aesculus","Aesculus pavia"
"322041","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Sapindaceae","Aesculus","Aesculus sylvatica"
"282231","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis","Agalinis aphylla"
"282233","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis","Agalinis divaricata"
"282234","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis","Agalinis fasciculata"
"282235","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis","Agalinis filicaulis"
"546847","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis","Agalinis harperi"
"282236","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis","Agalinis heterophylla"
"546849","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis","Agalinis laxa"
"282237","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis","Agalinis linifolia"
"282238","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis","Agalinis obtusifolia"
"282239","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis","Agalinis plukenetii"
"282240","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis","Agalinis pulchella"
"374692","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis","Agalinis purpurea"
"282241","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis","Agalinis setacea"
"282244","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis","Agalinis tenuifolia"
"49133","Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Ericaceae","Agarista","Agarista populifolia"
"672814","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Agastache","Agastache nepetoides"
"672816","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Agastache","Agastache scrophulariifolia"
"102750","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Ageratina","Ageratina altissima"
"102751","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Ageratina","Ageratina aromatica"
"1620014","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Ageratina","Ageratina jucunda"
"68299","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Ageratum","Ageratum conyzoides"
"55598","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Ageratum","Ageratum houstonianum"
"932091","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Agrimonia","Agrimonia gryposepala"
"1068671","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Agrimonia","Agrimonia incisa"
"1969215","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Agrimonia","Agrimonia microcarpa"
"32217","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Agrimonia","Agrimonia parviflora"
"1655175","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Agrimonia","Agrimonia pubescens"
"1663594","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Agrimonia","Agrimonia rostellata"
"1503866","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Agrimonia","Agrimonia striata"
"39848","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Agrostemma","Agrostemma githago"
"345916","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Agrostis","Agrostis gigantea"
"481245","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Agrostis","Agrostis hyemalis"
"568787","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Agrostis","Agrostis perennans"
"345920","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Agrostis","Agrostis scabra"
"63632","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Agrostis","Agrostis stolonifera"
"2768810","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Simaroubaceae","Ailanthus","Ailanthus altissimus"
"336211","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Aira","Aira caryophyllea"
"2591704","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Aira","Aira elegans"
"38596","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Ajuga","Ajuga reptans"
"13331","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Lardizabalaceae","Akebia","Akebia quinata"
"3813","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Albizia","Albizia julibrissin"
"65557","Viridiplantae","Streptophyta","Magnoliopsida","Malvales","Malvaceae","Alcea","Alcea rosea"
"3042679","Viridiplantae","Streptophyta","Magnoliopsida","Dioscoreales","Nartheciaceae","Aletris","Aletris aurea"
"167569","Viridiplantae","Streptophyta","Magnoliopsida","Dioscoreales","Nartheciaceae","Aletris","Aletris farinosa"
"119991","Viridiplantae","Streptophyta","Magnoliopsida","Dioscoreales","Nartheciaceae","Aletris","Aletris lutea"
"1620015","Viridiplantae","Streptophyta","Magnoliopsida","Dioscoreales","Nartheciaceae","Aletris","Aletris obovata"
"365733","Viridiplantae","Streptophyta","Magnoliopsida","Alismatales","Alismataceae","Alisma","Alisma subcordatum"
"126270","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Alliaria","Alliaria petiolata"
"4681","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Amaryllidaceae","Allium","Allium ampeloprasum"
"472403","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Amaryllidaceae","Allium","Allium canadense"
"70754","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Amaryllidaceae","Allium","Allium cernuum"
"1286659","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Amaryllidaceae","Allium","Allium cuthbertii"
"74896","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Amaryllidaceae","Allium","Allium neapolitanum"
"4682","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Amaryllidaceae","Allium","Allium sativum"
"1286681","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Amaryllidaceae","Allium","Allium speculae"
"138334","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Amaryllidaceae","Allium","Allium tricoccum"
"1053326","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Amaryllidaceae","Allium","Allium vineale"
"21015","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Betulaceae","Alnus","Alnus maritima"
"253219","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Betulaceae","Alnus","Alnus serrulata"
"2071901","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Alopecurus","Alopecurus carolinianus"
"15304","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Alopecurus","Alopecurus pratensis"
"542672","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Verbenaceae","Aloysia","Aloysia triphylla"
"2981467","Viridiplantae","Streptophyta","Magnoliopsida","Liliales","Alstroemeriaceae","Alstroemeria","Alstroemeria haemantha"
"213817","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Alternanthera","Alternanthera caracasana"
"1167244","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Alternanthera","Alternanthera paronychioides"
"381410","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Alternanthera","Alternanthera philoxeroides"
"240021","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Alternanthera","Alternanthera pungens"
"221762","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Alternanthera","Alternanthera sessilis"
"858910","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Alysicarpus","Alysicarpus vaginalis"
"124760","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Amaranthus albus"
"124761","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Amaranthus blitoides"
"338571","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Amaranthus blitum"
"2305808","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Amaranthus cannabinus"
"1053327","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Amaranthus deflexus"
"3565","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Amaranthus hybridus"
"107608","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Amaranthus palmeri"
"124763","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Amaranthus retroflexus"
"124765","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Amaranthus spinosus"
"277990","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Amaranthus tuberculatus"
"56196","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Amaranthus viridis"
"4212","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia","Ambrosia artemisiifolia"
"2010357","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia","Ambrosia bidentata"
"29715","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia","Ambrosia psilostachya"
"4214","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia","Ambrosia trifida"
"52521","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Amelanchier","Amelanchier arborea"
"52523","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Amelanchier","Amelanchier canadensis"
"52531","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Amelanchier","Amelanchier laevis"
"2654663","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Amelanchier","Amelanchier obovalis"
"52536","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Amelanchier","Amelanchier sanguinea"
"52538","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Amelanchier","Amelanchier stolonifera"
"164818","Viridiplantae","Streptophyta","Magnoliopsida","Liliales","Melanthiaceae","Amianthium","Amianthium muscitoxicum"
"330155","Viridiplantae","Streptophyta","Magnoliopsida","Myrtales","Lythraceae","Ammannia","Ammannia coccinea"
"312916","Viridiplantae","Streptophyta","Magnoliopsida","Myrtales","Lythraceae","Ammannia","Ammannia latifolia"
"48026","Viridiplantae","Streptophyta","Magnoliopsida","Apiales","Apiaceae","Ammi","Ammi majus"
"48131","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Amorpha","Amorpha fruticosa"
"252451","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Amorpha","Amorpha georgiana"
"1486966","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Amorpha","Amorpha glabra"
"1486967","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Amorpha","Amorpha herbacea"
"1486971","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Amorpha","Amorpha nitens"
"1486975","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Amorpha","Amorpha schwerinii"
"481909","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Ampelaster","Ampelaster carolinianus"
"178805","Viridiplantae","Streptophyta","Magnoliopsida","Vitales","Vitaceae","Ampelopsis","Ampelopsis glandulosa"
"345097","Viridiplantae","Streptophyta","Magnoliopsida","Vitales","Vitaceae","Ampelopsis","Ampelopsis cordata"
"90642","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Plantaginaceae","Amphianthus","Amphianthus pusillus"
"45679","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Amphicarpaea","Amphicarpaea bracteata"
"141530","Viridiplantae","Streptophyta","Magnoliopsida","Gentianales","Apocynaceae","Amsonia","Amsonia ciliata"
"3143284","Viridiplantae","Streptophyta","Magnoliopsida","Gentianales","Apocynaceae","Amsonia","Amsonia ludoviciana"
"3143277","Viridiplantae","Streptophyta","Magnoliopsida","Gentianales","Apocynaceae","Amsonia","Amsonia rigida"
"144544","Viridiplantae","Streptophyta","Magnoliopsida","Gentianales","Apocynaceae","Amsonia","Amsonia tabernaemontana"
