"Mock_Acc","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"DQ778826.1","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae",NA,NA
"MG657033.1",NA,NA,NA,NA,NA,NA,NA
"NW_025526181.1",NA,NA,NA,NA,NA,NA,NA
"NW_025244978.1",NA,NA,NA,NA,NA,NA,NA
"EF156703.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"AY794599.1","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia_ipecacuanhae"
"GU990376.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Eragrostis",NA
"AY586299.1","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Fagaceae","Castanea","Castanea_crenata"
"NW_025238430.1",NA,NA,NA,NA,NA,NA,NA
"OQ557422.1",NA,NA,NA,NA,NA,NA,NA
"AY756930.1","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Salicaceae","Populus",NA
"NW_025244019.1",NA,NA,NA,NA,NA,NA,NA
"ML947031.1",NA,NA,NA,NA,NA,NA,NA
"JF791636.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Bouteloua","Bouteloua_disticha"
"GQ324462.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Poa",NA
"NW_023356861.1",NA,NA,NA,NA,NA,NA,NA
"KY688939.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"KX872598.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"KP709849.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"AF519141.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"GU990403.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"EU871141.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"OP493866.1",NA,NA,NA,NA,NA,NA,NA
"EU013484.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"FJ098870.1",NA,NA,NA,NA,NA,NA,NA
"LC118631.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Digitaria","Digitaria_violascens"
"KY991345.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"DQ778853.1","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae",NA,NA
"KX872859.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"KJ796367.1",NA,NA,NA,NA,NA,NA,NA
