"Mock_Acc","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"KY055331.1",NA,NA,NA,NA,NA,NA,NA
"MG709415.2",NA,NA,NA,NA,NA,NA,NA
"NW_023350619.1",NA,NA,NA,NA,NA,NA,NA
"AF327583.1",NA,NA,NA,NA,NA,NA,NA
"JN249635.1","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Euphorbia",NA
"AY757471.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Cyperaceae","Carex",NA
"AF164941.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Cyperaceae","Carex","Carex_glomerabilis"
"EF395444.1",NA,NA,NA,NA,NA,NA,NA
"AB723697.1",NA,NA,NA,NA,NA,NA,NA
"ML954707.1",NA,NA,NA,NA,NA,NA,NA
"MF598357.1",NA,NA,NA,NA,NA,NA,NA
"KC897735.1",NA,NA,NA,NA,NA,NA,NA
"KY055313.1",NA,NA,NA,NA,NA,NA,NA
"EU200815.1",NA,NA,NA,NA,NA,NA,NA
"AF327582.1","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Fagaceae","Fagus","Fagus_sylvatica"
"EU939981.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"EU395885.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"ON715955.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Eleusine","Eleusine_tristachya"
"EF395422.1",NA,NA,NA,NA,NA,NA,NA
"ML951057.1",NA,NA,NA,NA,NA,NA,NA
"AF164954.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Cyperaceae","Eriophorum",NA
"GQ245292.1","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Salicaceae","Populus",NA
"NW_023350935.1",NA,NA,NA,NA,NA,NA,NA
"OM066660.1","Viridiplantae","Streptophyta","Magnoliopsida",NA,NA,NA,NA
"MH793229.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"ML955528.1",NA,NA,NA,NA,NA,NA,NA
"AY988217.1",NA,NA,NA,NA,NA,NA,NA
"NW_023350932.1",NA,NA,NA,NA,NA,NA,NA
"EU939986.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Cenchrus",NA
"KX372422.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"AY344156.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Juncaceae","Juncus","Juncus_effusus"
"KR902940.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Cyperaceae","Carex","Carex_pensylvanica"
"AF284937.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Cyperaceae","Carex",NA
"DQ887455.1",NA,NA,NA,NA,NA,NA,NA
"KY055326.1",NA,NA,NA,NA,NA,NA,NA
"KP691994.1",NA,NA,NA,NA,NA,NA,NA
"HM590304.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"NW_023340924.1",NA,NA,NA,NA,NA,NA,NA
"DQ860523.1","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae",NA,NA
"OK247982.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"NW_025236732.1",NA,NA,NA,NA,NA,NA,NA
"PP531154.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Cyperaceae","Carex",NA
"EF156718.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"AY367981.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Bromus","Bromus_tectorum"
"KR738080.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"NW_023353023.1",NA,NA,NA,NA,NA,NA,NA
"AY142734.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"KR737840.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"EU036183.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Bromus","Bromus_tectorum"
"JX073798.1","Viridiplantae","Streptophyta","Magnoliopsida",NA,NA,NA,NA
"JN009978.1","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Euphorbia",NA
"NW_023352710.1",NA,NA,NA,NA,NA,NA,NA
"AY368002.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Bromus",NA
